doc_title,chunk_id,description,scene_context
24、INT. FOOD COURT,doc_23_chunk_1,Jacob holds out his hands.,
24、INT. FOOD COURT,doc_23_chunk_1,Jacob simply turns and throws them over the railing.,
25、INT. SHOE STORE - CONTINUOUS ACTION,doc_24_chunk_2,Jacob leans in toward the tailor.,"Suit store, Cal getting fitted"
18、INT. BAR - LATER,doc_17_chunk_11,"Jacob downs his drink, nods at THE WOMAN (now nearby).",Mall food court
35、INT. BAR - THAT NIGHT,doc_34_chunk_1,"smiles, leans forward",
18、INT. BAR - LATER,doc_17_chunk_4,Jacob motions for Cal to come over.,"Bar, Cal showing pictures to bartender"
35、INT. BAR - THAT NIGHT,doc_34_chunk_2,"Jacob stretches his neck, trying his patience:",
35、INT. BAR - THAT NIGHT,doc_34_chunk_0,Jacob looks at Cal.,At the bar
26、EXT. MALL - MOMENTS LATER,doc_25_chunk_4,"He touches Cal's hair, measures it between his fingers.",Salon
26、EXT. MALL - MOMENTS LATER,doc_25_chunk_1,Jacob holds up a pair of beige slacks.,A NEW STORE
17、INT. BATHROOM - LATER,doc_16_chunk_0,Jacob steps INTO FRAME in the adjacent urinal.,Bathroom (urinal area)
17、INT. BATHROOM - LATER,doc_16_chunk_0,Jacob doesn't even turn.,Bathroom (urinal area)
17、INT. BATHROOM - LATER,doc_16_chunk_0,"Jacob zips, flushes, turns.",Bathroom (urinal area)
17、INT. BATHROOM - LATER,doc_16_chunk_0,"He walks away, washes his hands, EXITS.",Bathroom (urinal area)
26、EXT. MALL - MOMENTS LATER,doc_25_chunk_0,Jacob is already halfway to the car.,"Cal runs outside, Jacob is halfway to the car."
26、EXT. MALL - MOMENTS LATER,doc_25_chunk_0,Jacob immediately heads back inside,"After Cal pleads, Jacob heads back inside."
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_3,Jacob LAUGHS. He actually LAUGHS.,
18、INT. BAR - LATER,doc_17_chunk_8,Jacob holds up a finger.,
18、INT. BAR - LATER,doc_17_chunk_8,Jacob continues,
25、INT. SHOE STORE - CONTINUOUS ACTION,doc_24_chunk_0,"Jacob ignores him, grabs a pair of BLACK DRESS SHOES.","Inside a store, Cal follows Jacob and comments on the idea being bad."
25、INT. SHOE STORE - CONTINUOUS ACTION,doc_24_chunk_0,Jacob CHUCKLES.,"Inside a store, after Cal says 'Really?'"
28、INT. BAR - NEXT NIGHT,doc_27_chunk_5,Jacob takes her hand.,With Newer Girl
16、INT. BAR - NIGHT,doc_15_chunk_0,Jacob is now wooing a NEW WOMAN,"Bar, Jacob at his usual table"
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_4,"Jacob SHRUGS, stands, unbuttons his shirt and takes it off. He's ripped.",
26、EXT. MALL - MOMENTS LATER,doc_25_chunk_2,Jacob leads Cal through the store.,Beauty supply store
26、EXT. MALL - MOMENTS LATER,doc_25_chunk_2,He tosses him a TUBE.,Beauty supply store
49、INT. BAR,doc_48_chunk_1,"For the first time, he looks like a deer in the headlights.","Inside a bar, Hannah approaches Jacob."
18、INT. BAR - LATER,doc_17_chunk_5,Jacob motions to the Bartender,Inside a bar
28、INT. BAR - NEXT NIGHT,doc_27_chunk_4,"He looks completely earnest, repeats","New night, Jacob talking to a new girl"
35、INT. BAR - THAT NIGHT,doc_34_chunk_4,"Jacob BOWS to Cal, Japanese style.",at a table
35、INT. BAR - THAT NIGHT,doc_34_chunk_4,"Jacob stands, smiles.",at a table
11、INT. BAR - LATER,doc_10_chunk_1,"JACOB PALMER wearing his two thousand dollar suit, he's now got TWO BEAUTIFUL WOMEN fawning over him at his table.","Bar, Jacob Palmer at table with two women"
3、INT. BAR,doc_2_chunk_1,"He tilts his glass at them, toasting.",Crowd parting to reveal Jacob Palmer.
24、INT. FOOD COURT,doc_23_chunk_0,standing against a pole in the food court,"Food court, Cal sees Jacob"
24、INT. FOOD COURT,doc_23_chunk_0,"eating pizza, cool as ever","Food court, Cal sees Jacob"
52、INT. JACOB'S BEDROOM - CONTINUOUS ACTION,doc_51_chunk_3,Jacob does the most unexpected thing,
52、INT. JACOB'S BEDROOM - CONTINUOUS ACTION,doc_51_chunk_6,it's Jacob who passes out.,
54、INT. MOVIE THEATRE - NIGHT,doc_53_chunk_0,"staring down at his hand, locked with Hannah's. He looks terrified.","Movie theater, during a film showing"
52、INT. JACOB'S BEDROOM - CONTINUOUS ACTION,doc_51_chunk_4,The question takes him by surprise.,
52、INT. JACOB'S BEDROOM - CONTINUOUS ACTION,doc_51_chunk_4,"He hesitates, then:",
52、INT. JACOB'S BEDROOM - CONTINUOUS ACTION,doc_51_chunk_4,He motions at his PILLOW.,
52、INT. JACOB'S BEDROOM - CONTINUOUS ACTION,doc_51_chunk_4,He LAUGHS.,
79、EXT. WEAVER BACKYARD,doc_78_chunk_6,Jacob dives in.,
49、INT. BAR,doc_48_chunk_2,Jacob had just been introducing himself to.,"Bar, Jacob introducing himself to women"
79、EXT. WEAVER BACKYARD,doc_78_chunk_12,Jacob JUMPS on Cal.,during a battle
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_0,Jacob puts an album on his record player.,"Jacob's apartment, early visit with Hannah"
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_0,"Jacob pours two nice glasses of SCOTCH, neat.","Jacob's apartment, early visit with Hannah"
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_0,Brings,"Jacob's apartment, early visit with Hannah"
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_1,He pats the couch.,Moving the bottle towards the couch
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_1,Jacob takes a sip.,After the toast
50、INT. JACOB'S APARTMENT - LATER,doc_49_chunk_1,"Jacob raises a brow, pours her another.",After Hannah requests a refill
