doc_title,chunk_id,text,scene_context
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_3,You will be a Queen in heaven now...,"Scene 163a: Eric speaks to Snow White's body in a chamber, discussing her afterlife."
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_3,And sit among the angels.,"Scene 163a: Eric speaks to Snow White's body in a chamber, discussing her afterlife."
1、EXT. GARDENS/ CASTLE - DAY.,doc_0_chunk_0,"Once upon a time, in deep winter, a Queen was admiring the falling snow when she saw a rose blooming in defiance of the cold. The rose looks miraculously red. Nearby, a RAVEN looks on. The Queen gazes at the flower, then bends down.",Castle gardens: Voice over narration about a Queen and a rose.
47、EXT. INN - SAME - DAY.,doc_46_chunk_1,"Actually, I seem to have drunk it all. You're welcome to it when it comes out again.","Inn, Eric and Broch in a fight, Eric responds to Broch's demand for money."
52、EXT.TREES/ DARK FOREST - DAY.,doc_51_chunk_1,Pay them no mind.,"Scene 64a: In a dark forest, Eric tells Finn and the guards to ignore the voices."
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_2,"She was my wife, princess. That was your question that went unanswered. Sara was her name. When I came back from the wars I carried with me the stench of death and the anger of the lost. I wasn't worth saving. But she did so anyway. I loved her more than anything or anyone. And then I let her out of my sight and she was gone and I became myself again. A self I never cared for. Until you. You remind me of her. Her spirit. Her heart. And now you, too, are gone. You both deserved better. And I'm sorry to have failed you as well.",Speaking to the princess about his late wife Sara
49、EXT. MOORS/ OUTSIDE DARK FOREST - DAY.,doc_48_chunk_1,Sorrow.,Finn questions Eric about watching a man die.
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_12,Back from the dead and instigating the masses.,EXT. CASTLE - NIGHT: Eric speaks with Snow White as the army prepares to leave.
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_12,Only if you have need of a brutish soldier.,EXT. CASTLE - NIGHT: Eric speaks with Snow White as the army prepares to leave.
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_12,You look fetching in mail.,EXT. CASTLE - NIGHT: Eric speaks with Snow White as the army prepares to leave.
51、EXT. BOGS/ DARK FOREST - DAY.,doc_50_chunk_0,Do exactly as I do.,Bog entrance: Eric instructs Finn and others on stepping on grassy stones.
22、EXT. VILLAGE - DAY.,doc_21_chunk_0,Your eyes are dim.,Prison wagon: Eric haggles with slave merchant over Rose.
22、EXT. VILLAGE - DAY.,doc_21_chunk_0,After all the business we've done together?,Prison wagon: Eric haggles with slave merchant over Rose.
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_4,What do you intend to do with her?,Eric holds Snow White as Finn and his men approach; Eric questions Finn about his intentions.
21、EXT. FOREST - DAY.,doc_20_chunk_3,"Don't worry, somebody else will.",Eric tosses Rose over his shoulders and tells her not to worry about repayment.
47、EXT. INN - SAME - DAY.,doc_46_chunk_0,I have it right here in my pocket. If you'll just help me up.,"Near a hole, speaking with Broch about money and help to stand up."
49、EXT. MOORS/ OUTSIDE DARK FOREST - DAY.,doc_48_chunk_0,Death is everywhere.,"Riding on the moors with Finn and four guards, discussing battle."
49、EXT. MOORS/ OUTSIDE DARK FOREST - DAY.,doc_48_chunk_0,It's not something I counted.,"Riding on the moors with Finn and four guards, discussing battle."
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_6,"I said, shut up!",Eric threatens Snow White with a knife to silence her.
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_6,I'll keep my word when the Queen keeps hers.,Eric speaks to Finn about the Queen keeping her word.
49、EXT. MOORS/ OUTSIDE DARK FOREST - DAY.,doc_48_chunk_2,Too bad. You'll need one.,"At the entrance to the Dark Forest, Eric speaks with Finn about needing a wife to save one's soul."
21、EXT. FOREST - DAY.,doc_20_chunk_0,Lay a hand on her and I'll take your head!,Clearing: Eric confronts Broch during a fight with Rose.
21、EXT. FOREST - DAY.,doc_20_chunk_0,Won't take much courage to split your skull from here.,Clearing: Eric confronts Broch during a fight with Rose.
48、INT. THRONE ROOM - CASTLE - DAY.,doc_47_chunk_1,Then he's dead -,Ravenna reports a prisoner escaped into the dark forest; Eric states the prisoner is dead.
48、INT. THRONE ROOM - CASTLE - DAY.,doc_47_chunk_1,Then she is certainly dead.,Ravenna corrects Eric that the prisoner is a woman; Eric states she is dead.
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_1,Like you're asleep; about to wake-up and give me more grief. Am I right?,"Snow White's funeral, Eric speaks to her body while drunk."
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_1,You deserved better.,"Snow White's funeral, Eric speaks to her body with genuine emotion after losing drunken swagger."
132、INT. THRONE ROOM - DAY.,doc_131_chunk_5,Kill her!,Final battle with Dark Faerie
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_7,I WANT HER BACK!,"Eric holds Snow White at knife-point, facing approaching Guards and Finn, demanding to have her back."
22、EXT. VILLAGE - DAY.,doc_21_chunk_1,"I'll peddle my wares elsewhere, thank you.",Marketplace: negotiating slave sale with slave merchant
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_5,You want her. Give me what I was promised.,Eric to Finn: demanding payment for Snow White
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_5,Shut up!,Eric to Snow White: telling her to be quiet after her warning
54、EXT. TREES/ DARK FOREST - DAY.,doc_53_chunk_3,Sure she is.,"With Snow White, discussing the Queen's threat."
18、INT. MIRROR CHAMBER - NIGHT,doc_17_chunk_6,"The spell Ravenna's mother placed on her gave her the ability to steal youth and
beauty, and indeed all things good, forher own evil purposes. But for every
life there must be a death, for every
gain, loss, and under the reign of
Ravenna nature turned on itself and
people turned on each other.",Time-lapse of rotting apple: voiceover on Ravenna's spell
104、EXT. NEAR THE CASTLE GATES - DAY (MOVED FROM,doc_103_chunk_0,Open the gate.,"Gate, Eric demands the gate be opened"
48、INT. THRONE ROOM - CASTLE - DAY.,doc_47_chunk_3,and if I refuse?,"Court setting, Eric speaking to Ravenna about refusing."
