doc_title,chunk_id,fact,scene_context
48、武馆，夜，内,doc_48_chunk_2,吴良在二楼观看比赛。,拳击比赛现场，二楼观众席
49、公路，夜，外,doc_49_chunk_0,吴良有小弟,马东开车被吴良小弟拦截的场景
26、火锅店，夜，内,doc_26_chunk_2,吴良在几年前给了艾迪生一笔钱。,几年前
56、武馆赛场，夜，内,doc_56_chunk_6,吴良在第三回合攻击艾迪生的左臂。,第三回合拳击比赛
56、武馆赛场，夜，内,doc_56_chunk_6,吴良在第三回合用飞踹将艾迪生打倒。,第三回合拳击比赛
26、火锅店，夜，内,doc_26_chunk_1,吴良在三年前的比赛中获胜。,
59、警察局，日，内,doc_59_chunk_0,吴良终身禁赛,警察盘问马东
22、吴良家，夜，内,doc_21_chunk_0,吴良明确拒绝了艾迪生叫他'阿良'。,屋内，艾迪生被小弟领入后与吴良对峙。
52、天台，夜，外,doc_52_chunk_0,吴良在电话中与艾迪生交谈。,艾迪生接电话时
20、豪宅，日，外,doc_19_chunk_0,吴良被父亲吴德教训,吴德面前
56、武馆赛场，夜，内,doc_56_chunk_5,吴良用十字固锁住了艾迪生,拳台第二回合
56、武馆赛场，夜，内,doc_56_chunk_9,吴良在拳击比赛中被裁判判定出局。,拳击比赛最后阶段
56、武馆赛场，夜，内,doc_56_chunk_7,吴良的组合拳被艾迪生用右手拦下。,拳击比赛现场
56、武馆赛场，夜，内,doc_56_chunk_4,吴良毫无反击之力,第二回合比赛
56、武馆赛场，夜，内,doc_56_chunk_4,吴良挣脱了艾迪生的控制,第二回合比赛
