doc_title,chunk_id,fact,scene_context
27、招牌小店，夜，内,doc_26_chunk_1,黄杰瑞开始做饭。,里屋的厨房
54、会场电梯，日，内,doc_53_chunk_0,黄杰瑞在电梯里被黑衣人挡住去路。,电梯中，被黑衣人挡住去路
13、屋子外，日，外,doc_12_chunk_0,奇迹终于出现了。,院子外，黄杰瑞放烟花后
40、堕落街，夜，外,doc_39_chunk_3,小曼称呼黄杰瑞为爷爷。,画面切回：锅前
8、招牌小吃，夜，内,doc_7_chunk_2,黄杰瑞起身时发现卢小鱼小弟已经走出了屋子。,屋内
27、招牌小店，夜，内,doc_26_chunk_4,点钞机显示一百张,画面切换后
27、招牌小店，夜，内,doc_26_chunk_6,黄杰瑞是小曼的爷爷。,小曼画外音呼叫爷爷时
8、招牌小吃，夜，内,doc_7_chunk_1,黄杰瑞手里拿着一条鞭子,开门准备离开时，黄杰瑞叫住卢小鱼和卢小鱼小弟
27、招牌小店，夜，内,doc_26_chunk_0,黄杰瑞的手杖被砍断,屋内魔术表演后
27、招牌小店，夜，内,doc_26_chunk_0,黄杰瑞漂浮在了空中,屋内魔术表演后
