doc_title,chunk_id,text,scene_context
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_9,It's okay. I can peddle toilet paper.,
28、INT. DELTA ZETA LIVING ROOM - SANE,doc_27_chunk_1,Then come and get me.,
11、EXT. DORMITORY - MORNING - LITTLE LATER,doc_10_chunk_0,What murders?,"Outside of her dorm, Sidney is confronted by reporters asking about the victims and murders; she appears confused and starts to panic."
16、INT. CORRIDOR - SAME,doc_15_chunk_1,No PDA.,"Scene in a hallway; Sidney is speaking to someone she is romantically involved with, objecting to public displays of affection."
11、EXT. DORMITORY - MORNING - LITTLE LATER,doc_10_chunk_4,"What's going on, Dewey?",Sidney is being helped into a campus security vehicle by Dewey Riley; she asks him about the situation.
11、EXT. DORMITORY - MORNING - LITTLE LATER,doc_10_chunk_3,What's going on?,"Scene or location not specified: Sidney is confronted by a crowd of reporters and cameras, with Gale Wathers helping her; Sidney asks about the situation."
12、EXT. SECURITY CART - MINUTES LATER,doc_11_chunk_1,It's a copycat killer I knew this would happen. That fucking movie.,
12、EXT. SECURITY CART - MINUTES LATER,doc_11_chunk_1,"Yeah, right.",
38、INT. CAMPUS THEATRE - DAY,doc_37_chunk_1,Shit. Did I?,"Scene during a play rehearsal; Sidney speaks after being corrected by Lois, with the director present and bodyguards nearby."
12、EXT. SECURITY CART - MINUTES LATER,doc_11_chunk_3,"You go, it's all stairs, I can take it from here.",
12、EXT. SECURITY CART - MINUTES LATER,doc_11_chunk_3,"Dewey, I'm completely equipped with",
38、INT. CAMPUS THEATRE - DAY,doc_37_chunk_2,"Yeah, right.","Scene: During or after a rehearsal, Sidney responds to Hallie's comment about a performance."
28、INT. DELTA ZETA LIVING ROOM - SANE,doc_27_chunk_4,Derek. He's in the house. Help... me...,"Foyer: Sidney speaks to Derek, warning him that someone is in the house and pleading for help."
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_10,No special treatment. I can do this. C'mon Hallie.,"Scene: At a location where Sidney retrieves her toilet paper; she speaks to Derek and Hallie, indicating she can handle the situation without special treatment."
12、EXT. SECURITY CART - MINUTES LATER,doc_11_chunk_4,"No. This is nothing, Dewey. I'll be okay. Go back to work and let me get back to my quasi pseudo-happy existence.","Scene: Outside a building, Sidney speaks with Dewey before entering the building."
38、INT. CAMPUS THEATRE - DAY,doc_37_chunk_4,What do you want?,
38、INT. CAMPUS THEATRE - DAY,doc_37_chunk_4,Do you work for her now?,
24、EXT. DELTA ZETA LIVING ROOM - SANE,doc_23_chunk_2,"Where have you been'? You missed my
shining moment. I won the macaroni
sundae binge.","Scene or location not specified: Sidney speaks to Derek, expressing disappointment that he missed her winning a macaroni sundae binge."
38、INT. CAMPUS THEATRE - DAY,doc_37_chunk_0,"Pain, yah, such pain. Pain.","Scene in a large tiered theatre during a rehearsal; Sidney is performing with a Russian accent as part of her role, speaking to other actors on stage."
24、EXT. DELTA ZETA LIVING ROOM - SANE,doc_23_chunk_3,Any news?,"Scene: Watching the next round with Derek, Sidney asks about the forbidden subject."
24、EXT. DELTA ZETA LIVING ROOM - SANE,doc_23_chunk_3,The forbidden subject.,"Scene: Watching the next round with Derek, Sidney refers to an unspoken topic."
12、EXT. SECURITY CART - MINUTES LATER,doc_11_chunk_2,No. I will not crawl under a rock. This is a fucked-up world and people kill people all the time. I'll just get used to it.,Sidney is on a security cart with Dewey; she expresses her feelings about the violence in the world and her determination to cope.
