doc_title,chunk_id,text,scene_context
101、EXT. WALTER'S APT. - DAY,doc_100_chunk_0,Shit.,Parking lot and stairs outside Walter's door; Vicki is trying to get a response after knocking but receives no answer.
49、INT. WALTER'S BEDROOM - MORNING,doc_48_chunk_3,"I still feel like the lowest piece of shit, when I think about it.",
44、EXT. WAREHOUSE - LATER,doc_43_chunk_0,Hey.,Scene: Outside a building near a bus stop; Vicki calls out to Walter from her Jeep.
32、INT. CAR - NIGHT,doc_31_chunk_4,You never spoke to me before.,
32、INT. CAR - NIGHT,doc_31_chunk_4,What do you think?,
33、INT. WALTER'S APARTMENT - NIGHT,doc_32_chunk_4,Are you going to tell me your deep dark secret before we have sex?,
33、INT. WALTER'S APARTMENT - NIGHT,doc_32_chunk_4,,
61、INT. WALTER'S APT. - MORNING,doc_60_chunk_0,You want to go for a ride?,
49、INT. WALTER'S BEDROOM - MORNING,doc_48_chunk_9,"You don't molest little girls anymore, do you?","Scene T.E. CONTINUED: Vicki confronts Walter, asking about his past behavior."
32、INT. CAR - NIGHT,doc_31_chunk_1,Very weird.,
32、INT. CAR - NIGHT,doc_31_chunk_1,What's weird about that?,
32、INT. CAR - NIGHT,doc_31_chunk_1,Guess I'm not like most women.,
60、INT. VICKI'S APT. - MORNING,doc_59_chunk_0,"Don't die on me, you little shit.","In her apartment, Vicki speaks to a plant while tending to it."
49、INT. WALTER'S BEDROOM - MORNING,doc_48_chunk_7,So it was mostly fondling? Shit like that?,
49、INT. WALTER'S BEDROOM - MORNING,doc_48_chunk_7,Twelve years in prison?,
33、INT. WALTER'S APARTMENT - NIGHT,doc_32_chunk_2,What about them?,Living room; Vicki is speaking with Walter about bears.
33、INT. WALTER'S APARTMENT - NIGHT,doc_32_chunk_2,"Yeah, they could.","Living room; Vicki is responding to Walter's concern about bears, while looking at a bus map on the wall."
26、INT. WAREHOUSE CAFETERIA - DAY,doc_25_chunk_0,What?,"Scene: In a dining area, Vicki responds to Walter's question while eating."
26、INT. WAREHOUSE CAFETERIA - DAY,doc_25_chunk_0,"Yeah, I'm fucking fantastic.","Scene: In a dining area, Vicki responds sarcastically to Walter's concern about her well-being."
