doc_title,chunk_id,fact,scene_context
137、INT. SCIMITAR - BRIDGE - NIGHT,doc_136_chunk_5,Picard dematerializes.,Bridge
13、INT. ENTERPRISE - BRIDGE - LATER,doc_12_chunk_1,Picard promises to get Riker to Betazed with time to spare.,Bridge: During navigation discussion about Kolarin system and Betazed.
139、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_138_chunk_1,Picard knows that the viewscreen is no longer functional.,
137、INT. SCIMITAR - BRIDGE - NIGHT,doc_136_chunk_3,Picard impales Shinzon.,
137、INT. SCIMITAR - BRIDGE - NIGHT,doc_136_chunk_2,Picard succeeds in stunning the Remans.,bridge
12、INT. ENTERPRISE - BRIDGE - DAY,doc_11_chunk_0,Picard is not on the bridge.,"Bridge, during a conversation about tradition and Betazed."
121、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_120_chunk_1,Picard is buying time.,
133、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_132_chunk_3,Picard dematerializes.,
117、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_116_chunk_1,Picard can see his enemy directly through the gaping hole in the ship's hull.,On the ship during an attack by the Scimitar.
115、INT. ENTERPRISE - BRIDGE - NIGHT,doc_114_chunk_0,Picard orders the diversion of power and compensation to address the ventral shielding loss on deck twenty nine.,Bridge: Ventral shielding loss on deck twenty nine.
137、INT. SCIMITAR - BRIDGE - NIGHT,doc_136_chunk_1,"Picard's phaser blast hits Shinzon in the chest, causing Shinzon to be stunned.","Bridge, after doors explode, Picard enters and fires phaser."
141、INT. ENTERPRISE - PICARD'S CABIN - NIGHT,doc_140_chunk_2,Picard is stopped by a humming sound while attempting to leave.,"Picard's office, Picard begins to leave but is stopped by a humming sound."
"154、EXT. EARTH, ALASKA - PAVILION - LATER",doc_153_chunk_7,Picard and Deanna agree to dance.,Dance floor
162、INT. ENTERPRISE - BRIDGE,doc_161_chunk_1,Picard orders Data and Worf to accompany him.,
104、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_103_chunk_0,Picard orders Deanna to proceed with her plan.,Bridge during emergency evacuation
137、INT. SCIMITAR - BRIDGE - NIGHT,doc_136_chunk_4,Picard is pinned against a wall by Shinzon's body.,
159、INT. ENTERPRISE - BRIDGE - DAY,doc_158_chunk_0,Picard is not on the bridge.,"Bridge, during a conversation between Worf, Deanna, and Riker about tradition and combat on Betazed."
142、INT. ENTERPRISE - CORRIDOR - NIGHT,doc_141_chunk_1,Picard promises Riker that the ship will become his home in time.,
141、INT. ENTERPRISE - PICARD'S CABIN - NIGHT,doc_140_chunk_1,Picard instructs Worf to notify Commander Riker.,After Worf's comm about the Hemingway arriving to tow the ship to spacedock.
141、INT. ENTERPRISE - PICARD'S CABIN - NIGHT,doc_140_chunk_1,Picard commits to having a future conversation with B.,After Worf's comm about the Hemingway arriving to tow the ship to spacedock.
139、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_138_chunk_3,Picard transfers command of the bridge to Riker.,Bridge: Picard hands over command to Riker.
165、EXT. JEEP - KOLARUS III - CANYON - DAY,doc_164_chunk_0,Picard orders Worf to accompany Data.,Canyon: Picard directs Worf to accompany Data in the search for the head.
133、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_132_chunk_2,Picard assigns command of the bridge to Data.,on the bridge
133、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_132_chunk_2,Picard orders Geordi to use all available power to move away from the Scimitar.,on the bridge
162、INT. ENTERPRISE - BRIDGE,doc_161_chunk_2,Picard assigns the bridge to Troi.,"Bridge, Picard departs via turbolift."
169、INT. ENTERPRISE - ENGINEERING LAB - DAY,doc_168_chunk_0,"Picard is standing with Data, Riker, and Geordi.","Data's android head is being examined in a framework rig, with Picard, Riker, and Geordi present."
171、INT. ENTERPRISE - READY ROOM - NIGHT,doc_170_chunk_2,Picard receives an Alpha Priority communication from Starfleet Command.,Picard and Deanna's private moment interrupted by a Starfleet comm signal.
169、INT. ENTERPRISE - ENGINEERING LAB - DAY,doc_168_chunk_1,Picard instructs Riker to keep him informed about the head.,"Engineering lab, during examination of the head (B-9)."
169、INT. ENTERPRISE - ENGINEERING LAB - DAY,doc_168_chunk_1,Picard instructs Riker to put the head back together.,"Engineering lab, during examination of the head (B-9)."
175、INT. ENTERPRISE - ENGINEERING LAB - DAY,doc_174_chunk_1,Picard agrees that the B-was was probably designed with the same self-actualization parameters as Data.,
172、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_171_chunk_0,Picard orders a course to Romulus at warp eight.,Bridge: Picard orders course to Romulus at warp eight.
177、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_176_chunk_1,Picard refuses to raise shields at this time.,"Enterprise bridge, diplomatic standoff"
177、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_176_chunk_1,Picard commits to waiting for diplomacy.,"Enterprise bridge, diplomatic standoff"
164、EXT. KOLARUS III - DAY,doc_163_chunk_3,Picard is driving with free-spirited panache.,Driving through terrain
18、EXT. JEEP - KOLARUS III - CANYON - DAY,doc_17_chunk_0,Picard orders Worf to accompany Data.,"Canyon, after Data reports the head's location."
171、INT. ENTERPRISE - READY ROOM - NIGHT,doc_170_chunk_0,Picard invites Deanna to sit down.,"Picard's quarters, Deanna enters and Picard invites her to sit."
189、INT. SENATE CHAMBER - LATER,doc_188_chunk_0,Picard is no longer present in the scene.,"Shinzon's chamber, after Picard's departure"
188、INT. ROMULAN SENATE CHAMBER - NIGHT,doc_187_chunk_3,Picard is impressed with Shinzon's quiet words.,Romulan Senate chamber
15、INT. ENTERPRISE - BRIDGE,doc_14_chunk_2,Picard hands over command of the bridge to Troi.,"Turbolift, Picard gives bridge command to Troi"
190、INT. ENTERPRISE BRIDGE - NIGHT,doc_189_chunk_1,Picard orders the setup of a security program to detect unusual data stream rerouting.,After Geordi reports a Thalaron spike in the sensor logs
179、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_178_chunk_0,Picard refuses to raise shields.,"Bridge, upon seeing a huge ship on the viewscreen"
179、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_178_chunk_0,Picard orders Worf to perform a tactical analysis.,"Bridge, upon seeing a huge ship on the viewscreen"
174、INT. ENTERPRISE - OBSERVATION LOUNGE - DAY,doc_173_chunk_4,Picard dismissed the meeting.,The meeting
179、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_178_chunk_3,The endless waiting has been terminated.,"Transporter room area, after the endless waiting ends."
204、INT. SCIMITAR - CORRIDORS - NIGHT,doc_203_chunk_0,Picard subdues the Remans.,Corridor fight during security alert
167、INT./ EXT. JEEP - KOLARUS III - FOLLOWING,doc_166_chunk_0,Picard becomes aware of the alien pursuit.,"Desert terrain, alien pursuit"
20、INT./ EXT. JEEP - KOLARUS III - FOLLOWING,doc_19_chunk_0,Picard becomes aware of the alien pursuit.,"Desert vehicle chase, Picard turns to see the alien pursuit."
204、INT. SCIMITAR - CORRIDORS - NIGHT,doc_203_chunk_2,Picard keeps the Remans at bay,Corridor near shuttlebay during Reman attack
207、INT. SCIMITAR CORRIDORS - FOLLOWING,doc_206_chunk_0,Picard keeps control of the Scorpion during the maneuver.,"Corridor, after the Scorpion passes the stunned Remans"
205、INT. SCIMITAR - SHUTTLEBAY - FOLLOWING,doc_204_chunk_0,Picard seals the door mechanism.,After the door closes behind the group.
204、INT. SCIMITAR - CORRIDORS - NIGHT,doc_203_chunk_4,The shuttlebay door is open.,"Shuttlebay, door opens after Picard's request"
204、INT. SCIMITAR - CORRIDORS - NIGHT,doc_203_chunk_1,The shuttlebay door does not open.,shuttlebay door
198、INT. SCIMITAR - BRIG - NIGHT,doc_197_chunk_0,Picard's communicator pin has been removed.,Reman brig
22、INT. ENTERPRISE - ENGINEERING LAB - DAY,doc_21_chunk_1,Picard instructs Riker to keep him informed and to put the head back together.,
233、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_232_chunk_0,Picard orders a full axis rotation to port and firing of all ventral phasers.,The bridge during a ruthless attack
226、INT. ENTERPRISE - ASTROMETRICS - NIGHT,doc_225_chunk_4,Picard orders evasive maneuvers.,Enterprise in Bassen Rift under attack
223、INT. ENTERPRISE - SICKBAY - NIGHT,doc_222_chunk_2,Picard departs the scene.,
235、INT. ENTERPRISE BRIDGE - FOLLOWING,doc_234_chunk_0,Picard agrees with Riker's assessment that disabling the cloak is necessary to avoid firing in the dark.,Bridge of the Enterprise during battle with the Scimitar
200、INT. SCIMITAR - BRIG - NIGHT,doc_199_chunk_0,The security force field confining Picard is deactivated.,Brig
236、INT. ENTERPRISE - READY ROOM,doc_235_chunk_7,Picard has made a connection with Shinzon.,Picard and Shinzon discussing their father
238、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_237_chunk_0,Picard orders the hail to be displayed on the viewscreen.,Bridge: Romulan Warbirds appear on viewscreen and the ship is being hailed.
251、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_250_chunk_0,Picard authorizes the Counselor to proceed with her plan to find the missing personnel.,
239、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_238_chunk_0,Picard orders Worf to coordinate the attack with the Valdore's tactical officer.,During the battle with the Scimitar
239、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_238_chunk_0,Picard orders Worf to triangulate fire on any shield impacts.,During the battle with the Scimitar
264、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_263_chunk_0,Picard can now see his enemy directly through the gaping hole in the ship's hull.,Bridge during battle with the Scimitar
284、INT. SCIMITAR - BRIDGE - NIGHT,doc_283_chunk_2,Picard succeeds in stunning the Remans.,Bridge: battle with Remans
215、INT. ENTERPRISE - CARGO BAY - FOLLOWING,doc_214_chunk_0,Picard orders an emergency warp.,"Enterprise cargo bay, after materialization"
280、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_279_chunk_3,Picard dematerializes.,During a transporter sequence on the ship.
280、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_279_chunk_0,Picard learns that the targeting sequence should take about four minutes.,Watching the Cascading Pulse weapon deploy
284、INT. SCIMITAR - BRIDGE - NIGHT,doc_283_chunk_5,Picard dematerializes.,Bridge
288、INT. ENTERPRISE - PICARD'S CABIN - NIGHT,doc_287_chunk_1,Picard instructs Worf to notify Commander Riker.,"Picard's office, after Worf's comm report about the Hemingway arriving"
284、INT. SCIMITAR - BRIDGE - NIGHT,doc_283_chunk_3,Picard impales Shinzon.,in the battle scene
286、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_285_chunk_3,Picard gives command of the bridge to Riker.,"Bridge: After Geordi's line about opening doors, Picard addresses Riker as Number One and transfers command."
280、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_279_chunk_2,Picard appoints Data as the commander of the bridge.,Bridge of the Enterprise
280、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_279_chunk_2,Picard orders the ship to use all available power to move away from the Scimitar.,Bridge of the Enterprise
24、INT. ENTERPRISE - READY ROOM - NIGHT,doc_23_chunk_6,Picard has been instructed by Janeway to travel to the Reman Praetor's location to gather information.,"Bridge of USS Enterprise, viewscreen communication with USS Voyager"
25、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_24_chunk_0,Picard orders a new course to Romulus at warp eight.,"Bridge, Picard orders course to Romulus at warp eight"
292、INT. ENTERPRISE - READY ROOM - FOLLOWING,doc_291_chunk_1,Picard welcomes Commander Madden aboard.,officer's mess: Commander Madden reports for duty
29、EXT. ENTERPRISE - OVER ROMULUS - SPACE,doc_28_chunk_0,The Enterprise is in orbit around Romulus.,Enterprise orbiting Romulus
289、INT. ENTERPRISE - CORRIDOR - NIGHT,doc_288_chunk_1,Picard promises Riker that the ship will become his home in time.,"Corridor, following Riker's comment that the ship is not the Enterprise"
221、INT. ENTERPRISE - OBSERVATION LOUNGE - NIGHT,doc_220_chunk_3,Picard orders the ship to battle stations.,"After Riker's agreement, Picard issues the battle stations order."
30、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_29_chunk_1,Picard refuses to raise shields.,"Bridge of the Enterprise, as Worf recommends raising shields"
286、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_285_chunk_2,Picard instructs Geordi to prepare the shuttlebay for arrivals.,
280、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_279_chunk_1,Picard must perform the site-to-site transport himself.,Deanna and Data express concern about Picard's one-way transport.
49、INT. ENTERPRISE - SICKBAY - DAY,doc_48_chunk_2,Picard is gone.,
42、INT. SENATE CHAMBER - LATER,doc_41_chunk_0,Picard is absent from the scene.,
57、INT. SCIMITAR - CORRIDORS - NIGHT,doc_56_chunk_0,Picard subdues the Remans.,Ship corridors during security alert
51、INT. SCIMITAR - BRIG - NIGHT,doc_50_chunk_0,Picard is in the Reman brig.,Reman brig
51、INT. SCIMITAR - BRIG - NIGHT,doc_50_chunk_0,Picard's communicator pin has been removed.,Reman brig
68、INT. ENTERPRISE - CARGO BAY - FOLLOWING,doc_67_chunk_0,Picard orders an emergency warp.,Enterprise cargo bay
33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT,doc_32_chunk_13,Picard's face at that age is nearly identical to Shinzon's face.,
57、INT. SCIMITAR - CORRIDORS - NIGHT,doc_56_chunk_2,Picard keeps the Remans at bay.,"Corridor, Reman warriors closing in."
"7、EXT. EARTH, ALASKA - PAVILION - LATER",doc_6_chunk_3,Picard refuses to allow Deanna to brief the new counselor.,"Group conversation with Riker, Deanna, and Beverly"
59、INT. SCORPION COCKPIT - SHUTTLEBAY - FOLLOWING,doc_58_chunk_1,Picard decides to proceed through the doors back into the ship.,"Shuttlebay, after Data reports the force field blocking the external doors."
60、INT. SCIMITAR CORRIDORS - FOLLOWING,doc_59_chunk_0,Picard keeps control of the Scorpion.,Corridor
32、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_31_chunk_0,Picard refuses to raise shields.,"Bridge, upon observing a huge ship on the viewscreen."
32、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_31_chunk_0,Picard orders a tactical analysis.,"Bridge, upon observing a huge ship on the viewscreen."
43、INT. ENTERPRISE BRIDGE - NIGHT,doc_42_chunk_1,Picard orders the setup of a security program to detect unusual data stream rerouting.,During Geordi's sensor log review
"7、EXT. EARTH, ALASKA - PAVILION - LATER",doc_6_chunk_7,Picard requests a dance with Deanna.,Dance floor
86、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_85_chunk_0,Picard orders a full axis rotation to port and the firing of all ventral phasers.,Bridge under attack
74、INT. ENTERPRISE - OBSERVATION LOUNGE - NIGHT,doc_73_chunk_3,Picard orders the Enterprise to battle stations.,
89、INT. ENTERPRISE - READY ROOM,doc_88_chunk_0,Picard agrees that they are alone.,"Ready Room, Shinzon's hologram appears and Picard confirms the state of isolation."
51、INT. SCIMITAR - BRIG - NIGHT,doc_50_chunk_3,The force field in the cell is reactivated.,in the cell
51、INT. SCIMITAR - BRIG - NIGHT,doc_50_chunk_3,Picard's blood is analyzed by the Reman doctor.,in the cell
89、INT. ENTERPRISE - READY ROOM,doc_88_chunk_7,Picard has made a connection with Shinzon.,Picard and Shinzon's conversation
89、INT. ENTERPRISE - READY ROOM,doc_88_chunk_7,Picard begins to tell about their father.,Picard and Shinzon's conversation
58、INT. SCIMITAR - SHUTTLEBAY - FOLLOWING,doc_57_chunk_0,The door mechanism is sealed.,After door closes behind Picard and others
91、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_90_chunk_0,Picard orders the hail to be displayed on the viewscreen.,"Bridge, after two Romulan Warbirds appear and Worf reports being hailed."
89、INT. ENTERPRISE - READY ROOM,doc_88_chunk_4,Picard senses Shinzon's turmoil.,Tense confrontation with Shinzon
88、INT. ENTERPRISE BRIDGE - FOLLOWING,doc_87_chunk_0,Picard agrees to Riker's assessment that they are firing in the dark without disabling the cloak.,Bridge during battle with Scimitar
