doc_title,chunk_id,text,scene_context
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_17,You have some?,
2、INT. MASSEY MEYERSON CONFERENCE ROOM - DAY,doc_1_chunk_6,"That's the problem. I can't afford
to give her anything.",
2、INT. MASSEY MEYERSON CONFERENCE ROOM - DAY,doc_1_chunk_2,"Rex, please.","Miles Massey's office, Rex Rexroth responds to Miles addressing him formally."
1、EXT. BEVERLY HILLS MANSE,doc_0_chunk_1,Marylin?,
1、EXT. BEVERLY HILLS MANSE,doc_0_chunk_1,Dogs?,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_18,Sometimes I forget.,"Scene involving Marylin, Miles, and Ruth; Rex is being asked about taking his digestive enzymes."
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_11,Marylin.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_11,My whole metabolism is -- off.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_15,What's so goddamn funny?,"Scene involving a legal negotiation; Rex speaks to Miles and Ruth during a discussion about proceedings, expressing frustration."
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_22,Maybe I should reconsider my...,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_22,You're right. Screw her.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_21,She always looked out for me.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_21,She brought my digestive enzymes.,
40、INT. REX REXROTH MANSION,doc_39_chunk_1,Awwwwwww --,"Scene: The girls stop dancing and stare; Rex is clutching his left arm, expressing distress. One of the girls, Tart, asks him what's wrong."
2、INT. MASSEY MEYERSON CONFERENCE ROOM - DAY,doc_1_chunk_5,I don't know. I can assume...,
2、INT. MASSEY MEYERSON CONFERENCE ROOM - DAY,doc_1_chunk_5,I'm not sure.,
2、INT. MASSEY MEYERSON CONFERENCE ROOM - DAY,doc_1_chunk_5,Video.,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_13,What's a yert?,
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_13,Yeah.,"Scene context: At a gathering, Rex responds to Marylin's reminiscing about a past trip to Positano and staying at the Santo Pietro hotel."
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_19,What's Kirshner?,"Scene during a legal negotiation; Rex is speaking to Miles and Ruth, asking about a legal reference."
3、EXT. RUNNING PATH - SAN VICENTE BLVD. - MORNING,doc_2_chunk_19,Aren't we going in the wrong direction?,"Scene during a legal negotiation; Rex is speaking to Miles and Ruth, questioning the progress of the discussion."
