id,scene,question,answer,evidence,qa_type
1,28、INT. HOLMES' BEDROOM - DAWN,"In [28、INT. HOLMES' BEDROOM - DAWN], What is Gabrielle's emotional state when she embraces Holmes?",She is longing and seeking comfort.,"Gabrielle says, 'Hold me. Hold me tight.' and 'It's been such a long time.'",character states
2,63、INT. HOTEL ROOM - NIGHT,What does Holmes believe about the creature?,It's a mechanical monster with an artificial heart and lungs.,"HOLMES
Not only is it equipped with an
artificial heart, it also has artificial
lungs.",dialogue/beliefs
3,48、EXT. GLENNAHURICH CEMETARY - NIGHT,"In [48、EXT. GLENNAHURICH CEMETARY - NIGHT], What does Holmes note about Valladon's wedding ring and the canaries?",His wedding ring has turned green and there are three dead white canaries in the coffin.,"HOLMES
-- and why there are three dead canaries in the coffin. White canaries.",dialogue/beliefs
4,3、EXT. BAKER STREET - DAY,How does the camera move as Holmes and Watson enter the building?,Camera travels up the building's facade past 221B to the bay window,"Camera travels up the facade of the building, past the number 221B, to the bay window on the second floor",detailed description
5,10、INT. LIVING ROOM - DAY,Why does Holmes refuse to attend the ballet?,He believes it's a plot to bore him to death.,"Holmes says, 'It's a plot to bore me to death. I detest ballet.'",causal/relational queries
6,10、INT. LIVING ROOM - DAY,What causes Watson to think the sender is in distress?,The note's plea for help from the only man who can assist.,Watson reads the note: 'Please! You are the only man in the world who can help me.',causal/relational queries
7,47、EXT. GLENNAHURICH CEMETARY - DAY,What does Holmes say about the funeral arrangements?,Sad -- and rather odd. There are no flowers -- and no mourners.,HOLMES Sad -- and rather odd. There are no flowers -- and no mourners.,dialogue/beliefs
8,14、EXT. BAKER STREET - NIGHT,"In [14、EXT. BAKER STREET - NIGHT], What is Watson's emotional state?",Enraged,An enraged Watson,character states
9,1、INT. BANK VAULT - DAY,What is the function of the crystal ball mentioned in the box?,It produces a snowstorm and reveals a bust of Queen Victoria.,"a crystal ball which, when shaken, produces a snowstorm - and when the snow settles, we see a bust of Queen Victoria.",terminology/abbreviation/concept
10,16、INT. LIVING ROOM - NIGHT,What does Watson accuse Holmes of doing?,He accuses Holmes of a dastardly act and questions his reasoning.,How could you do a dastardly thing like that to me? What the deuce were you thinking of?,dialogue/beliefs
11,16、INT. LIVING ROOM - NIGHT,What reason does Holmes give for his actions?,He claims it was the only way to avoid hurting the madwoman's feelings.,It seemed like the only way to get out of it without hurting her feelings.,dialogue/beliefs
12,23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,"In [23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT], What is Gabrielle's current mental state?",She has temporary amnesia due to a concussion.,She's obviously had a concussion -- which often leads to temporary amnesia.,character states
13,8、INT. WATSON'S BEDROOM - DAY,What causes Mrs. Hudson to scream?,The sound of a revolver shot,From the living room comes the sound of a revolver shot. Mrs. Hudson screams and Watson looks off in alarm,causal/relational queries
14,45、INT. THIRD CLASS CARRIAGE - NIGHT,What does the monk whisper to the other monk?,Die Spur fuehrt nach Inverness. Die steigen dort aus. Dort muessen wir ihn finded -- den Valladon!,MONK (in a whisper) Die Spur fuehrt nach Inverness. Die steigen dort aus. Dort muessen wir ihn finded -- den Valladon!,dialogue/beliefs
15,7、INT. LIVING ROOM - 221B BAKER STREET - DAY,Why does Watson decide to move out?,To resume his medical practice.,"I intend to resume my practice. I am, after all, a doctor.",causal/relational queries
16,30、INT. HOLMES' BEDROOM - DAY,"In [30、INT. HOLMES' BEDROOM - DAY], What is Mrs. Hudson's emotional state upon seeing Gabrielle?",Scandalized,MRS. HUDSON (scandalized),character states
17,33、INT. EMPTY SHOP - DAY,"In [33、INT. EMPTY SHOP - DAY], What emotion does Gabrielle express upon seeing the shop?",She feels strange and unsettled.,It's so strange to think I've been writing to a place like this all these months.,character states
18,28、INT. HOLMES' BEDROOM - DAWN,"In [28、INT. HOLMES' BEDROOM - DAWN], What is Gabrielle's behavioral state when she beckons Holmes?",She is impatient.,"Gabrielle says, 'I don't know. Come, my love. Come. Please.'",character states
19,39、INT. LIVING ROOM - 221B BAKER STREET - DAY,"In [39、INT. LIVING ROOM - 221B BAKER STREET - DAY], What is Gabrielle's emotional state when she confronts Holmes?",Agitated and tearful,"agitated, tears welling up in her eyes",character states
20,47、EXT. GLENNAHURICH CEMETARY - DAY,What does Gabrielle believe about the two small coffins?,They must be children's coffins.,GABRIELLE The two small ones -- they must be children's coffins.,dialogue/beliefs
21,22、EXT. BAKER STREET - NIGHT,"In [22、EXT. BAKER STREET - NIGHT], Where does Von Tirpitz step out?",Across the street into a pool of light from a street lamp,a man steps out of the fog into a pool of light cast by one of the street lamps,scene localization
22,26、INT. HOLMES' BEDROOM - DAWN,"In [26、INT. HOLMES' BEDROOM - DAWN], What is Holmes doing in the passage?",Studying a square of cardboard with green smudges,studying the square of cardboard with the green smudges on it,character states
23,24、EXT. BAKER STREET - DAWN,"In [24、EXT. BAKER STREET - DAWN], What is the policeman's emotional state after the wagon passes?",relieved,"steps out of the doorway relieved, resumes his patrol",character states
24,34、EXT. DIOGENES CLUB - DAY,"In [34、EXT. DIOGENES CLUB - DAY], What is written on the discreet sign beside the building's entrance?",DIOGENES CLUB. Members Only.,Beside the entrance is a discreet sign reading: DIOGENES CLUB. Members Only.,objects/props
25,68、INT. TENT - NIGHT,"In [68、INT. TENT - NIGHT], Where did the test run occur that caused a leak in the hull?",Moray Firth,"During a test run in Moray Firth, pressure caused a leak in the hull.",scene localization
26,13、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,What is Holmes wearing as he sits in the wing chair?,A smoking jacket instead of a dinner coat,"Holmes, his dinner coat replaced by a smoking jacket, is sitting in the wing chair",detailed description
27,15、INT. LIVING ROOM - NIGHT,What does Holmes do with the wing chair?,Twists it so its back is to the door,"Holmes rises casually, twists the wing chair so that its back is to the door",detailed description
28,51、INT. HOTEL CORRIDOR - DAY,What does Watson assume about his room?,He assumes he is being put in the basement.,WATSON: I suppose you're putting me in the basement.,dialogue/beliefs
29,39、INT. LIVING ROOM - 221B BAKER STREET - DAY,"In [39、INT. LIVING ROOM - 221B BAKER STREET - DAY], What is Gabrielle's behavioral state after her confrontation with Holmes?",She hurries off to pack,She hurries off toward Watson's room,character states
30,60、EXT. URQUHART CASTLE - DAY,"In [60、EXT. URQUHART CASTLE - DAY], Where is the encampment of tents located?",Amidst the rubble of the Nether Bailey,"Amidst the rubble of the Nether Bailey, an encampment of tents has been set up",scene localization
31,11、INT. THEATRE - NIGHT,How does Petrova exit the stage?,She exits backwards on points.,"Petrova is making an exit, backwards, on points.",detailed description
32,24、EXT. BAKER STREET - DAWN,"In [24、EXT. BAKER STREET - DAWN], What is the policeman's emotional state when he sees something up ahead?",alarmed,"Alarmed, he ducks into the doorway of a building",character states
33,50、INT. HOTEL ROOM - DAWN,What does the Manager say about the view from the room?,The Manager says the view of the loch is lovely once the morning mist rolls away.,MANAGER: You have a lovely view of the loch from here -- as soon as the morning mist rolls away.,dialogue/beliefs
34,6、EXT. BAKER STREET - DAY,What does 'binges' refer to in the passage?,"A period of excessive or intense behavior, specifically drug use.","Once he went one of these dreadful binges, there was no telling how long it would last.",terminology/abbreviation/concept
35,15、INT. LIVING ROOM - NIGHT | 23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT | 39、INT. LIVING ROOM - 221B BAKER STREET - DAY | 46、EXT. INVERNESS STATION - DAY | 48、EXT. GLENNAHURICH CEMETARY - NIGHT,Why did Watson intervene when Holmes was questioning Gabrielle?,Watson intervened because Gabrielle was visibly distressed and unable to handle further questioning.,"Gabrielle's breath quickened, her hands trembled, and she burst into tears, prompting Watson to step forward and declare she was in no state to answer questions.",causal/relational queries
36,50、INT. HOTEL ROOM - DAWN | 23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT | 44、INT. SLEEPING COMPARTMENT - NIGHT,What does Holmes state about women after recounting the story of his fiancée's sudden death?,Holmes states that women are unreliable and not to be trusted.,"After recounting the story of his fiancée's sudden death, Holmes states that women are unreliable and not to be trusted.",character states
37,12、INT. DRESSING ROOM - NIGHT,What does Petrova state about her nails when addressing Holmes's hesitation?,Petrova states that her nails are perfectly smooth and that she will not scratch Holmes.,"Petrova, noticing his concern, held up her hands and said calmly that she would not scratch him—her nails were perfectly smooth.",character states
38,23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT | 38、INT. DOWNSTAIRS - 221B BAKER STEET - DAY | 48、EXT. GLENNAHURICH CEMETARY - NIGHT,What does Gabrielle state about the man in the coffin when she sees him?,Gabrielle does not state anything about the man in the coffin; she screams and collapses upon seeing him.,"Gabrielle stares at the face, then lets out a piercing scream. She collapses, and Watson catches her before she hits the ground.",character states
