doc_title,chunk_id,text,scene_context
51、INT. JEWISH ATOMIC CLOCK - MOMENTS LATER,doc_50_chunk_0,The Jewish Atomic Clock.,
51、INT. JEWISH ATOMIC CLOCK - MOMENTS LATER,doc_50_chunk_1,Get moving! We've got work to do!,
60、INT. SANTA'S CONFERENCE ROOM - CONTINUOUS,doc_59_chunk_1,Good point.,
56、INT. SANTA'S CONFERENCE ROOM - DAY,doc_55_chunk_1,"Ho, ho, ho.",
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_7,Come on in boys!,Santa whistles and calls in a group of Taiwanese boys as they approach an assembly line.
44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,doc_43_chunk_4,End transmission.,"Scene: After a transmission, Santa speaks to Tiny Tim following a moment of laughter between them."
25、INT. SANTA'S WORKSHOP - CONTINUOUS,doc_24_chunk_5,"You know something, you're right.","Scene: Workshop area, Santa responds to the Head Elf and other elves who are declaring a strike over union regulations."
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_2,Get him boys!,"Santa, after having his pistol shot out of his hand by the Hammer, calls for his Elf Thugs to attack."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_14,And what do the Jewish people do during Hanukkah?,"Inside the curtain, Santa is speaking to Jimmy, a six-year-old boy sitting on his lap, during a holiday event."
61、INT. ROOM WHERE THE HEBREW HAMMER'S GIRLFRIEND IS - MOMENTS,doc_60_chunk_4,I'm sorry. I see the light now. I was wrong. I'm...,
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_6,Get off of me you cripple!,Scene: Under an overturned table during a shootout; Santa is speaking to Tiny Tim after being landed on.
50、EXT. JEWISH ATOMIC CLOCK - AFTERNOON,doc_49_chunk_2,No. I'm airsick you asshole! Where the hell did these reindeer learn to fly?,"Scene: After the sleigh lands, Santa speaks to Tiny Tim about feeling airsick and the reindeer's flying skills."
56、INT. SANTA'S CONFERENCE ROOM - DAY,doc_55_chunk_0,"Rudolph, more egg nog!","Scene: At a conference table, Santa is seated with Tawni and Bambi on his lap; he speaks to Rudolph who is serving eggnog."
60、INT. SANTA'S CONFERENCE ROOM - CONTINUOUS,doc_59_chunk_0,I don't have to tell you anything Hammer! You're gonna have to kill me before I tell you!,"Scene: Inside a room, Santa is confronted by the Hammer who demands to know the location of his girlfriend."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_17,"Bambi. Tawni. I'd like for you to meet world renown Semitic super stud, Mordechai Jefferson Carver.",Scene: Santa introduces Bambi and Tawni to Mordechai Jefferson Carver; speaking to Bambi and Tawni.
50、EXT. JEWISH ATOMIC CLOCK - AFTERNOON,doc_49_chunk_3,Who's the leader of this operation?,
50、EXT. JEWISH ATOMIC CLOCK - AFTERNOON,doc_49_chunk_3,"What's your major malfunction, dumbfuck!?",
50、EXT. JEWISH ATOMIC CLOCK - AFTERNOON,doc_49_chunk_3,Step forward son!,
59、INT. SANTA'S WORKSHOP COMPOUND - CONTINUOUS,doc_58_chunk_6,"Hey, what's that over there? Is that a bowl of Matzah Ball soup?","Santa distracts the Hammer in a hallway by pointing to something behind him, using the mention of Matzah Ball soup as a ruse to escape."
61、INT. ROOM WHERE THE HEBREW HAMMER'S GIRLFRIEND IS - MOMENTS,doc_60_chunk_2,Please tell me. What is the true meaning of Hanukkah?,Scene: Santa is being taken away; he kneels and earnestly asks The Hammer about the true meaning of Hanukkah.
50、EXT. JEWISH ATOMIC CLOCK - AFTERNOON,doc_49_chunk_5,You eyeballin' me son!?,"Scene: Santa confronts Rudolph with a gun, reacting to Rudolph's defiant stare."
50、EXT. JEWISH ATOMIC CLOCK - AFTERNOON,doc_49_chunk_5,I didn't think so.,Scene: Santa mocks Rudolph after making him flinch with a fake punch.
44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,doc_43_chunk_2,"Once I extract the Judeum from the clock, the Jewish Calendar will cease to exist, forever eradicating Hanukkah.",
44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,doc_43_chunk_2,Can I borrow that pen and notepad?,"Scene: At the North Pole, Santa speaks to someone off-screen while preparing to make calculations."
10、INT. SANTA'S CONFERENCE ROOM - DAY,doc_9_chunk_12,What are you fucking midgets looking at!? Get back to work! We have Hanukkah to destroy!,"Scene following Santa's death: Damian, now referred to as SANTA, addresses the elves in the room, asserting authority and declaring intent to destroy Hanukkah."
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_9,What's going on? Why'd he stop?,"Scene: Underneath a table, Santa speaks to Tiny Tim while hearing gunfire cease."
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_9,Take a look.,"Scene: Underneath a table, Santa speaks to Tiny Tim, instructing him to check the situation."
