doc_title,chunk_id,fact,scene_context
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_1,Matt confirms that the patient has been taken off life support and is dying.,
114、INT. HOSPITAL ROOM - DAY,doc_113_chunk_7,Matt says goodbye to his wife Elizabeth while she is in a coma.,
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_4,Matt explicitly asserts his authority to make a decision without needing additional time to consider.,
103、INT. AIRPLANE - NIGHT,doc_102_chunk_0,Matt decides to involve Dr. Johnston in breaking the news to Scottie.,Scene on the plane during a family discussion about informing Scottie.
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_2,Matt refuses to sign the document related to the land decision.,Scene where Cousin Hugh hands Matt a pen to formalize a decision about the land.
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_4,Matt confirms to Scottie that her mother is going to die very soon.,"Scene in which Dr. Herman informs Scottie about her mother's condition, and Matt verifies the truth of the statement."
17、INT. MATT'S CAR - DAY,doc_16_chunk_1,The target character agrees to consider allowing Reina to visit Scottie in the hospital if Scottie apologizes to the girl and talks to her mother.,
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_6,Matt King decides not to sign the document that would end the family's ownership of the land.,
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_6,Matt King assumes responsibility as the trustee of the family landholding.,
46、EXT. KING SWIMMING POOL - DAY,doc_45_chunk_4,The target character is informed by doctors that his wife will not wake up and that medical care will be discontinued.,
117、EXT. THE OCEAN - DAY,doc_116_chunk_4,Matt participates in the act of scattering Elizabeth's ashes into the ocean.,Scene on the boat where the ashes are poured into the water.
117、EXT. THE OCEAN - DAY,doc_116_chunk_4,Matt removes his lei and places it into the water as a gesture of farewell.,Scene on the boat after the ashes are scattered.
5、INT. HOSPITAL ROOM - DAY,doc_4_chunk_0,Matt is informed that his daughter Scottie's teacher has an urgent call for him.,"Scene where Matt receives a phone call from Noe, who relays the message about Scottie's teacher."
117、EXT. THE OCEAN - DAY,doc_116_chunk_1,Matt participates in the scattering of his wife's ashes at sea with his daughters.,"Scene: At sea near Waikiki, during a family ceremony."
117、EXT. THE OCEAN - DAY,doc_116_chunk_1,Matt gives Alex permission to pour her mother's ashes into the sea.,"Scene: At sea near Waikiki, during the ash-scattering ceremony."
25、INT. LAW OFFICE CONFERENCE ROOM - DAY,doc_24_chunk_0,Matt is the sole trustee responsible for managing a family land trust.,
25、INT. LAW OFFICE CONFERENCE ROOM - DAY,doc_24_chunk_0,Matt is a commercial real estate and transactional attorney.,
25、INT. LAW OFFICE CONFERENCE ROOM - DAY,doc_24_chunk_0,Matt has been regularly meeting with several cousins to analyze bids for the family land.,
86、EXT. HOTEL SUITE LANAI - DAY,doc_85_chunk_2,The target character expresses pride in Alexandra.,
70、INT. KING LIVING ROOM - DAY,doc_69_chunk_1,Matt King informs the guests that they should visit his comatose wife to say goodbye before she dies.,
27、INT. FAMILY CONSULTATION ROOM - DAY,doc_26_chunk_2,Matt is informed about the need to initiate organ donation procedures for Elizabeth.,Hospital scene: Dr. Johnston discusses end-of-life planning with Matt.
27、INT. FAMILY CONSULTATION ROOM - DAY,doc_26_chunk_2,Matt is advised to begin notifying people to say goodbye to Elizabeth.,Hospital scene: Dr. Johnston recommends starting the process of informing Elizabeth's friends and loved ones.
3、INT. HOSPITAL ROOM - DAY,doc_2_chunk_1,Matt is married to Elizabeth King.,Scene where Matt observes his wife in the hospital bed.
3、INT. HOSPITAL ROOM - DAY,doc_2_chunk_1,Elizabeth King is in a coma with a Glasgow Coma Scale score of 5 and a Rancho Los Amigos scale score of 3.,Scene where Matt observes his wife in the hospital bed.
51、INT. THE MITCHELLS' HOUSE - CONTINUOUS,doc_50_chunk_7,Matt King makes the decision to withdraw life support from his comatose wife.,
51、INT. THE MITCHELLS' HOUSE - CONTINUOUS,doc_50_chunk_7,Matt King informs Kai and Mark that his wife will not wake up and that they are proceeding with discontinuing life support.,
