doc_title,chunk_id,fact,scene_context
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_5,Elinor decides to fetch help.,
124、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_123_chunk_4,Elinor Dashwood states that Colonel Brandon is the kindest and best of men.,
124、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_123_chunk_1,Elinor Dashwood conveys Colonel Brandon's offer of the parish at Delaford to Edward Ferrars.,
149、INT. CLEVELAND - UPSTAIRS CORRIDOR - NIGHT,doc_148_chunk_0,Elinor Dashwood seeks medical assistance for Marianne by requesting a doctor.,
112、INT. MRS JENNINGS'S HOUSE - DRAWING ROOM - DAY,doc_111_chunk_5,Elinor learns that Willoughby impregnated another woman.,Scene where Colonel Brandon reveals news about Willoughby; Elinor reacts with shock upon hearing the news.
24、INT. NORLAND PARK - VELVET ROOM - DAY,doc_23_chunk_1,Elinor understands Edward's statement upon his arrival.,
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_7,Elinor Dashwood acknowledges that she and her sister have no money.,
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_7,Elinor Dashwood makes a promise to find a way to resolve their situation.,
121、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_120_chunk_0,Elinor Dashwood confirms the truth of Mrs Jennings's announcement about Edward Ferrars's engagement to Lucy Steele.,Scene: Elinor and Marianne are packing; Mrs Jennings enters with news about Edward Ferrars.
189、EXT. BARTON VILLAGE CHURCH - DAY,doc_188_chunk_1,Elinor attends Marianne's wedding as the matron of honour.,Scene: At the church following the wedding ceremony.
17、INT. NORLAND PARK - ELINOR'S BEDROOM - DAY,doc_16_chunk_0,Elinor is preparing presents for the servants.,
17、INT. NORLAND PARK - ELINOR'S BEDROOM - DAY,doc_16_chunk_0,Elinor expresses concern about Margaret's whereabouts.,
112、INT. MRS JENNINGS'S HOUSE - DRAWING ROOM - DAY,doc_111_chunk_1,Elinor accepts Colonel Brandon's offer to accompany her from Cleveland to Barton.,"Scene at Cleveland, following Marianne's illness."
112、INT. MRS JENNINGS'S HOUSE - DRAWING ROOM - DAY,doc_111_chunk_1,Elinor expresses gratitude by taking Colonel Brandon's hands.,"Scene at Cleveland, following Marianne's illness."
21、INT. NORLAND PARK - DRAWING ROOM - DAY,doc_20_chunk_1,Elinor Dashwood is impressed by Edward's response during the conversation at the dinner table.,"Scene: At the dinner table, during Edward Ferrars' visit to the Dashwood household."
