doc_title,chunk_id,description,scene_context
113、EXT. ED'S HOUSE - DUSK,doc_112_chunk_0,Ed exits the house.,
111、INT. BMW CONVERTIBLE - DAY,doc_110_chunk_0,Ed turns the radio off.,
35、EXT. MAGAZINE STAND - NIGHT,doc_34_chunk_0,Ed slips a MELONS Magazine into the pile.,
36、INT. TRENDY HAIR SALON - NIGHT,doc_35_chunk_0,"Ed sits beside Mike sipping wine, enjoying a manicure.",
3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,doc_2_chunk_0,Ed awkwardly tries to imitate Mike.,Gym during cheerleaders' Hammer dance routine.
2、INT. FITCH SENIOR HIGH SCHOOL/GYM - CONTINUOUS,doc_1_chunk_5,Ed takes a spot next to Dom.,"Scene involving Coach Harvey instructing Freedman to fall in, likely a team lineup or photo session."
3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,doc_2_chunk_3,Ed says: Do you really think Muffy's in to me?,"Center court, during a basketball game setup, Muffy and her friends are mocking Ed."
22、INT. BATHROOM - DAY,doc_21_chunk_1,"Ed throws a knee into Mike's nuts, bolts out the door SCREAMING.","Inside a bathroom, after Mike panics about his appearance and begs Ed for help."
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_5,I'll enroll him somewhere else.,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_5,See you at the next bake sale then?,
105、INT. ED'S HOUSE/HALLWAY - MORNING,doc_104_chunk_0,Ed knocks and knocks on Mike's bedroom door.,
105、INT. ED'S HOUSE/HALLWAY - MORNING,doc_104_chunk_0,"Ed turns the knob, opens the door, enters.",
39、INT. ED'S HOUSE/OFFICE - NIGHT,doc_38_chunk_0,Ed TEACHES Mike how to create a MYSPACE page.,"Scene: Inside a room, surrounded by magazines and music discs, Ed and Mike are at a computer."
109、EXT. LOS ANGELES COURT HOUSE - DAY,doc_108_chunk_0,Ed's BMW skids to a stop in front of the building.,
109、EXT. LOS ANGELES COURT HOUSE - DAY,doc_108_chunk_0,"Mike and Ed bound out, race up the court steps",
107、EXT. ED'S HOUSE - DAY,doc_106_chunk_0,"Ed driving, tears down the driveway, fishtailing onto the street, LOSES CONTROL, rips across a neighbor's lawn then back onto the road and off.",Scene: The BMW roars out of the garage.
52、EXT. ED'S HOUSE/POOL - MORNING,doc_51_chunk_0,Ed floats on a raft. A frozen drink next to him.,
38、INT. VIRGIN MEGA MUSIC STORE - NIGHT,doc_37_chunk_0,Ed stands before the wall of 100 top albums.,
38、INT. VIRGIN MEGA MUSIC STORE - NIGHT,doc_37_chunk_0,Ed wears headphones listening and moving to the music.,
30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,doc_29_chunk_0,Ed and Mike sit outside Principal's office.,"Outside Principal's office, waiting before enrollment."
30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,doc_29_chunk_0,Ed calms.,"Outside Principal's office, after Mike tells him to take a deep breath."
41、INT. ED'S HOUSE/MIKE'S BEDROOM - NIGHT,doc_40_chunk_0,"Ed stands in the doorway, his entire body and head wrapped in SEAWEED.",
41、INT. ED'S HOUSE/MIKE'S BEDROOM - NIGHT,doc_40_chunk_0,Ed says there is a very hot girl downstairs.,
34、INT. RESTAURANT/BAR - NIGHT,doc_33_chunk_1,ED Get the boy a Shirley Temple. Extra cherries.,
34、INT. RESTAURANT/BAR - NIGHT,doc_33_chunk_1,"ED Mike, you're an adult sitting on years of experience. You should be dominating these kids, ripping their hearts out.",
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_3,Ed's jaw drops.,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_3,Ed addresses him as fatherly as he knows how,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_3,Ed turns to Julie.,
106、INT. ED'S HOUSE/MIKE'S BEDROOM - MORNING,doc_105_chunk_0,Ed waves at the air.,
106、INT. ED'S HOUSE/MIKE'S BEDROOM - MORNING,doc_105_chunk_0,"Ed pulls up the blinds, opens the windows.",
106、INT. ED'S HOUSE/MIKE'S BEDROOM - MORNING,doc_105_chunk_0,Ed sits on the bed.,
46、INT. ASTON MARTIN - NIGHT,doc_45_chunk_0,Ed answers.,
46、INT. ASTON MARTIN - NIGHT,doc_45_chunk_0,See what happens when you put a little lipstick on the pig? Did you manage to get sent to the principal's office?,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_1,Ed steps aside,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_1,"Ed smiles, rubs Mike's head vigorously",
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_1,Ed had him out of wedlock,
3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,doc_2_chunk_1,"Ed hands waters to the Players, skips Dom, stops at Mike.",
3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,doc_2_chunk_1,Ed jerks around to blatantly stare at her.,
3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,doc_2_chunk_1,Ed flashes a goofy smile.,
37、INT. TRENDY CLOTHES STORE - NIGHT,doc_36_chunk_0,Ed nods with his approval or disapproval.,Scene involving a clothing store where Mike is trying on clothes.
37、INT. TRENDY CLOTHES STORE - NIGHT,doc_36_chunk_0,Ed takes out his cell to put their numbers in it.,Scene at the register in a clothing store after Mike receives his bags of clothes.
64、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,doc_63_chunk_0,Ed sits before a stern Julie.,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_2,Ed's smile fades.,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_2,"Ed and Mike get into a pinching, elbowing fight.",
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_2,the friends stop.,
31、INT. PRINCIPAL'S OFFICE - DAY,doc_30_chunk_2,Both smiling.,
56、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,doc_55_chunk_6,Ed whispers to Mike.,
56、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,doc_55_chunk_6,As Ed passes Julie on the way in,
8、INT. ED'S HOUSE/LIVING ROOM - MORNING,doc_7_chunk_3,Ed drags painfully back to the Acupuncturist.,
72、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,doc_71_chunk_0,Ed chokes back crocodile tears.,Scene: Julie hands Ed a slip of paper for 3 detentions.
89、INT. UPSCALE RESTAURANT/DINING ROOM - NIGHT,doc_88_chunk_5,Ed takes her wrist.,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_0,"Ed sits at the island, a laptop in front of him.",
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_0,Ed perusing www.spellscursesincantations.com.,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_0,Ed clicks on a link.,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_0,Ed peruses the page.,
57、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,doc_56_chunk_1,Ed throws his hands up in exasperation.,
57、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,doc_56_chunk_1,Ed stands and with exaggerated sadness,
100、EXT. ED'S HOUSE - NIGHT,doc_99_chunk_0,Ed storms up the driveway.,
116、INT. FITCH SENIOR HIGH SCHOOL/GYM - LATER,doc_115_chunk_2,"Ed strides through the door spots Julie, makes his way over to her.",
116、INT. FITCH SENIOR HIGH SCHOOL/GYM - LATER,doc_115_chunk_2,Ed's seen a good friend of mine lose everything that means anything to him. And maybe we'll never be there but...I just really want to play D & D with you.,
116、INT. FITCH SENIOR HIGH SCHOOL/GYM - LATER,doc_115_chunk_2,Ed'll bring my long bow.,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_2,Ed swipes the beer from his hand...CHUGS it down.,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_2,Ed Are you out of your freaking mind!?,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_2,Ed What about your job?,
29、INT. ED'S HOUSE/KITCHEN - NIGHT,doc_28_chunk_2,"Ed Well, Scarlet, then. What are you gonna tell her?",
22、INT. BATHROOM - DAY,doc_21_chunk_0,"Ed cowering against the back wall, brandishing an over-sized loofah.","Scene: Inside a room, the door is slowly opening."
22、INT. BATHROOM - DAY,doc_21_chunk_0,Ed gasps,"Scene: Inside a room, the door is slowly opening."
