doc_title,chunk_id,description,scene_context
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_6,"He waits politely till she's settled, then sits down himself, faces her happily.",
155、INT. DR. LECTER'S CELL AND CORRIDOR - NIGHT (DIM LIGHT),doc_154_chunk_8,(beat),
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_17,"He steps backwards, then returns to his cot, becoming as still and remote as a statue.",
155、INT. DR. LECTER'S CELL AND CORRIDOR - NIGHT (DIM LIGHT),doc_154_chunk_12,"But Dr. Lecter only smiles, enigmatically.",
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_1,"He mentioned a name, at the very end.",
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_1,"Lecter altered or destroyed most of his patient histories, prior to capture.",
133、EXT. A CLEAR NIGHT SKY,doc_132_chunk_1,(into phone),
136、INT. A BOOKLINED STUDY,doc_135_chunk_0,"Considers him for a genial moment, then raises the little pen-knife. His eyes are twinkling.",Dr. Chilton bound in a swivel chair amidst wreckage of papers and books
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_10_chunk_4,"Lecter whispering to him, all afternoon",
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_3,Lecter whispering to him,
155、INT. DR. LECTER'S CELL AND CORRIDOR - NIGHT (DIM LIGHT),doc_154_chunk_1,He doesn't respond.,"Cell, Clarice questions Dr. Lecter about rented place."
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_10_chunk_1,"He mentioned a name, at the very end.",
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_10_chunk_1,"Lecter altered or destroyed most of his patient histories, prior to capture.",
168、EXT. BACK STEPS OF THE FUNERAL HOME - DAY,doc_167_chunk_4,"He looks at her for a moment, then sips again.","Asylum, conversation with Clarice"
155、INT. DR. LECTER'S CELL AND CORRIDOR - NIGHT (DIM LIGHT),doc_154_chunk_9,Dr. Lecter slowly turns up the rheostat in his cell.,"Dr. Lecter's cell, stripped bare"
155、INT. DR. LECTER'S CELL AND CORRIDOR - NIGHT (DIM LIGHT),doc_154_chunk_6,(beat),
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_4,"He smiles, soothingly.",During Clarice's credential inspection
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_4,"Dr. Lecter's nostrils lift, as he gently, like an animal, tests the air.",During Clarice's credential inspection
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_4,"Then he smiles, glancing at her card.",During Clarice's credential inspection
183、INT. DR. LECTER'S CELL - DAY,doc_182_chunk_8,Dr. Lecter is silent.,
135、EXT. THE MOONLIT PATIO,doc_134_chunk_0,"Dr. Lecter sighs, sets his phone down, then rises.",Outside a brightly lit house
135、EXT. THE MOONLIT PATIO,doc_134_chunk_0,"Popping an orange section into his mouth, he turns towards the brightly lit house.",Outside a brightly lit house
135、EXT. THE MOONLIT PATIO,doc_134_chunk_0,"Stepping delicately over the sprawled body of a uniformed security guard, he walks in through open french doors.",Outside a brightly lit house
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_20,Who's shivering with rage.,
