doc_title,chunk_id,text,scene_context
142、INT. HOLIDAY HOTEL SUITE -- EVENING,doc_141_chunk_0,How about Canada?,Crew around a table discussing escape options
13、INT. BATHROOM -- CONTINUOUS -- DAY,doc_12_chunk_0,"Today's your lucky day, Sami.",Bathroom: Marcel confronts Sami after a physical altercation.
31、INT. SOPHIE'S WAREHOUSE -- MOMENTS LATER -- AFTERNOON,doc_30_chunk_0,Nothing.,"On couch with Wayne and Raymond, Marcel answers Wayne's question about what he said to 'them'."
16、INT. LIMO -- MOVING -- DAY,doc_15_chunk_2,... que je t'aime... que je...,"Singing to himself, audible to Zero"
197、EXT. BASTALDI'S'S WAREHOUSE -- PARIS -- MORNING,doc_196_chunk_1,He's looking around for us.,"Behind a parked car, Marcel responds to Raymond about Bastaldi looking for them."
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_2,Fine. All of you want to be angry? Be angry... but I'm the one who took the ball and that makes it mine.,"After Raymond's outburst, Marcel confronts Sami about the ball."
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_2,"Give it to me, Sami.",Marcel demands the ball from Sami.
55、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_54_chunk_4,Why would they want us to rob the Mafia?,"In a house, Marcel questions the plan to rob the Mafia with Sami and others."
55、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_54_chunk_4,"Mr. Zammito, there seems to have been a big mistake here. May I use your phone?","In a house, Marcel speaks to Zammito after realizing they are in the wrong house."
53、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_52_chunk_2,"Hey, Barry Bonds. The home run king.","In a room, Marcel comments on an autographed baseball."
53、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_52_chunk_2,It's for my nephew.,"In a room, Marcel states the baseball is for his nephew."
138、INT. HOLIDAY HOTEL SUITE-- LATER -- DUSK,doc_137_chunk_1,No. How much?,"In a discussion about the value of Van Gogh's painting, Marcel responds to a question about the painting's worth."
138、INT. HOLIDAY HOTEL SUITE-- LATER -- DUSK,doc_137_chunk_1,Maybe if we gave the tapes back --,"In a discussion about escaping, Marcel suggests giving back the tapes."
16、INT. LIMO -- MOVING -- DAY,doc_15_chunk_1,That's better. Zero doesn't like it.,Marcel and Zero switching radio stations
10、INT. BASTALDI'S OFFICE -- DAY,doc_9_chunk_10,I know someone.,Julien and Marcel discuss finding someone who knows the city.
56、INT. BASTALDI'S BEDROOM - EARLY MORNING,doc_55_chunk_0,It's Elvis...,"Phone call: Bastaldi answers phone, Marcel (off-screen) says 'It's Elvis...' to Bastaldi."
56、INT. BASTALDI'S BEDROOM - EARLY MORNING,doc_55_chunk_0,It's me...,"Phone call: Bastaldi asks 'Who?', Marcel (off-screen) says 'It's me...' to Bastaldi."
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_1,Oui.,Phone call with Bastaldi regarding the robbery.
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_1,No.,Phone call with Bastaldi regarding the robbery.
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_1,Oui.,Phone call with Bastaldi regarding the robbery.
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_1,(In French)Should I call you back?,Phone call with Bastaldi regarding the robbery.
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_1,Oui.,Phone call with Bastaldi regarding the robbery.
90、INT. HOLIDAY HOTEL SUITE -- EVENING,doc_89_chunk_2,Fuck you! You know I'd never go along with something like this.,"With Daniel, denying involvement in the setup"
90、INT. HOLIDAY HOTEL SUITE -- EVENING,doc_89_chunk_2,This ain't about that and you know it. This is about you never forgiving me for leaving the crew.,"With Daniel, explaining the real issue is his resentment over leaving the crew"
90、INT. HOLIDAY HOTEL SUITE -- EVENING,doc_89_chunk_2,Yeah and he can't stand it that I tried to do something to better myself.,"With Sami, explaining Daniel's resentment"
90、INT. HOLIDAY HOTEL SUITE -- EVENING,doc_89_chunk_2,(in French) Better than spending my life crawling through windows in the middle of the night.,"With Daniel, in French, countering the insult about being Bastaldi's lap dog"
12、INT. CAFE -- LATIN QUARTER -- DAY,doc_11_chunk_0,Going somewhere?,"Bar, Marcel questions Sami about running away."
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_4,I was told to take what we have and go.,"Crew huddling in corner, Marcel tells Julien to take what they have and go"
20、EXT. WAREHOUSE -- MORNING,doc_19_chunk_0,We are looking for Sophie. Laurant send us.,"At a door, Marcel speaks to Sophie about being sent by Laurant."
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_0,Yes.,Continuing a conversation (in French)
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_0,We went to the address we were given and had to tie up the owner of the house who turns out to be some Mafia guy.,Continuing the story about going to an address and tying up a Mafia guy
55、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_54_chunk_1,There has to be.,Safe room: Marcel and Julien discussing the presence of jewels in the safe.
55、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_54_chunk_1,There must be half a million dollars here though.,Safe room: Marcel arguing about the amount of money in the safe.
62、INT. SOPHIE'S WAREHOUSE -- NIGHT,doc_61_chunk_2,"It was an honest mistake. Ridgeway...
Ridgeroad... Ridgeway Road.",Speaking with Daniel and Sophie about the address.
