doc_title,chunk_id,description,scene_context
67、EXT. DESERT - DAY,doc_66_chunk_0,Lo sees uniformed men through his binoculars.,
72、INT. JEN'S ROOM - NIGHT,doc_71_chunk_0,Lo hovers at the window frame.,"Room, after Jen tells Lo to go and not to return."
106、INT. WU TAN TEMPLE - DAY,doc_105_chunk_0,Lo wakes up to find the jade comb on the pillow beside him,
68、EXT. DESERT - DAY,doc_67_chunk_0,Lo and Jen ride through a mountain pass.,mountain pass
66、EXT. CAVE - NIGHT,doc_65_chunk_1,Lo pauses.,
66、EXT. CAVE - NIGHT,doc_65_chunk_0,Lo and Jen lie in the bath together.,Bath
35、EXT. STREET OUTSIDE GOVERNOR YU'S COMPOUND - NIGHT,doc_34_chunk_0,Lo looks silently on,"Another rooftop, after Tsai and May walk away"
105、INT. WU TAN TEMPLE - MAGIC,doc_104_chunk_0,make love,
77、EXT. BEIJING STREET - DAY,doc_76_chunk_0,Lo leaps and lands right in front of Li Mu Bai,Lo lands in front of Li Mu Bai; Yu arrives around the corner.
61、EXT. CAVE - DAY,doc_60_chunk_0,Lo walks out into a barren mountain landscape.,Barren mountain landscape
61、EXT. CAVE - DAY,doc_60_chunk_0,Lo whistles.,"Barren mountain landscape, chicken roasting over fire"
61、EXT. CAVE - DAY,doc_60_chunk_0,Lo passes out.,"Barren mountain landscape, Jen knocks Lo"
65、EXT. DESERT OASIS - DAY,doc_64_chunk_0,Lo and Jen ride across the desert.,Riding across the desert
64、INT. CAVE - NIGHT,doc_63_chunk_0,Lo pulls the last of some cactus needles from the soles of her feet.,
78、INT. CITY OUTSKIRTS - DAY,doc_77_chunk_0,Lo sits dejectedly,After telling his story to Yu and Li
70、INT. TENT - DAY,doc_69_chunk_0,Jen and Lo kiss.,
70、INT. TENT - DAY,doc_69_chunk_0,They embrace.,
104、EXT. WU TAN TEMPLE - DAY,doc_103_chunk_0,He runs to her.,"Temple gate, Jen reaches the gate and sees Lo"
58、EXT. DESERT BLUFF - DAY,doc_57_chunk_0,Lo calls out and stops the fight.,"Desert, Jen fighting bandits"
63、INT. CAVE - NIGHT,doc_62_chunk_0,Lo tries to feed her some water,"Inside the cave, Jen awakes and Lo attempts to feed her water."
56、EXT. CARRIAGE/MONGOLIAN DESERT - DAY,doc_55_chunk_0,Lo and a group of armed bandits descend on the caravan.,Caravan attack
56、EXT. CARRIAGE/MONGOLIAN DESERT - DAY,doc_55_chunk_0,Lo approaches the carriage and grabs the comb from Jen's hand.,Carriage after the attack
54、INT. JEN'S ROOM - NIGHT,doc_53_chunk_0,Lo opens the window and sneaks in -- right into the point of Jen's waiting sword.,Jen's room
54、INT. JEN'S ROOM - NIGHT,doc_53_chunk_0,Lo grabs her by the wrist.,Jen's room
69、EXT. CLIFF - DAY,doc_68_chunk_0,Lo and Jen stand at the crest of a cliff.,crest of a cliff
69、EXT. CLIFF - DAY,doc_68_chunk_0,"Lo looks over, viewing the desert valley below, as Jen joins him.","crest of a cliff, Jen joining"
64、INT. CAVE - NIGHT,doc_63_chunk_1,"Furious, Lo lunges at her and they tussle briefly.",
64、INT. CAVE - NIGHT,doc_63_chunk_1,"Finally, Lo gets on top of Jen, and the scuffling becomes more like foreplay.",
72、INT. JEN'S ROOM - NIGHT,doc_71_chunk_1,Lo thrusts a small object in her hand.,"Jen's room, during a conversation"
72、INT. JEN'S ROOM - NIGHT,doc_71_chunk_1,"He lifts his legs through the window, and drops out of sight","Jen's room, as the maid opens the door"
59、EXT. DESERT - DAY,doc_58_chunk_0,"He dismounts, looks down at the dry creek bed.","Near a creek, after Lo suggests stopping for rest."
59、EXT. DESERT - DAY,doc_58_chunk_0,"Lo, exhausted, collapses.",During a fight with Jen.
63、INT. CAVE - NIGHT,doc_62_chunk_1,sharpening his arrows,"Flickering lights, Jen unconscious"
63、INT. CAVE - NIGHT,doc_62_chunk_1,pulls back an opaque curtain to reveal a makeshift bathroom,Revealing a makeshift bathroom
63、INT. CAVE - NIGHT,doc_62_chunk_1,rises,Jen sobbing at her imprisoned and dishevelled body
63、INT. CAVE - NIGHT,doc_62_chunk_1,comes over and unties her,Jen sobbing at her imprisoned and dishevelled body
76、INT. WEDDING CARRIAGE - DAY,doc_75_chunk_0,Lo runs wildly into the crowd.,Outside the carriage
76、INT. WEDDING CARRIAGE - DAY,doc_75_chunk_0,"The guards surround Lo, but he escapes.",In the crowd
