doc_title,chunk_id,text,scene_context
42.街道日外,doc_41_chunk_0,你是男人不要走啊，你干什么的你。,两人相互拉扯中，吕受益对彭浩说话。
13.王子神油店日内,doc_12_chunk_0,你好你好,程勇店内，吕受益在宾馆老板介绍后与程勇初次见面打招呼。
62.街道夜外,doc_61_chunk_0,今天蛮好的，走了啊勇哥,酒吧外，吕受益与程勇告别
24.程勇家日内,doc_23_chunk_0,可以的，我们那个医院就有十几个病人。,程勇卧室，吕受益与程勇讨论卖药事宜。
37.化妆间夜内,doc_36_chunk_0,药效完全一样，我找人验过得。我自己已经在吃这个要了。我觉得你也可以让你女儿试试这个。他今天来找你呢，是想让你在这个病友群里...,化妆间门外，吕受益与程勇讨论药效和病友群。
43.化妆间夜内,doc_42_chunk_0,不容易也不能抢啊,思慧化妆时，程勇和吕受益在身后，讨论彭浩的处境。
38.餐馆夜外,doc_37_chunk_0,快到了吧，再加一屉好吧，老板娘，再加一个。,餐馆内，吕受益对老板娘点餐。
35.餐馆夜内,doc_34_chunk_0,我想起你一个人，他应该有办法的。,吃面场景，与程勇对话，主题为某人有办法。
31.医院日内,doc_30_chunk_0,不要和我搞了呀，我自己这样蛮好的,医院：打针后，与医生对话，主题为拒绝继续治疗
23.格列宁公司日外,doc_22_chunk_0,喂。,公司门口抗议现场，吕受益接电话。
34.居民楼日内,doc_33_chunk_0,印度的，药效是一样的,病人们的聚居区，推销药
33.医院日内,doc_32_chunk_0,我自己是病人我吃过的。,医院推销药
70.街道日外,doc_69_chunk_0,谢勇哥，走了勇哥。,吕受益家楼下，吕受益下车后与程勇告别
70.街道日外,doc_69_chunk_0,勇哥，今天晚上有事吗？,吕受益家楼下，吕受益转回后询问程勇晚上安排
39.车内日内,doc_38_chunk_0,我认识一个,程勇询问吕受益是否认识会讲英语的病人
39.车内日内,doc_38_chunk_0,不过，不太好谈。,程勇要求病人讲得特别好后，吕受益回应不太好谈
40.教堂日内,doc_39_chunk_0,那是佛祖说的,在教会中，与程勇讨论宗教引用
40.教堂日内,doc_39_chunk_0,这也是佛祖说的,在教会中，与程勇讨论宗教引用
75.神油店夜内,doc_74_chunk_1,酒又喝多了。,程勇宣布不卖药后
41.车日内,doc_40_chunk_0,哦。二道院十二瓶,面包车门口，病人们排队领药，吕受益发药。
