doc_title,chunk_id,text,scene_context
175、INT. DUPEA HOME - DAY,doc_174_chunk_2,If you're free.,
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_3,And you no longer play at all?,
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_2,"You don't call that music, though.",
174、EXT. DUPEA HOUSE - DAY,doc_173_chunk_3,I don't know. Let me give it some thought.,
193、EXT. FERRY - MORNING,doc_192_chunk_1,"No, you don't have to, it isn't
necessary...",
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_7,"Excuse me, I don't want to hear
this...","Scene: In a room with Carl and Bobby, Catherine speaks to change the subject and exits."
189、INT. DUPEA DINING ROOM TABLE - NIGHT,doc_188_chunk_3,Thank you.,"Scene: At a meal, Catherine responds to Rayette's compliment about her hair."
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_1,I don't think that's accurate...,Scene or location not specified: Catherine responds to Bobby during a conversation about miscommunication and unfulfilled expectations.
176、INT. DUPEA KITCHEN - NIGHT,doc_175_chunk_1,"One thing that's hard to understand is how you could have this incredible background in music, and then just walk away from it, without a second thought...",
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_6,"I wouldn't mind doing a little work, if you're finished, and not too tired...","Scene: At a dining table, Catherine speaks to Carl after a meal, offering to help with cleanup."
194、INT. DUPEA LIVING ROOM - NIGHT,doc_193_chunk_4,And what about love?,
194、INT. DUPEA LIVING ROOM - NIGHT,doc_193_chunk_4,"No, I wouldn't.",
66、INT. DUPEA DINING ROOM - NIGHT,doc_65_chunk_2,What about your family?,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_3,I'm not faking anything. I'm looking for some bath oil...,"Scene takes place in a room with bathroom items; Catherine is speaking to Bobby, who is questioning her search; the topic is her search for bath oil."
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_6,"No, don't do that...",
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_6,No inner feeling.,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_6,I don't believe you.,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_2,"I'm not conscious of having given you any meaningful looks. And as for the day after tomorrow, this is the day after tomorrow, and I am, unfortunately, seeing you... Now if you'll excuse me, I'd like to take a bath.",
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_5,"You're not a serious person, by your own admission. And that may be interesting, but it doesn't interest me...",
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_5,"Yes, that's what's important to me...",
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_1,How long have you been...,
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_1,I was just going to ask Robert how long he's been away from here.,
170、INT. DUPEA DINING ROOM - NIGHT,doc_169_chunk_1,What have you been doing since then?,
194、INT. DUPEA LIVING ROOM - NIGHT,doc_193_chunk_6,"I think these cold, ""objective"" discussions are aggressive, Samia...",
194、INT. DUPEA LIVING ROOM - NIGHT,doc_193_chunk_6,"You haven't dampened my spirit, Samia... Excuse me.",
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_4,What are you doing!,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_4,I don't find your language that charming.,
185、INT. CATHERINE'S BEDROOM - DAY,doc_184_chunk_4,I'd like you to leave now. Is that direct enough?,
184、INT. MUSIC ROOM - DAY,doc_183_chunk_3,Why?,
184、INT. MUSIC ROOM - DAY,doc_183_chunk_3,Wait...,
184、INT. MUSIC ROOM - DAY,doc_183_chunk_3,"Well, at least you're accomplished at something...",
184、INT. MUSIC ROOM - DAY,doc_183_chunk_3,At being a fake.,
