doc_title,chunk_id,fact,scene_context
十四、陶然亭 春 黄昏,doc_13_chunk_0,小豆子已经变成了俊秀的少年。,
十八、关家科班,doc_17_chunk_0,小豆子的手血肉模糊。,西厢房内
二十一、科班门口——胡同,doc_20_chunk_1,小豆子从茫然状态中醒悟过来。,
三十四、厢房走廊春黄昏,doc_31_chunk_0,小豆子被家人背起。,戏园子走廊，大管家指挥家人背起小豆子
十一、科班练功棚冬日,doc_10_chunk_1,小豆子的伤手渗出血来。,练功棚
十九、科班浴室春夜,doc_18_chunk_0,小豆子的手是红肿的,大木盆中洗澡
十一、科班练功棚冬日,doc_10_chunk_0,小豆子的手有伤,练功棚内，小豆子被加砖受罚
三十五、太监内室春黄昏,doc_32_chunk_0,小豆子的尿在水晶壶内。,室内
三十五、太监内室春黄昏,doc_32_chunk_0,小豆子被张太监按在床上。,室内
二十、学徒宿舍春夜,doc_19_chunk_0,小豆子手上有伤口,炕上
三十七、故宫外春 黎明,doc_34_chunk_0,小豆子拒绝放下弃婴。,故宫墙边
三十、关家科班春黄昏,doc_27_chunk_3,小豆子嘴角流血,戏园排练场
三十、关家科班春黄昏,doc_27_chunk_3,小豆子端坐在太师椅上,戏园排练场
八、科班胡同,doc_7_chunk_0,小豆子左手被按在磨刀石上,冬日阴
九、关家科班冬日阴,doc_8_chunk_0,小豆子自愿投关金发门下为徒。,堂屋，关师傅画外音叙述
九、关家科班冬日阴,doc_8_chunk_0,小豆子的左手按在关书上，留下血指印。,祖师爷像前，关师傅立字为证
五、关家堂屋,doc_4_chunk_0,小豆子左手上长着六指。,冬日
五、关家堂屋,doc_4_chunk_0,小豆子脸上布满了伤痕。,冬日
十、学徒宿舍,doc_9_chunk_1,小豆子眼睛仇视且含着泪。,
十、学徒宿舍,doc_9_chunk_1,小豆子接住了棉被。,
三十一、太监府春黄昏,doc_28_chunk_0,小豆子在表演中扮演虞姬角色。,戏园表演中
二、地坛市场,doc_1_chunk_1,小豆子被震撼了,小石头用砖碰头后
