doc_title,chunk_id,fact,scene_context
183、INT. CANYON. DAY.,doc_182_chunk_0,ARON is not dead.,ARON examines his obituary on the wall.
203、EXT. HORSESHOE CANYON. DAY.,doc_202_chunk_1,ARON is informed by Wayne that drinking water is acceptable provided it does not cause vomiting.,
58、INT. SLOT CANYON. DAY.,doc_57_chunk_0,The object holds when Aron steps on it.,
76、INT. ARON IN CANYON. DAY.,doc_75_chunk_0,ARON has his first smile.,"WIDE INT CANYON, NIGHT: SATURDAY NIGHT"
214、INT. ARON'S TRUCK. NIGHT.,doc_213_chunk_1,Aron has a prosthetic arm.,"Rana asks about climbing, Aron pulls out his prosthetic arm."
105、INT. CANYON. DAY. REALTIME.,doc_104_chunk_0,ARON erases his futile calls for help.,A scene where Aron processes a message and erases his calls for help.
203、EXT. HORSESHOE CANYON. DAY.,doc_202_chunk_2,Aron is absolutely motionless.,
203、EXT. HORSESHOE CANYON. DAY.,doc_202_chunk_2,Aron can barely hear Wayne and Erik.,
203、EXT. HORSESHOE CANYON. DAY.,doc_202_chunk_2,Aron is kneeling.,
66、INT. CANYON FLOOR. DAY.,doc_65_chunk_0,ARON's hand is stuck.,
