doc_title,chunk_id,description,scene_context
29、INT. BAR LOUNGE - HOUSTON HILTON - LATER THAT EVENING,doc_28_chunk_1,Alex grabs Ryan's AMERICAN CONCIERGE KEY CARD.,
"141、INT. ALEX'S CAR, DOWNTOWN GARAGE - SAME",doc_140_chunk_2,(SIGHS),
"110、INT. CLUB ROOM FIRESIDE LOUNGE, CHALET SUITES - EVENING",doc_109_chunk_6,Ryan and Alex make eye contact.,
"112、INT. CORRIDOR, CHALET SUITES - NIGHT",doc_111_chunk_0,Alex heads in.,"Adjacent rooms, key cards sliding in."
"115、INT. HALLWAY, WAUPACA HIGH SCHOOL - NEXT MORNING",doc_114_chunk_0,Ryan and Alex are huddled at the trophy case.,At the trophy case
"137、EXT. TOWNHOUSE, CHICAGO SUBURBS - NIGHT",doc_136_chunk_1,Alex is still speechless.,
"137、EXT. TOWNHOUSE, CHICAGO SUBURBS - NIGHT",doc_136_chunk_1,Her eyes are angry and apologizing all at the same time.,
28、INT. BAR LOUNGE - HOUSTON HILTON - EVENING,doc_27_chunk_0,sifting through her purse,"Lounge area, Ryan reviewing paperwork"
28、INT. BAR LOUNGE - HOUSTON HILTON - EVENING,doc_27_chunk_0,sets a pair of car keys with a MAESTRO TAG on the table,"Lounge area, Ryan reviewing paperwork"
"118、EXT. SOCCER FIELD, WAUPACA HIGH SCHOOL - DAY",doc_117_chunk_0,Alex and Ryan sit tight like teenagers on the team bench.,"On the team bench, before soccer practice"
"137、EXT. TOWNHOUSE, CHICAGO SUBURBS - NIGHT",doc_136_chunk_0,Alex is in shock... She's frozen.,"Townhouse front door, after Ryan knocks"
"104、EXT. PARKING LOT, LAS VEGAS - DAY",doc_103_chunk_3,Alex sighs.,During a conversation about a wedding
"110、INT. CLUB ROOM FIRESIDE LOUNGE, CHALET SUITES - EVENING",doc_109_chunk_5,Alex is having a chat with the brides maids about local relationship drama.,"An hour later, at a wedding"
29、INT. BAR LOUNGE - HOUSTON HILTON - LATER THAT EVENING,doc_28_chunk_3,Alex looks into Ryan's eyes and gives him unspoken permission to take her right there and then.,
120、EXT. CHURCH - DAY,doc_119_chunk_0,Alex takes the driver's seat.,"Car pulls up in front, Ryan exits"
"104、EXT. PARKING LOT, LAS VEGAS - DAY",doc_103_chunk_1,Alex picks up the engagement photo.,
"104、EXT. PARKING LOT, LAS VEGAS - DAY",doc_103_chunk_1,Alex and Ryan look at the photo together for a second.,
"116、EXT. LOADING DOCK, WAUPACA HIGH SCHOOL - DAY",doc_115_chunk_0,Ryan and Alex walk passed a concrete ledge.,Walking past a concrete ledge
"123、INT. ENTRY, CHURCH",doc_122_chunk_1,"Ryan and Alex getting dressed in a little kitchen in the church. They're in a hurry and a little sloppy, but there's a crooked joy in their faces.",Wedding preparation: Church kitchen
"123、INT. ENTRY, CHURCH",doc_122_chunk_1,Ryan and Alex mingle with their table.,Wedding reception: Chalet Suites Banquet Hall
"114、INT. CLASSROOM, WAUPACA HIGH SCHOOL - DAY",doc_113_chunk_0,Alex slowly wedges herself headfirst through the window.,"Inside a classroom, entering through a window"
"110、INT. CLUB ROOM FIRESIDE LOUNGE, CHALET SUITES - EVENING",doc_109_chunk_4,HELPS,
"110、INT. CLUB ROOM FIRESIDE LOUNGE, CHALET SUITES - EVENING",doc_109_chunk_0,Ryan and Alex find the dinner in full swing.,Rehearsal dinner
"117、INT. STAIRWELL, WAUPACA HIGH SCHOOL - DAY",doc_116_chunk_0,RYAN AND ALEX KISSING UNDER THE STAIRWELL,Under the stairwell
56、INT. HOTEL CONFERENCE ROOM - DAY,doc_55_chunk_2,SMILES,
"31、INT. RYAN'S SUITE, HOUSTON HILTON - LATER THAT NIGHT",doc_30_chunk_0,"Ryan and Alex are laying on the bed, sprawled out on their backs like murder victims.","bed, after a marathon"
"141、INT. ALEX'S CAR, DOWNTOWN GARAGE - SAME",doc_140_chunk_0,Alex sits in the car with the engine running.,in the car
"141、INT. ALEX'S CAR, DOWNTOWN GARAGE - SAME",doc_140_chunk_0,a long beat,in the car
32、INT. HOTEL CORRIDOR - NIGHT,doc_31_chunk_0,"She flips the ""do not disturb"" on her door handle",Alex's door after Ryan drops her off
32、INT. HOTEL CORRIDOR - NIGHT,doc_31_chunk_0,kisses Ryan good night,Alex's door after Ryan drops her off
"124、INT. CONCOURSE, MILWAUKEE AIRPORT - MORNING",doc_123_chunk_0,Ryan and Alex stand between their gates.,Gates with Omaha and Chicago signs
"124、INT. CONCOURSE, MILWAUKEE AIRPORT - MORNING",doc_123_chunk_0,Alex begins to step away to her gate.,After Chicago boarding announcement
30、INT. HOTEL HALLWAY - NIGHT,doc_29_chunk_0,"Ryan and Alex walk down a curved corridor, suppressing laughter.","Curved hotel corridor, approaching a room door"
79、INT. BAR LOUNGE - MIAMI HILTON - MOMENTS LATER,doc_78_chunk_7,This catches both Alex and Ryan off guard.,
79、INT. BAR LOUNGE - MIAMI HILTON - MOMENTS LATER,doc_78_chunk_7,(mulls it over),
"81、INT. CONFERENCE CORRIDOR, MIAMI HILTON - NIGHT",doc_80_chunk_0,Alex reads Natalie's badge.,"Check-in area, after turning the corner"
83、EXT. BOAT - NIGHT,doc_82_chunk_0,Ryan and Alex sit with their legs hanging off the back of the hull.,"On the yacht, near the back of the hull."
"78、INT. LOBBY, MIAMI HILTON - DAY",doc_77_chunk_3,Alex and Ryan exchange quick hellos.,After Natalie leads the way.
"87、INT. RYAN'S HOTEL ROOM, MIAMI HILTON - NEXT MORNING",doc_86_chunk_1,Alex leaves,"Bedroom, after a kiss"
79、INT. BAR LOUNGE - MIAMI HILTON - MOMENTS LATER,doc_78_chunk_0,Both Natalie and Alex shoot Ryan a look.,"Booth in a bar, during conversation about ex-boyfriend"
56、INT. HOTEL CONFERENCE ROOM - DAY,doc_55_chunk_0,Alex is on her cell phone,A junior folds a portable projector screen behind Alex
56、INT. HOTEL CONFERENCE ROOM - DAY,doc_55_chunk_0,Alex stops,After Ryan's dialogue
56、INT. HOTEL CONFERENCE ROOM - DAY,doc_55_chunk_0,She moves to a quieter place,After Ryan's dialogue
"82、INT. SOFTWARE CONVENTION PARTY, MIAMI HILTON - NIGHT",doc_81_chunk_2,Ryan and Alex make it out to the dance floor.,Dance floor after everyone starts dancing
"82、INT. SOFTWARE CONVENTION PARTY, MIAMI HILTON - NIGHT",doc_81_chunk_1,"So do Ryan, Alex, and particularly Natalie.","Conference stage, introduction of Young MC"
"80、INT. LOBBY LOUNGE, MIAMI HILTON - DAY",doc_79_chunk_0,"Ryan, Alex, and Natalie wheel their ROLL-AWAYS towards the elevator.",Moving towards the elevator
"80、INT. LOBBY LOUNGE, MIAMI HILTON - DAY",doc_79_chunk_0,Ryan and Alex share an uncomfortable silence.,After Natalie asks about the evening plan
79、INT. BAR LOUNGE - MIAMI HILTON - MOMENTS LATER,doc_78_chunk_10,Alex looks to Ryan.,
79、INT. BAR LOUNGE - MIAMI HILTON - MOMENTS LATER,doc_78_chunk_10,Alex and Ryan react,
