scene,question,answer,evidence,qa_type
6、INT. STARBUCKS COFFEE SHOP - DAY,"In [6、INT. STARBUCKS COFFEE SHOP - DAY], Where is Roberts sitting while reading a newspaper?",In a Starbucks transformed into a high-tech command center,Roberts sits in the Starbucks which has been transformed into a high-tech command center reading a newspaper.,scene localization
2、EXT. STARBUCKS COFFEE SHOP - DAY,When do the helicopters and sirens start relative to Gabriel's actions?,After Gabriel dons the shades and crosses the sidewalk,"Gabriel dons a pair of hip little shades, then continues across the sidewalk and into the street. He nonchalantly looks up. Suddenly the THUMP of HELICOPTERS...",temporal references
1、INT. STARBUCKS COFFEE SHOP - MORNING,What action does Gabriel perform after his monologue about the hypothetical movie scenario?,"He sits, letting the pictures sink in.","He sits, letting the pictures sink in, then: Gabriel",detailed description
29、INT. LIVING ROOM - DAY,Why is Stanley avoiding touching a computer?,Because it would send him to Leavenworth.,"You're wasting your time. I even touch a computer, I go straight to Leavenworth",causal/relational queries
32、INT. STANLEY'S TRAILER - ANGLE - STANLEY,"In [32、INT. STANLEY'S TRAILER - ANGLE - STANLEY], What is Stanley's emotional state after the phone call?","Furious and distressed, physically lashing out.","Stanley freaks, beats the receiver against the fridge, again, and again. Then, he calmly hangs up the phone.",character states
32、INT. STANLEY'S TRAILER - ANGLE - STANLEY,"In [32、INT. STANLEY'S TRAILER - ANGLE - STANLEY], What is Melissa's emotional state during the conversation?","Angry and resolute, maintaining control.",She regains control. Her voice is accentless once again... She is now downright icy.,character states
17、EXT. BANK - SAME TIME,"In [17、EXT. BANK - SAME TIME], What is the mercenary's physical condition after being shot?",He is critically injured and drops after being shot.,BULLETS RIPPING into him. He drops.,character states
19、EXT. BANK - DAY,"In [19、EXT. BANK - DAY], What is the hostage's emotional state when she runs back toward the bank?",Hysterical,"Hysterical, the hostage runs back toward the bank",character states
17、EXT. BANK - SAME TIME,"In [17、EXT. BANK - SAME TIME], What is the SWAT team's objective in this scene?",To rescue the woman.,"one of the team jumps out, in an attempt to rescue the woman.",character states
54、INT. PRAGUE NIGHTCLUB - NIGHT,"In [54、INT. PRAGUE NIGHTCLUB - NIGHT], Where is the scene set?","A huge, lavish, converted theater in downtown Los Angeles","A huge, lavish, converted theater in downtown Los Angeles",scene localization
33、EXT. STANLEY'S TRAILER - DAY,How does Ginger present the money to Stanley?,Opens a manila envelope and dumps rubber-banded hundreds onto the ground,She pulls out a large manila envelope. Opens it and dumps the rubber-banded stacks of hundreds onto the ground.,detailed description
59、EXT. GABRIEL'S HOUSE - POOL - NIGHT,What action is depicted in the close-up of Stanley?,He stares off into the glittering lights of L.A.,CLOSEUP - STANLEY. Stanley stares off into the glittering lights of L.A.,detailed description
28、INT. KITCHEN,What does Ginger say about Stanley's place?,"This is not a nice place you have here, Stanley","This is not a nice place you have here, Stanley",detailed description
51、INT. COFFEE ROOM - NIGHT,What does Roberts do after realizing the misunderstanding?,Drops the phone and runs from the room.,"Realization slowly hits him, he drops the phone and runs from the room.",detailed description
59、EXT. GABRIEL'S HOUSE - POOL - NIGHT,What does Ginger do when she approaches Stanley?,She runs her hands across his shoulders and dances to the music.,"Ginger eases over to where Stan is sitting. She runs her hands across his shoulders as she moves around him, dancing to the MUSIC.",detailed description
39、EXT. PRAGUE NIGHTCLUB - NIGHT,What does Torvalds say about Gabriel's true nature?,"A driven, unflinching, calculating machine","Beneath it all he is a driven, unflinching, calculating machine",dialogue/beliefs
46、INT. INTERROGATION ROOM - SAME TIME,How does Torvalds appear as he looks into the glass?,He looks smugly.,Torvalds looks smugly into the glass.,detailed description
9、EXT. BANK - SHARPSHOOTERS,What is the effect of the red laser aiming dots on Gabriel?,He is unaware of their presence.,"Unbeknownst to him, red laser aiming dots appear on Gab's merc's chest.",causal/relational queries
12、INT. BANK - DAY,"In [12、INT. BANK - DAY], What is Gabriel's emotional state?",Gabriel is shocked.,he gets the shit shocked out of him,character states
19、EXT. BANK - DAY,"In [19、EXT. BANK - DAY], What action does the hostage take when the SWAT guy tries to rescue her?",She fights him,He reaches for her but she fights him,character states
1、INT. STARBUCKS COFFEE SHOP - MORNING,What is the difference in the suits worn by Stanley and Agent Roberts?,Stanley's is expensive and well-cut; Roberts' is polyester.,"Both wear suits, the younger's is fairly expensive and well cut, the other's is polyester, enough said.",detailed description
35、INT. VIEWING ROOM - NIGHT,What does 'BAD AGENTS #1 & 2' refer to?,FBI agents watching the interrogation,Two FBI agents (BAD AGENTS #1 & 2) watch the interrogation through a two-way mirror.,terminology/abbreviation/concept
