doc_title,chunk_id,description,scene_context
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_1,Ginger pulls out a cigarette and a lighter from her plastic overcoat.,
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_1,She exhales toward Stanley.,
59、EXT. GABRIEL'S HOUSE - POOL - NIGHT,doc_58_chunk_2,shakes her head,
33、EXT. STANLEY'S TRAILER - DAY,doc_32_chunk_2,"She blows smoke at him, thinking, then whips out her trump card.",
33、EXT. STANLEY'S TRAILER - DAY,doc_32_chunk_2,She pulls out a large manila envelope. Opens it and dumps the rubber-banded stacks of hundreds onto the ground.,
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_3,She reaches out and pulls him to her.,
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_3,She kisses him and slowly he responds.,
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_3,She smiles.,
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_0,Ginger appears behind him.,"Bathroom, Stanley leaning against mirror"
27、EXT. TRAILER - ROOF - DAY,doc_26_chunk_2,"She lights a cigarette, inhales deeply, then exhales.",Inside Stanley's white trash haven
27、EXT. TRAILER - ROOF - DAY,doc_26_chunk_3,She glances downward then back up.,
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_6,Ginger slowly lifts the cigarette.,
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_6,"She exhales, then slowly smiles.",
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_6,She's got him.,
27、EXT. TRAILER - ROOF - DAY,doc_26_chunk_1,GINGER appears at the top of the ladder and steps onto the trailer's roof.,Trailer roof
180、EXT. CREDIT SUISSE (MONTE CARLO) - DAY,doc_179_chunk_3,They both smile as the CIGARETTE disappears toward the horizon.,
33、EXT. STANLEY'S TRAILER - DAY,doc_32_chunk_4,"She smokes, letting it all sink in.",
33、EXT. STANLEY'S TRAILER - DAY,doc_32_chunk_4,She puts out her cigarette.,
33、EXT. STANLEY'S TRAILER - DAY,doc_32_chunk_4,She smiles.,
175、INT. GABRIEL'S HOUSE - GINGER'S ROOM,doc_174_chunk_0,"Ginger looks at him, holding her Glock, a wire taped between her breasts.",
55、INT. VIP SECTION - NIGHT,doc_54_chunk_0,Stanley and Ginger walk into a large area with individual private booths in small rooms around the perimeter.,Entering a large area with private booths
55、INT. VIP SECTION - NIGHT,doc_54_chunk_0,They walk into one of the booths in the back.,Entering a booth in the back
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_4,She looks at him a moment.,
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_4,She smiles at him and slowly bends forward to whisper in his ear.,
61、EXT. POOL - DAY,doc_60_chunk_1,"(sitting up, grinning)",
61、EXT. POOL - DAY,doc_60_chunk_1,"She reaches over, lights a cigarette, and inhales deeply.",
61、EXT. POOL - DAY,doc_60_chunk_1,(holding it out),
27、EXT. TRAILER - ROOF - DAY,doc_26_chunk_4,Begrudgingly he hands her the club.,
27、EXT. TRAILER - ROOF - DAY,doc_26_chunk_4,"She tees up a ball, pulls up her skirt far enough to reveal thong, and whack, hits a ball that Tiger Woods would envy. CLANG. She smiles, hands him the club back and pulls down her skirt.",
33、EXT. STANLEY'S TRAILER - DAY,doc_32_chunk_0,"Ginger sits on the hood of her car in all her estrogenic glory, smoking and petting Stan's dog.","Outside Stanley's trailer, Ginger sitting on her car hood"
33、EXT. STANLEY'S TRAILER - DAY,doc_32_chunk_0,She smiles at him.,"Outside Stanley's trailer, Ginger sitting on her car hood"
97、INT. GABRIEL'S HOUSE - LIVING ROOM - NIGHT,doc_96_chunk_1,She doesn't move.,
71、INT. GABRIEL'S HOUSE - GINGER'S ROOM - DAY,doc_70_chunk_0,Ginger walks in and closes the door.,
71、INT. GABRIEL'S HOUSE - GINGER'S ROOM - DAY,doc_70_chunk_0,She walks over to the dresser and takes off her earrings.,
71、INT. GABRIEL'S HOUSE - GINGER'S ROOM - DAY,doc_70_chunk_0,"Then she reaches under her dress and unVelcros the modified 10mm. Glock and its thigh holster, dropping it on the dresser.",
71、INT. GABRIEL'S HOUSE - GINGER'S ROOM - DAY,doc_70_chunk_0,"She then pulls off the hip, little designer dress she is wearing, revealing the fact that she is wearing a tiny transmitting receiver taped between her breasts.",
41、EXT. EMPTY SKY - NIGHT,doc_40_chunk_0,Stanley and Ginger walk out of LAX.,"LAX airport, walking out"
55、INT. VIP SECTION - NIGHT,doc_54_chunk_1,Ginger kisses Gabriel and with a healthy exchange of fluids,"Large oval table, Gabriel Shear and crew with model-types"
59、EXT. GABRIEL'S HOUSE - POOL - NIGHT,doc_58_chunk_3,Ginger eases over to where Stan is sitting.,
59、EXT. GABRIEL'S HOUSE - POOL - NIGHT,doc_58_chunk_3,"She runs her hands across his shoulders as she moves around him, dancing to the MUSIC.",
76、INT. GABRIEL'S HOUSE - LIVING ROOM - DAY,doc_75_chunk_0,Ginger walks in.,"Living room, Stanley working at flat-panels"
76、INT. GABRIEL'S HOUSE - LIVING ROOM - DAY,doc_75_chunk_0,She stands behind Stan as he works.,"Living room, Stanley working at flat-panels"
124、INT. BANK,doc_123_chunk_2,"kicking, fighting","Inside a building with high ceiling, during a confrontation with mercenaries"
73、INT. GABRIEL HOUSE - GINGER'S ROOM - DAY,doc_72_chunk_0,(pleadingly),
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_5,As she leans back.,At a desk
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_5,She stares at him a moment then slides off the desk.,At a desk
60、INT. GABRIEL'S LIVING ROOM - NIGHT,doc_59_chunk_5,"She hands him the bottle of expensive wine she's been drinking, and then grabbing Stan by the belt-buckle, pulls him casually behind her toward the pool house.","At a desk, then moving toward the pool house"
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_4,slamming Stan between the urinals,Bathroom
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_4,ramming her tongue into his mouth,Bathroom
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_4,Slowly Ginger takes her tongue out of Stan's mouth.,Bathroom
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_4,She smiles at him.,Bathroom
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_5,(coyly),
56、INT. CLUB - REST ROOM - NIGHT,doc_55_chunk_5,"A beat, for a moment there exists something between them, then bam, she's all business again.",Conversation with Stanley
