doc_title,chunk_id,text,scene_context
63. 阳台 日外,doc_62_chunk_0,我得赶紧向荔枝求婚。,阳台栏杆上，与陈末讨论求婚事宜。
63. 阳台 日外,doc_62_chunk_0,有些事必须去做。你得帮我。我没求过婚，缺乏经验。,阳台栏杆上，与陈末讨论求婚事宜。
63. 阳台 日外,doc_62_chunk_0,你之前，不是筹划过吗？,阳台栏杆上，与陈末讨论求婚事宜。
18. 重庆街头 日外,doc_17_chunk_0,又来了。,街头小吃摊：茅十八看到荔枝转身逃跑时。
42. 江边 夜外,doc_41_chunk_0,来，喝起来。,江边吃火锅，茅十八邀请猪头和陈末喝酒。
69. 稻城 日 外,doc_68_chunk_0,怎么样？,陈末在打电话时，茅十八询问电话进展。
69. 稻城 日 外,doc_68_chunk_0,帮我求婚。,幺鸡走过来后，茅十八请求幺鸡帮忙求婚。
12. 天台 日外,doc_11_chunk_0,人生就像一场泡泡。,饭桌旁，茅十八与猪头围坐
89.组镜 重庆 荔枝家 街头 等 互切,doc_94_chunk_0,荔枝我爱你我爱你我爱你。你可以嫁给我吗？,求婚场面
70. 稻城 日外,doc_69_chunk_2,荔枝，我爱你！我爱你！我爱你！你可以嫁给我吗？,求婚场景，茅十八跪在荔枝面前求婚
40. 重庆街头 夜外,doc_39_chunk_0,探索宇宙的真理已经很累了，我没有时间说假话。,荔枝询问茅十八是否说谎
40. 重庆街头 夜外,doc_39_chunk_0,漂亮。,荔枝询问自己是否漂亮
60.街头 夜外,doc_59_chunk_0,燕子需要什么，猪头拼了命的都给。他做错什么了，好好的爱情 怎么就变成自作多情了？,喝酒聊天场景，茅十八与猪头、陈末讨论燕子的爱情问题。
79. 办公室／天台 夜 互切,doc_78_chunk_0,相信我。,天台：茅十八与幺鸡对话，讨论仪器顺利。
79. 办公室／天台 夜 互切,doc_78_chunk_0,上帝保佑，亮起来。,天台：茅十八与幺鸡对话，讨论投影准备。
78. 茅十八小店 日 内,doc_77_chunk_0,秘密。,在门口，与荔枝对话
78. 茅十八小店 日 内,doc_77_chunk_0,我保证，以后你一定会知道的。而且你知道的时候一定会很开心的。,在门口，与荔枝对话
78. 茅十八小店 日 内,doc_77_chunk_0,我要给幺鸡去帮忙了，你晚上值班，注意安全。,在门口，与荔枝对话
13. 重庆街头 日外,doc_12_chunk_0,我给你改成空气炸锅了。,电饭锅发明现场
71. 稻城旅店 夜 内,doc_70_chunk_0,以前我是有梦想的小发明家，以后我是有理想的电器店小老板。哥，我要给荔枝，最好的生活。,在喝酒场景中，茅十八对'哥'谈论梦想。
71. 稻城旅店 夜 内,doc_70_chunk_0,猪头？！,电视新闻播放时，茅十八看到新闻吃惊。
71. 稻城旅店 夜 内,doc_70_chunk_0,燕子去过那儿。,电视爆炸后，茅十八评论燕子。
71. 稻城旅店 夜 内,doc_70_chunk_0,值得。,陈末询问是否值得后，茅十八回答。
19. 胡同 日外,doc_18_chunk_0,我又做错什么了？,在墙上，荔枝追捕茅十八，涉及小广告
19. 胡同 日外,doc_18_chunk_0,你追什么追啊？,在墙上，荔枝追捕茅十八，涉及小广告
19. 胡同 日外,doc_18_chunk_0,哥，你这么干也红不了，我给你开公众号吧！,茅十八挣脱荔枝，走向陈末，对陈末说话
70. 稻城 日外,doc_69_chunk_1,不管。,赶赴求婚地点途中，与荔枝讨论陈末
70. 稻城 日外,doc_69_chunk_1,就我们两个人。,赶赴求婚地点途中，与荔枝确认人数
70. 稻城 日外,doc_69_chunk_1,不管！,赶赴求婚地点途中，与荔枝确认目的地
70. 稻城 日外,doc_69_chunk_1,荔枝，我爱你。你可以，嫁给我，吗？,求婚现场，教堂内，向荔枝求婚
38. 重庆街头 夜外,doc_37_chunk_0,我回收的。,城市夜景，荔枝询问茅十八关于筐内物品。
38. 重庆街头 夜外,doc_37_chunk_0,我怕你。,城市夜景，荔枝询问茅十八关于逃跑原因。
38. 重庆街头 夜外,doc_37_chunk_0,作弊。,城市夜景，荔枝询问茅十八关于高考处分。
38. 重庆街头 夜外,doc_37_chunk_0,我有我哥，我哥收留我。我可以混吃混喝，我要开发自己的软件。,城市夜景，荔枝询问茅十八关于工作原因。
38. 重庆街头 夜外,doc_37_chunk_0,如果拉手算谈恋爱的话，我有三次。如果做爱才算谈恋爱的话，我只有一次。你呢？！几次啊？,城市夜景，荔枝询问茅十八关于恋爱经历。
62. 街头／茅十八的小店 日 （互切）,doc_61_chunk_1,荔枝！荔枝！荔枝！荔枝！,街头，茅十八与荔枝对话
62. 街头／茅十八的小店 日 （互切）,doc_61_chunk_1,荔枝，你没事就太好了。,街头，茅十八与荔枝对话
62. 街头／茅十八的小店 日 （互切）,doc_61_chunk_1,你千万不能有事。,街头，茅十八与荔枝对话
48. 重庆街头 日外,doc_47_chunk_0,再睡会儿。,在家中，茅十八与荔枝对话，主题为起床。
48. 重庆街头 日外,doc_47_chunk_0,不要走。,在家中，茅十八与荔枝对话，主题为挽留。
48. 重庆街头 日外,doc_47_chunk_0,我为你做的，你遇到危险，它就会通知。我去救你。,在家中，茅十八与荔枝对话，主题为解释物品功能。
