scene,question,answer,evidence,qa_type
27、EXT. SIDE OF WAREHOUSE -- AFTERNOON,What caused the biker to slam the door?,Raymond's request to lower the music led to the biker's aggressive response.,The biker pours beer on Raymond after his request and then slams the door.,causal/relational queries
36、INT. LIQUOR STORE -- EVENING,What caused Raphael to push the old man to the floor?,The old man's denial of knowing the safe's combination.,I swear! I don't have it!,causal/relational queries
16、INT. LIMO -- MOVING -- DAY,When does Marcel start singing?,After Bastaldi turns off the radio,He turns off the radio. A long beat. Marcel... starts singing,temporal references
21、INT. SOPHIE'S WAREHOUSE -- MORNING,What belief does Raymond express about Pepe Le Pew?,We are all searching for love.,Although a cartoon I feel he shares a universal theme: We are all searching for love. No?,dialogue/beliefs
23、EXT. ALLEY -- AFTERNOON,Why is Frankie Zammito having Vinny's arm broken?,Because Vinny failed to repay a loan he borrowed.,Frankie mentions lending Vinny twenty large and Vinny not paying a dime.,causal/relational queries
6、EXT. HOUSE -- NIGHT,"In [6、EXT. HOUSE -- NIGHT], What is Daniel's emotional state when he shouts at Raymond?",Urgent and anxious,Daniel shouts 'Start the car!' while running towards the street.,character states
16、INT. LIMO -- MOVING -- DAY,When does Marcel stop singing?,When he sees Bastaldi glaring,Marcel sees Bastaldi glaring at him and stops,temporal references
29、EXT. SIDE OF WAREHOUSE -- MOMENTS LATER -- AFTERNOON,Why does the Biker clutch his hands over his nose?,Because Marcel headbutted him.,"Marcel head butts him, slamming his forehead into the bridge of his nose. The Biker clasps his hands over his bleeding nose.",causal/relational queries
26、INT. SOPHIE'S WAREHOUSE -- AFTERNOON,Why don't the neighbors keep the noise down?,Because they don't listen to Sophie's requests.,SOPHIE: I've asked them a hundred times to keep in down. They don't listen.,causal/relational queries
24、INT. COFFEE SHOP -- LATER -- AFTERNOON,Why do Zero and Julien go in through the window?,To disable the motion detector.,Zero and Julien will go in through the window and disable the motion detector.,causal/relational queries
24、INT. COFFEE SHOP -- LATER -- AFTERNOON,Why does Daniel refuse Sophie's car?,To avoid the license number leading back to her.,Not a good idea. Someone gets a license number and it all leads back to you.,causal/relational queries
33、INT. SOUTH SIDE SOCIAL CLUB - ZAMMITO'S OFFICE -- AFTERNOON,Why does Zammito instruct Bobby Beans to relay their conversation?,"Bobby refused to negotiate, prompting Zammito to demand serious terms from his group.",ZAMMITO: 'Go back to your people and tell them when they're serious to put a number on the table.',causal/relational queries
"39、EXT. STREET, SOPHIE'S WAREHOUSE -- NIGHT","In [39、EXT. STREET, SOPHIE'S WAREHOUSE -- NIGHT], What is Sami's emotional state when Raymond demonstrates the car's hydraulics?","Irritated, as he rolls his eyes",Sami rolls his eyes as the others get into the car,character states
36、INT. LIQUOR STORE -- EVENING,Why did Raphael pistol whip the old man?,The old man refused to provide the safe's combination.,I don't have the combination.,causal/relational queries
57、INT. ZAMMITO'S BEDROOM -- NIGHT,What does Zero do after seeing a flash across the street?,takes a pair of night vision binoculars out of one of the bags and looks out the window,Zero who has been standing quietly by the window sees something across the street. A flash. Light reflecting off glass. He takes a pair of night vision binoculars out of one of the bags and looks out the window.,detailed description
30、INT. BIKER'S WAREHOUSE -- CONTINUOUS,Why does Biker #2 grab his broken knuckles?,"Because his fists hit Marcel's skull, causing broken knuckles.","Marcel bends his head down, so that his attackers fists slams into the hard crown of his skull.",causal/relational queries
30、INT. BIKER'S WAREHOUSE -- CONTINUOUS,Why does the third Biker turn off the power?,"To stop the fight, leading to dead quiet.",He is smaller than the others and has seen enough. He quickly turns off the power.,causal/relational queries
7、INT. PEUGEOT -- CONTINUOUS,When do the windows on the left side of the car shatter?,After the old man fires.,The old man fires. The windows on the left side of the car shatter.,temporal references
7、INT. PEUGEOT -- CONTINUOUS,When does Raymond floor the Peugeot?,After the old man opens the breach of the shotgun to reload.,Raymond pops up and returns to getting the car out as the old man opens the breach of the shotgun to reload. Raymond floors the Peugeot.,temporal references
29、EXT. SIDE OF WAREHOUSE -- MOMENTS LATER -- AFTERNOON,What causes the Biker to back into the room?,Marcel's rapid punches to his face.,Marcel grabs him by the hair and rapidly punches him in face several times -- each punch backing the Biker into the room.,causal/relational queries
10、INT. BASTALDI'S OFFICE -- DAY,"In [10、INT. BASTALDI'S OFFICE -- DAY], What is Marcel Burot's emotional state when he makes the comment about Daniel?",Amused,MARCEL (amused),character states
4、EXT. STREET -- NIGHT,"In [4、EXT. STREET -- NIGHT], Where does the Mercedes park in relation to the Peugeot?","In front of the Peugeot, boxing it between it and a car behind it","A Mercedes parks in front of the Peugeot, boxing it in between it and a car behind it",scene localization
18、EXT. CHICAGO DRIVING MONTAGE -- MORNING,When does the beauty of the city begin to fade?,With each successive cut,Then with each successive cut the beauty of the city seems to fade,temporal references
33、INT. SOUTH SIDE SOCIAL CLUB - ZAMMITO'S OFFICE -- AFTERNOON,Why is Bobby Beans interested in the warehouse?,"His import business volume has risen dramatically, requiring more storage.",BOBBY BEANS: 'The volume on our import business has risen dramatically. The proceeds this quarter will be supernumerary due to the --',causal/relational queries
12、INT. CAFE -- LATIN QUARTER -- DAY,"In [12、INT. CAFE -- LATIN QUARTER -- DAY], What is Sami's emotional state when he sees Marcel?",Nervous and anxious.,Forces a smile and claims he thought Marcel was someone else.,character states
8、INT. PEUGEOT -- MOVING -- NIGHT,"In [8、INT. PEUGEOT -- MOVING -- NIGHT], What is Raymond's emotional state while driving?",Nervous,Raymond bites his lip nervously as he drives.,character states
