doc_title,chunk_id,text,scene_context
107、EXT. LESTER F. LARSEN TRACTOR TEST AND POWER MUSEUM,doc_106_chunk_0,We're here. We might as well.,Outside with Renee; discussing whether to proceed with an action they are hesitant about.
123、INT. SOUTHWEST BANK CORPORATE OFFICES,doc_122_chunk_0,Sorry about that.,Board room meeting; Carl speaks to the VPs after arriving late.
118、INT. BLOOD BANK,doc_117_chunk_0,I don't care. Just take it all.,Scene: Carl is strapped to a giant plasma donation machine and speaking with a nurse.
108、EXT. FIELD - MOMENTS LATER,doc_107_chunk_0,THIS IS AWESOME!,"Scene: Riding a tractor in a field, Carl is speaking to Renee and the tractor driver about the experience."
120、INT. CHRIS PARKER'S OFFICE - DAY,doc_119_chunk_1,Yes.,"Scene context not specified: Carl is speaking with Chris Parker, who offers him a VP position and expansion of his microloan program; Carl responds with agreement."
104、INT. PLANE,doc_103_chunk_0,Where's your seat?,On a plane; Carl is speaking with a young woman who wants to switch seats to sit across from her mother; the topic is seat assignment.
104、INT. PLANE,doc_103_chunk_1,This is an aisle. That's a middle.,"Scene: On an airplane, Carl speaks to a mom who has taken his seat; the context involves seat confusion during boarding."
105、INT. LINCOLN AIRPORT - LATER,doc_104_chunk_0,"Well, clearly we should go there.","Airport: Carl is with Renee, discussing what to do next after arriving; he suggests going to a place indicated by an advertisement for a telephone museum."
128、INT. CARL'S NEW OFFICE,doc_127_chunk_0,Those dicks.,"Carl's office, speaking with Chris Parker after a protestor throws a rock at Chris."
117、INT. COFFEE SHOP,doc_116_chunk_1,I don't.,
117、INT. COFFEE SHOP,doc_116_chunk_1,Yes. And yes.,
117、INT. COFFEE SHOP,doc_116_chunk_1,It wasn't a lie.,
101、INT. POTTERY STUDIO,doc_100_chunk_0,I just got promoted to bank manager.,"Pottery studio: Carl speaks to Renee after returning from golf, revealing his promotion."
101、INT. POTTERY STUDIO,doc_100_chunk_0,OK.,Pottery studio: Carl responds to Renee's suggestion about doing sexy pottery.
103、INT. AIRPORT - OUTSIDE SECURITY,doc_102_chunk_1,That's our flight. We should probably get going.,"Airport boarding area, speaking with Renee and Tony before departing for Lincoln, Nebraska."
103、INT. AIRPORT - OUTSIDE SECURITY,doc_102_chunk_1,See you soon.,"Airport boarding area, speaking to Tony as Carl and Renee prepare to leave."
109、EXT. ANTELOPE PARK AND SUNKEN GARDENS,doc_108_chunk_1,Yes.,
109、EXT. ANTELOPE PARK AND SUNKEN GARDENS,doc_108_chunk_1,Definitely.,
109、EXT. ANTELOPE PARK AND SUNKEN GARDENS,doc_108_chunk_1,Yes.,
109、EXT. ANTELOPE PARK AND SUNKEN GARDENS,doc_108_chunk_1,I'm definitely falling for you.,
109、EXT. ANTELOPE PARK AND SUNKEN GARDENS,doc_108_chunk_0,Just don't sue me.,"Scene: In a city park, Carl responds to Renee's joke about whiplash from a tractor ride."
109、EXT. ANTELOPE PARK AND SUNKEN GARDENS,doc_108_chunk_0,This day has been so randomly incredible.,"Scene: In a city park, Carl reflects on the day while walking with Renee."
103、INT. AIRPORT - OUTSIDE SECURITY,doc_102_chunk_0,Tony.,"Scene: At airport security; Carl encounters Tony, a former lover, who is handing out books on Mahayana Buddhism."
103、INT. AIRPORT - OUTSIDE SECURITY,doc_102_chunk_0,I'm sorry. I've been busy.,Scene: At airport security; Carl responds to Tony's comment about not being called after their past encounter.
108、EXT. FIELD - MOMENTS LATER,doc_107_chunk_1,"There's, uhh, no power steering.","Scene: After stopping the tractor, Carl speaks to the Tractor Driver and Renee about the vehicle."
108、EXT. FIELD - MOMENTS LATER,doc_107_chunk_1,I'm sorry about the barn.,"Scene: After stopping the tractor, Carl speaks to the Tractor Driver and Renee about the damage caused."
102、INT. AIRPORT - TICKET COUNTER,doc_101_chunk_1,"Lincoln, Nebraska! Here we come, baby!","Airport check-in counter, Carl is with Renee; discussing their travel plans."
102、INT. AIRPORT - TICKET COUNTER,doc_101_chunk_1,I've been promoted. I've got money to burn.,"Airport check-in counter, Carl is with Renee; responding to Renee's hesitation about spending money on tickets."
110、INT. LINCOLN AIRPORT,doc_109_chunk_1,National Enquirer?,"Scene: Airport terminal or similar location; Carl is speaking with Renee about magazines she brought, questioning her choice of the National Enquirer."
110、INT. LINCOLN AIRPORT,doc_109_chunk_1,Just a gift for some buddies back home.,"Scene: Airport terminal or similar location; Carl is speaking with Renee, explaining the contents of a package."
125、INT. CARL'S APARTMENT,doc_124_chunk_0,There are other banks.,Scene involving a discussion about a bank merger; Carl speaks to Norman and Rooney about the bank.
125、INT. CARL'S APARTMENT,doc_124_chunk_0,You don't even work at the bank.,Scene involving a discussion about a bank merger; Carl speaks to Rooney about his involvement in the protest.
110、INT. LINCOLN AIRPORT,doc_109_chunk_0,Like you want me to bring it with me? On the plane?,Lincoln Airport lounge; Carl speaks with an old woman who asks him to deliver a shady-looking package.
110、INT. LINCOLN AIRPORT,doc_109_chunk_0,Yeah. Sure. I'd be happy to.,"Lincoln Airport lounge; Carl agrees to deliver a package for an old woman, appearing very nervous."
124、INT. CHRIS PARKER'S OFFICE,doc_123_chunk_0,You can't close the Maple Branch!,Scene: Carl is in a heated discussion with Chris Parker about closing the Maple Branch and layoffs.
124、INT. CHRIS PARKER'S OFFICE,doc_123_chunk_0,You don't have to if you don't want to.,Scene: Carl is in a heated discussion with Chris Parker about closing the Maple Branch and layoffs.
121、INT. CARL'S NEW OFFICE,doc_120_chunk_0,"That's right, we're dropping the minimum loan to one dollar, bank-wide.","Scene: Carl's office, Carl is on the phone discussing a bank-wide policy change."
121、INT. CARL'S NEW OFFICE,doc_120_chunk_0,I thought I was just implementing the microloan program.,"Scene: Carl's office, Carl speaks to Chris Parker about his job responsibilities."
137、INT. DUNKIN DONUTS,doc_136_chunk_0,No.,"Dunkin Donuts, speaking with the cashier while purchasing coffee."
136、EXT. STREET,doc_135_chunk_0,No.,Dunkin Donuts parking lot; Carl responds to a flier guy offering to pawn something.
130、INT. MARRIOTT CONFERENCE CENTER,doc_129_chunk_0,"Hi, Sanji. I'm Carl. Kendall.","Scene: At a book signing event, Carl speaks to Sanji at the front of the line."
130、INT. MARRIOTT CONFERENCE CENTER,doc_129_chunk_0,"Actually, I had a question for you...","Scene: At a book signing event, Carl speaks to Sanji at the front of the line."
106、INT. FRANK H. WOODS TELEPHONE PIONEER MUSEUM,doc_105_chunk_0,"I had no idea that the earliest
switchboard operator headsets
weighed ten and a half pounds.
That is fascinating.",Scene: Museum exhibit with mannequins of nineteenth-century switchboard operators; Carl is speaking to Renee about the weight of early headsets.
106、INT. FRANK H. WOODS TELEPHONE PIONEER MUSEUM,doc_105_chunk_0,Not at all.,Scene: Museum exhibit with mannequins of nineteenth-century switchboard operators; Carl responds to Renee's question about whether the fact is interesting.
13、INT. DUNKIN DONUTS,doc_12_chunk_0,No thanks.,Dunkin Donuts: Carl responds to the cashier's offer of an Italian.
13、INT. DUNKIN DONUTS,doc_12_chunk_0,No.,Dunkin Donuts: Carl responds again to the cashier's further offer.
1、EXT. RUDY'S - NIGHT,doc_0_chunk_2,"We're at different places in our
lives. I get it.",Scene unspecified: Carl speaks with his girlfriend KATH during a breakup conversation.
1、EXT. RUDY'S - NIGHT,doc_0_chunk_2,That would be inappropriate.,"Scene unspecified: Carl responds to KATH, who suggests he has the right to call her a bitch."
1、EXT. RUDY'S - NIGHT,doc_0_chunk_2,C'mere. It'll be OK.,Scene unspecified: Carl comforts KATH as she tears up after their breakup.
114、INT. JAIL - INTERROGATION ROOM,doc_113_chunk_0,Yes. I'm sorry. Just let the girl go. She doesn't know anything.,"Scene with two DEA Agents, Good Cop Bob and Bad Cop Bob; Carl is pleading for a girl's release."
114、INT. JAIL - INTERROGATION ROOM,doc_113_chunk_0,"Some old lady gave me a package in the Lincoln airport to deliver to her son, Sheldon Winkleton. That was really stupid of me and I","Scene with two DEA Agents, Good Cop Bob and Bad Cop Bob; Carl is explaining how he got involved with the package."
120、INT. CHRIS PARKER'S OFFICE - DAY,doc_119_chunk_0,I'm not a drug dealer,"Scene: Chris's office, Carl responds to Chris mentioning a call from the police department."
120、INT. CHRIS PARKER'S OFFICE - DAY,doc_119_chunk_0,You got to do what you got to do to help Mr. And Mrs. Shareholder.,"Scene: Chris's office, Carl responds to Chris justifying backdating stock options."
120、INT. CHRIS PARKER'S OFFICE - DAY,doc_119_chunk_0,Totally.,"Scene: Chris's office, Carl agrees with Chris's statement about being slaves to shareholders."
129、INT. PETER'S LAW OFFICE,doc_128_chunk_0,"I think I made a mistake letting
Renee go like that. What if I'm
supposed to go on that trip?","Scene: Carl sits across from Peter, discussing his decision to let Renee go and whether he should go on a trip."
129、INT. PETER'S LAW OFFICE,doc_128_chunk_0,But the bank doesn't feel right...,"Scene: Carl sits across from Peter, expressing discomfort about his job at the bank."
139、INT. SOUTHWEST BANK CORPORATE OFFICES - CONFERENCE ROOM,doc_138_chunk_0,Have you guys thought that teenagers don't have the financial knowhow to use a credit card?,Conference room meeting with Chris Parker and other VPs discussing entry into the teenage credit card market.
117、INT. COFFEE SHOP,doc_116_chunk_0,Yes.,"Scene: Carl sits across from Renee, responding to her observation about him saying yes to everything."
