doc_title,chunk_id,description,scene_context
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_7,exits,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_2,Lucas watches him closely.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_1,Lucas gives him a look.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_2,Lucas throws him a look.,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_5,"Lucas leans over the table, nose to nose with Walter.",
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_0,Sergeant Lucas pushes the door open further and walks right in.,"Scene: Inside Walter's home, after a loud knock on the door."
14、INT. POLICE DEPARTMENT - DAY,doc_13_chunk_0,Sergeant LUCAS closes the folder and looks out his office window where Walter stands being fingerprinted.,"Inside an office, after reviewing a police file."
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_5,Lucas pauses briefly.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_5,Lucas turns away without responding to the accusation.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_5,Lucas pops the gum in his mouth and heads towards the door.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_5,Lucas turns.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_0,Lucas enters.,"Living room, after a knock on the door."
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_0,Lucas walks over to the window.,"Living room, during conversation with Walter."
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_3,Lucas looks at the bus map on the wall.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_3,Lucas spits his gum into the garbage can and sits down across from Walter.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_0,Sergeant Lucas stands outside.,"At the door of Walter's location, after multiple knocks."
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_0,Lucas enters.,"At the door of Walter's location, after Walter opens it."
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_1,flashes his badge,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_1,Lucas walks around the apartment,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_1,Lucas walks over to the window,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_4,Lucas whirls around.,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_4,Lucas move your fucking hands away from your pockets!,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_4,Lucas sit down!,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_3,Lucas walks around.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_3,Lucas throws him a look.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_3,Lucas raises his brows then takes out a piece of gum.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_1,Lucas signals a chair.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_1,Lucas walks around the room. He pauses.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_1,Lucas points to the plant on the windowsill.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_6,Lucas watches Walter who impassively unrolls and rolls the same pair of socks.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_6,Lucas looks at Walter for a moment.,
123、INT. WALTER'S APARTMENT - DAY,doc_122_chunk_6,He exits.,
31、EXT. WAREHOUSE - DUSK,doc_30_chunk_1,"Sergeant Lucas gets out of the car, and pauses watching after Vicki and Walter.","Parking lot, as Vicki and Walter pull away."
31、EXT. WAREHOUSE - DUSK,doc_30_chunk_1,He then turns and heads into the office.,"Parking lot, after watching Vicki and Walter."
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_7,Lucas taps Walter on the forehead and smiles.,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_7,Lucas taps him again.,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_7,"Lucas rises, spits his gum in the sink, and leaves.",
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_3,Lucas looks at Walter.,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_3,He looks at the table.,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_3,Lucas runs his hand along the surface.,
66、INT. WALTER'S APT. - NIGHT,doc_65_chunk_3,Lucas walks back to the window.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_6,Lucas takes out a fresh piece of gum and pops it in his mouth.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_6,Then he rises.,
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_6,"Lucas stares coldly at Walter, his face red.",
92、INT. WALTER'S APT. - NIGHT,doc_91_chunk_6,He slaps Walter on the back of the head.,
