doc_title,chunk_id,fact,scene_context
12、EXT. NELSON HOUSE - EVENING,doc_11_chunk_1,Ted is informed of his parents' death.,
40、EXT. JACUZZI - NIGHT,doc_39_chunk_6,Ted is kissed passionately by Ginger.,
51、INT. PRINCIPAL MERKIN'S OFFICE - DAY,doc_50_chunk_0,The target character is acknowledged as the best editor the school paper ever had.,
"38、INT. ""HEAVEN"" HEADQUARTERS - DAY",doc_37_chunk_0,Ted is assigned the job of deciding which woman will be the next Angel of the Month.,"""HEAVEN"" WAR ROOM: Uncle Billy explicitly assigns Ted the responsibility during the office tour."
"23、INT. ""HEAVEN"" MANSION - CONFERENCE ROOM - DAY",doc_22_chunk_2,"Ted becomes the owner of the entire ""Heaven"" empire, including its publishing division, real estate holdings, retail outlets, and theme parks.","Conference room scene: Zukerman informs Ted of his inheritance of the ""Heaven"" empire."
69、INT. SCHOOL GYMNASIUM - NIGHT,doc_68_chunk_9,Ted experiences a moment of loss.,
53、INT. NELSON DINING ROOM - DAY,doc_52_chunk_2,The target character provides approval that is treated as decisive by the Chef.,Scene where the Chef presents food to Ted and receives his evaluation.
71、INT. HOTEL PENTHOUSE - NIGHT,doc_70_chunk_0,Ted has rented all four penthouse suites.,
47、EXT. NELSON HOUSE - DAY,doc_46_chunk_0,"Ted sends an expensive gift to the family, delivered by a delivery man from 'Heaven'.","Scene: The family receives a delivery at their home, prompted by Ted's action."
13、INT. NELSON LIVING ROOM - NIGHT,doc_12_chunk_0,Ted is required to attend the will reading on Tuesday.,"Scene: Living room, during conversation with Zukerman."
13、INT. NELSON LIVING ROOM - NIGHT,doc_12_chunk_0,Ted is provided with two prepaid tickets for the will reading.,"Scene: Living room, during conversation with Zukerman."
"49、INT. ""HEAVEN"" MANSION - TED'S ROOM - DAY",doc_48_chunk_1,Ted arranges for a washing machine and dryer to be delivered to his mother's house.,
"49、INT. ""HEAVEN"" MANSION - TED'S ROOM - DAY",doc_48_chunk_1,Ted commits to making his mother very proud.,
69、INT. SCHOOL GYMNASIUM - NIGHT,doc_68_chunk_6,Ted offers Principal Merkin a bribe to leave his position.,"Scene: School event stage, during a public confrontation with Principal Merkin."
72、EXT. HOLIDAY INN - NIGHT,doc_71_chunk_0,Ted accepts a motorcycle ride from Julie after being cut off by her Harley.,
66、INT. TED'S BEDROOM - DAY,doc_65_chunk_1,Ted acknowledges receipt of the chore list from his dad.,
66、INT. TED'S BEDROOM - DAY,doc_65_chunk_1,Ted commits to completing the chores after receiving the list from his dad.,
16、INT. LAX - DAY,doc_15_chunk_1,"The target character is publicly identified as a virgin by another character, and this information is acknowledged as widely known among bystanders.","Scene where Charlie reveals Ted's virginity in a public setting, causing people to stare at Ted."
16、INT. LAX - DAY,doc_15_chunk_1,The target character expresses a decision to seek a new best friend.,Scene where Ted responds to Charlie's public revelation about his virginity.
7、INT. BASKETBALL COURT - TECUMSEH HIGH SCHOOL - DAY,doc_6_chunk_4,The target character explicitly defies the hamburger theory of life and what it represents.,
7、INT. BASKETBALL COURT - TECUMSEH HIGH SCHOOL - DAY,doc_6_chunk_4,The target character explicitly defies any and all limits.,
61、INT. CITY COUNCIL HALL - EVENING,doc_60_chunk_4,Ted successfully locates a specific page in the report prepared by Helen upon her signal.,
61、INT. CITY COUNCIL HALL - EVENING,doc_60_chunk_4,Ted demonstrates familiarity with the community's history of engagement with 'Heaven' by referencing long-term readership and video library subscriptions.,
53、INT. NELSON DINING ROOM - DAY,doc_52_chunk_4,Ted earns more interest in one day than the store's entire annual revenue.,Scene where Ted explains his financial situation to his parents.
53、INT. NELSON DINING ROOM - DAY,doc_52_chunk_4,Ted is the favorite brother of the speaker who compares him to the Rockefellers.,Scene where a family member speaks admiringly about Ted.
