doc_title,chunk_id,description,scene_context
119、INT. THE GLOBE THEATER - DAY,doc_118_chunk_1,Jonson stops and watches the rehearsal for a beat.,"Theater rehearsal, Gloucester's scene"
130、INT. THE GLOBE THEATER - DAY,doc_129_chunk_1,Jonson gives Dekker a sharp look.,Galleries
120、INT. THE MERMAID'S TAVERN - NIGHT,doc_119_chunk_1,"Jonson gets up, furious, and exits, quite drunk.",During a toast to Shakespeare and villainy
119、INT. THE GLOBE THEATER - DAY,doc_118_chunk_0,Jonson sticks his head in and takes in the glorious new theater Shakespeare and Burbage have built.,"New theater built by Shakespeare and Burbage, Jonson observes the theater."
127、INT. OXFORD STONE - OXFORD'S ROOM - NIGHT,doc_126_chunk_0,"Jonson is leaning against the edge of the balustrade, watching the Groundlings fill in.",INT. THE GLOBE THEATER - THE GALLERIES - DAY 118AA
127、INT. OXFORD STONE - OXFORD'S ROOM - NIGHT,doc_126_chunk_0,He bites his nails nervous.,INT. THE GLOBE THEATER - THE GALLERIES - DAY 118AA
12、INT. TOWER OF LONDON - AN INTERROGATION ROOM - DAWN,doc_11_chunk_0,Jonson nods.,"Interrogation room, dark with torches and fire pit, Interrogator questioning"
12、INT. TOWER OF LONDON - AN INTERROGATION ROOM - DAWN,doc_11_chunk_4,"Jonson blinks, trying to stay conscious.",In the cell during interrogation
143、EXT. LONDON BRIDGE - DAY,doc_142_chunk_0,JONSON is in the middle of the uncontrolled mob. He spots Francesco nearby.,"Shop-lined bridge, mob moving"
143、EXT. LONDON BRIDGE - DAY,doc_142_chunk_0,"JONSON runs with the crowd, trying to escape.","Shop-lined bridge, during panic after cannon fire"
122、INT. THE TOWER OF LONDON - POLE'S ROOM - DAY,doc_121_chunk_0,Jonson sits in the same spot where Marlowe was sitting earlier.,"Room with windows, Jonson sits in Marlowe's spot"
122、INT. THE TOWER OF LONDON - POLE'S ROOM - DAY,doc_121_chunk_0,And he hates himself for it.,"Room with windows, Jonson sits in Marlowe's spot"
102、INT. THE MERMAID'S TAVERN - NIGHT,doc_101_chunk_5,"He thrusts it at Will, who ignores it.",
166、INT. OXFORD STONE - OXFORD'S BEDROOM - CONTINUOUS,doc_165_chunk_3,He hesitates.,
119、INT. THE GLOBE THEATER - DAY,doc_118_chunk_3,Jonson thinks a beat-- that's odd-- but then holds up his manuscript.,Conversation with Burbage about the Globe
119、INT. THE GLOBE THEATER - DAY,doc_118_chunk_3,Jonson looks confused.,Conversation with Burbage about the Globe
119、INT. THE GLOBE THEATER - DAY,doc_118_chunk_3,Jonson is in shock.,Conversation with Burbage about the Globe
166、INT. OXFORD STONE - OXFORD'S BEDROOM - CONTINUOUS,doc_165_chunk_1,Jonson looks on sadly.,
