doc_title,chunk_id,text,scene_context
"40、EXT ALLEY, SAME TIME",doc_39_chunk_4,"Talk to me, bro.",Scene I (continued): Ricky answers a phone call.
6、INT. TV SCREEN,doc_5_chunk_1,"What's shaking, douchebag? Thought I'd give you the heads up. You're dead.","Verona's monologue, pointing into the camera, addressing Chev."
6、INT. TV SCREEN,doc_5_chunk_1,"Yeah, that's right, you little bitch ... if you're watching this tape it means that I somehow resisted the urge to dismember you and shove the pieces down the garbage disposal ... opting instead to poison you in your sleep. Yeah, you heard me...","Verona's monologue, pointing into the camera, addressing Chev."
"127、INT SMOKING LOUNGE, STANDARD HOTEL - CONTINUOUS",doc_126_chunk_0,"What's up, dead?","In a cleared-out room with champagne, speaking to CHEV."
"127、INT SMOKING LOUNGE, STANDARD HOTEL - CONTINUOUS",doc_126_chunk_4,"I'm nobody's little bitch, you hear me? He'll pay what I tell him to pay...!",Verona speaks to Chev about payment in a meeting with Carlito.
"127、INT SMOKING LOUNGE, STANDARD HOTEL - CONTINUOUS",doc_126_chunk_3,I'm nobody's little bitch.,Confrontation with HEV and CHEV: Verona denies being a little bitch.
"20、INT CHEV'S CAR, MOMENTS LATER",doc_19_chunk_0,"ey, what's up, Doc!","Phone call with Chev (Doc), Verona greets Chev."
"20、INT CHEV'S CAR, MOMENTS LATER",doc_19_chunk_0,"nude, aren't you dead yet? What the hell are you doing out there?","Phone call with Chev (Doc), Verona questions Chev's state and whereabouts."
"20、INT CHEV'S CAR, MOMENTS LATER",doc_19_chunk_0,"eah, whatever. Look, just thought you'd like to know that I'm all about hooking","Phone call with Chev (Doc), Verona dismisses Chev and mentions being 'all about hooking'."
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_0,Give me a fucking break...,"In the back, watching satellite TV with crew, Ricky Verona reacts to a Japanese tourist interview."
6、INT. TV SCREEN,doc_5_chunk_6,"Hey, it's been real. Probably should've\nthought twice before you whacked Don Kim.\nExperiencing a little 20/20 hindsight? I\nthought so. Have a nice death...","Chev's bedside, speaking to thugs about Don Kim's murder and their death."
6、INT. TV SCREEN,doc_5_chunk_5,... your heartbeat is slowing down like there's rust in your veins... you're like the Tin Man in the Wizard of freaking Oz...,"Room with thugs, Verona speaking to Alex (thug)"
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_4,Hmmm.,"Phone call with CHEV, discussing a deal"
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_4,Alright.,"Phone call with CHEV, discussing a deal"
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_4,Whatever.,"Phone call with CHEV, discussing a deal"
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_4,Of course.,"Phone call with CHEV, discussing a deal"
"127、INT SMOKING LOUNGE, STANDARD HOTEL - CONTINUOUS",doc_126_chunk_9,Ourfather whoartinheaven hallowedbethy,"Bar scene: Verona reciting a prayer, interrupted by Carlito."
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_2,Oh ... you think? Jesus ...,Hood suggests giving more Chinese shit; Verona responds sarcastically.
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_2,"It's him. Alright, shut up.","Verona checks phone, sees it's a call from CHEV, tells Hood to shut up."
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_2,"What's up, corpse.",Verona answers phone call from CHEV.
"117、INT HUMVEE LIMOUSINE, DAY",doc_116_chunk_2,"Oh, the antidote, huh?",CHEV states he wants the antidote; Verona responds.
"20、INT CHEV'S CAR, MOMENTS LATER",doc_19_chunk_3,"arlito? That's funny, I guess you didn't know... Carlito's my boy now, we're tight.",Speaking to CHEV about Carlito
"20、INT CHEV'S CAR, MOMENTS LATER",doc_19_chunk_3,"lever. Snappy. Did you pretty good, didn't I, Chelios? Come on, you can admit it.",Speaking to Chelios about his performance
6、INT. TV SCREEN,doc_5_chunk_2,"... I fucking poisoned you in your sleep. How sick is that?... for the satisfaction of watching you squirm out your last minutes knowing it was me that did it to you, and there's nothing you can do about it...","In a room, Verona speaks to Chev about poisoning him in his sleep."
