doc_title,chunk_id,text,scene_context
16、EXT CITY STREETS LATER,doc_15_chunk_2,Give it me!,
30、EXT DERELICT BUILDINGS DAWN,doc_29_chunk_11,Father?,
28、EXT PAVEMENT ON BLACK FRIARS' BRIDGE A LITTLE LATER,doc_27_chunk_3,Thank God.,
27、EXT SIDE OF BLACK FRIARS' BRIDGE MOMENTS LATER,doc_26_chunk_2,You've done it! Brilliant!,
29、EXT BLACK FRIARS' BRIDGE REAR OF WAGON MOMENTS LATER,doc_28_chunk_1,"So, what do you suggest, we leave",
11、INT/EXT MAGICAL LANDSCAPE,doc_10_chunk_1,"Beauty, Truth, Wisdom, Justice...without imagination all are dead.",
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_3,What is it? What's happened?,
16、EXT CITY STREETS LATER,doc_15_chunk_0,Val... Val.,"On a wagon moving through city streets, Valentina responds irritably to Anton while lost in thought."
27、EXT SIDE OF BLACK FRIARS' BRIDGE MOMENTS LATER,doc_26_chunk_1,Try again!,
27、EXT SIDE OF BLACK FRIARS' BRIDGE MOMENTS LATER,doc_26_chunk_1,Hurry up.,
25、INT. PARNASSUS' DEN NIGHT,doc_24_chunk_0,Father!...,
25、INT. PARNASSUS' DEN NIGHT,doc_24_chunk_0,What do you mean `at what price'?,
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_2,"Hi, Anton.... what?","Costume skip area, Valentina speaks to Anton after being interrupted during a playful moment with George."
34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,doc_33_chunk_0,Oh no!,Scene: Arrival at the doorway; Valentina reacts to the chaotic scene involving Doctor Parnassus and others.
30、EXT DERELICT BUILDINGS DAWN,doc_29_chunk_14,Father?,"Scene: In a room with Doctor Parnassus, a man, Percy, and Anton; Valentina speaks to Doctor Parnassus upon hearing about a proposal."
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_4,Is this going to take long?,Scene where Dr. Parnassus is holding a glass paperweight and beginning a story; Valentina is present and speaks to Dr. Parnassus.
4、EXT NIGHT A DINGY BACK STREET,doc_3_chunk_12,Get off the stage!,
4、EXT NIGHT A DINGY BACK STREET,doc_3_chunk_11,Stop! Get off the stage!,
29、EXT BLACK FRIARS' BRIDGE REAR OF WAGON MOMENTS LATER,doc_28_chunk_0,Put him in the big trunk.,
29、EXT BLACK FRIARS' BRIDGE REAR OF WAGON MOMENTS LATER,doc_28_chunk_0,Don't argue.,
29、EXT BLACK FRIARS' BRIDGE REAR OF WAGON MOMENTS LATER,doc_28_chunk_0,He thought he was dead.,
25、INT. PARNASSUS' DEN NIGHT,doc_24_chunk_1,Typical! You insist I listen to a story and then you don't finish it!,Scene continues with Dr. Parnassus in a room; Valentina speaks to Dr. Parnassus after he stops telling a story due to a disturbance.
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_2,Oh for God's sake!,
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_2,Percy liked the soup.,
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_2,That's normal isn't it?,
16、EXT CITY STREETS LATER,doc_15_chunk_7,"Actually, I'm going to be sixteen. Shall I tell Parnassus I know? I think he knows I know. Silly man. Sweet sixteen.",
16、EXT CITY STREETS LATER,doc_15_chunk_7,The age of consent.,
16、EXT CITY STREETS LATER,doc_15_chunk_1,"He's not here is he? He's inside
getting pissed.",
16、EXT CITY STREETS LATER,doc_15_chunk_1,Ecstatic.,
16、EXT CITY STREETS LATER,doc_15_chunk_1,Hey! That's mine!,
42、EXT DERELICT BUILDINGS DAWN,doc_41_chunk_12,"Anton, that's enough.",
39、INT THE WAGON THAT MOMENT,doc_38_chunk_1,That's enough!,"Scene continues: Valentina is present with George and Anton; she speaks up during an argument between George and Anton, addressing the tension between them."
30、EXT DERELICT BUILDINGS DAWN,doc_29_chunk_10,My God... that's exciting.,"Scene continuation: Valentina reacts to Anton's revelation about someone trying to kill a person, discussing the danger involved."
30、EXT DERELICT BUILDINGS DAWN,doc_29_chunk_10,Why not?,Scene continuation: Valentina questions Anton's insistence that they cannot let the mysterious man stay with them.
14、INT BACK STAGE DRESSING ROOM A MOMENT LATER,doc_13_chunk_0,Oh!,Dressing room: Valentina is startled by a reflection in the mirror while changing out of her costume and hiding her magazine.
14、INT BACK STAGE DRESSING ROOM A MOMENT LATER,doc_13_chunk_0,Who's that? Who's there?,Dressing room: Valentina speaks after turning around and finding no one there following her startled reaction to a reflection in the mirror.
37、EXT SHOPPING MALL PARKING LOT LATER,doc_36_chunk_2,He's not drunk. He's got a bad cold....,"Scene where Parnassus has fallen off his perch and is lying on the floor; Valentina speaks out of turn, defending her father against accusations of drunkenness."
44、EXT OUTSIDE PUB NIGHT,doc_43_chunk_8,Anton...It's alright! It's alright!,
52、EXT. THE WAGON DAWN,doc_51_chunk_6,,
26、EXT WAGON ON BLACK FRIARS' BRIDGE NIGHT,doc_25_chunk_1,There's someone hanging there!,"Scene continues from lightning flash; Valentina reacts with horror to seeing a shadow of a person hanging from the bridge, speaking to Anton and possibly Percy."
26、EXT WAGON ON BLACK FRIARS' BRIDGE NIGHT,doc_25_chunk_1,A rope! Get a rope!,"Immediately following the discovery of the hanging figure; Valentina urgently calls for a rope, likely addressing Anton and Percy."
34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,doc_33_chunk_1,You can't go on. You're drunk.,"Scene or location not specified: Valentina speaks to Doctor Parnassus, expressing concern about his condition."
34、INT DOCTOR PARNASSUS' CABIN MOMENTS LATER,doc_33_chunk_1,You'll have to do it.,"Scene or location not specified: Valentina speaks to Percy, instructing him to take over a task."
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_3,You know it doesn't agree with you.,
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_3,"And I'll be sixteen on Thursday, so let's not have any more tosh about that.",
17、INT DOCTOR PARNASSUS' DEN THAT MOMENT,doc_16_chunk_3,You think you're so clever and that everybody else is an idiot! You can't stop me growing up just by lying about my birthday! It's ridiculous!,
58、INT THE STAGE - CONTINUOUS,doc_57_chunk_4,Oh Tony.,
35、EXT SHOPPING MALL PARKING LOT THEATRE,doc_34_chunk_1,Where's George?,"Scene: In the Imaginarium of Doctor Parnassus, Valentina is looking over the footlights and speaking to Anton about George."
35、EXT SHOPPING MALL PARKING LOT THEATRE,doc_34_chunk_1,He's nowhere in sight.,"Scene: In the Imaginarium of Doctor Parnassus, Valentina is looking over the footlights and speaking to Anton about George."
42、EXT DERELICT BUILDINGS DAWN,doc_41_chunk_9,Charity work? I knew you were a good person.,
42、EXT DERELICT BUILDINGS DAWN,doc_41_chunk_9,Percy!,
44、EXT OUTSIDE PUB NIGHT,doc_43_chunk_9,Father! Father!,"Upstage, Valentina is with the stunned Doctor who is clutching his head in pain; she appears to be speaking to him."
39、INT THE WAGON THAT MOMENT,doc_38_chunk_0,Wow! You took all that?,Scene: At a table where George is emptying his pockets; Valentina speaks to George upon seeing the pile of coins and notes.
39、INT THE WAGON THAT MOMENT,doc_38_chunk_0,Anton!,Scene: At the same table; Valentina speaks to Anton after he accuses George of lying.
59、EXT OUTSIDE THE WAGON THAT MOMENT,doc_58_chunk_10,Why do you say these things?,
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_1,Just like the rest of us.,
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_1,No face. No name. The mystery thickens. I'm going to have to give you a name...,
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_1,"... until you remember who you are, I dub thee Saint George. You can save me from the dragon. George.",
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_1,You've met Parnassus.,
52、EXT. THE WAGON DAWN,doc_51_chunk_0,Thank God it's only cuts and bruises. I thought we'd lost you.,"Scene: In the shadow of the wagon, Valentina is changing Tony's dressings; she speaks to Tony about his injuries."
37、EXT SHOPPING MALL PARKING LOT LATER,doc_36_chunk_0,He's never not done a show before... Maybe he's past it.,"Scene: In the empty car park near the theatre wagon, Valentina speaks with Anton and Percy about Parnassus possibly being past his prime."
37、EXT SHOPPING MALL PARKING LOT LATER,doc_36_chunk_0,Maybe it's time to retire.,"Scene: In the empty car park near the theatre wagon, Valentina speaks with Anton and Percy about Parnassus possibly being past his prime."
42、EXT DERELICT BUILDINGS DAWN,doc_41_chunk_2,Don't talk to me.,Scene: Anton approaches Valentina with a painted wooden flower; she is avoiding him and tells him not to talk to her.
42、EXT DERELICT BUILDINGS DAWN,doc_41_chunk_2,Yes.,Scene: Anton apologizes for his behavior the previous night; Valentina responds briefly.
52、EXT. THE WAGON DAWN,doc_51_chunk_1,"I don't know what's wrong with him, but if it's about the show...Idon't care. I'm tired of it...let the police arrest us. I'm sick of living like this....",
49、INT PARNASSUS' ROOM NIGHT,doc_48_chunk_0,"Ssshhhh... Thanks, Tony. Leave us.","Scene: Inside a room or medical area, Valentina is with Doctor Parnassus and Tony; she speaks to Tony, asking him to leave while she attends to the distressed Doctor Parnassus."
30、EXT DERELICT BUILDINGS DAWN,doc_29_chunk_8,Is he okay?,"Scene: Inside or near a wagon, Valentina speaks from off-screen to Anton and Doctor Parnassus about the man with the marked bricks."
30、EXT DERELICT BUILDINGS DAWN,doc_29_chunk_8,Are you alright?,"Scene: Inside or near a wagon, Valentina speaks directly to the man who was found with the marked bricks."
30、EXT DERELICT BUILDINGS DAWN,doc_29_chunk_8,He tried to kill himself.,"Scene: Inside or near a wagon, Valentina speaks to Doctor Parnassus, who is in deep thought, about the man's condition."
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_0,He says you must work... to focus your mind. You can help out front.. sell tickets.,"Scene: In a theatre, Valentina is helping a man find a costume; she suggests he work out front and later finds him a wig to be 'Justice'."
33、INT BACKSTAGE THAT MOMENT,doc_32_chunk_0,"Ah, here we are... (Pulling out a full bottomed wig) Try this. You can be `Justice'.","Scene: In a theatre, Valentina finds a wig in a skip and suggests the man wear it to play 'Justice'."
59、EXT OUTSIDE THE WAGON THAT MOMENT,doc_58_chunk_5,So tell me.,
59、EXT OUTSIDE THE WAGON THAT MOMENT,doc_58_chunk_5,What are you saying?...,
