doc_title,chunk_id,fact,scene_context
52.同上，客厅，夜,doc_51_chunk_0,波多野松了口气。,
5.同上，屋内,doc_4_chunk_3,玛多娜成为了波多野的妻子。,
11.南八号楼屋内,doc_10_chunk_0,玛多娜是波多野的太太。,
57.客厅,doc_56_chunk_1,波多野决定让拉里上楼。,日军巡逻队敲门时
60.南八号楼客厅，傍晚,doc_59_chunk_0,波多野回到了屋里。,屋里
62.南八号楼，夜,doc_61_chunk_1,波多野留在屋里。,
28.同上。屋内，走廊和后台，夜,doc_27_chunk_0,波多野保持沉默。,后台窗旁，丽丽和老方表达绝望后。
9.南八号楼楼下,doc_8_chunk_0,波多野藏了黑管。,
59.南八号楼附近，傍晚,doc_58_chunk_0,波多野处于醉酒状态,一九四四年的夏天，雨天
62.南八号楼，夜,doc_61_chunk_3,玛多娜持有波多野的黑管,
65.南八号楼,doc_64_chunk_0,波多野成了废人并坐在轮椅上。,一九四五年的秋天，病房内
2.黄浦江码头,doc_1_chunk_1,波多野说漏嘴了,
