doc_title,chunk_id,description,scene_context
21、EXT. WHITEHALL PALACE - DAY,doc_20_chunk_0,Raleigh puts an arm round Calley.,
"105、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_104_chunk_3,His internal struggle shows itself in the twists and jerks of his body.,
167、INT. RALEIGH'S HOUSE - DAY,doc_166_chunk_5,Raleigh watches and waits. And waits.,
"23、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_22_chunk_0,Raleigh is trying to persuade the doorkeeper to let him past.,"Outside the Queen's audience chamber, petitioners waiting to gain access"
"105、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_104_chunk_2,"Raleigh stares at her, stunned.","Public setting, conversation with Bess"
124、INT. TOWER OF LONDON - DAY,doc_123_chunk_0,He reads it and then looks up.,
"153、EXT. ADMIRAL'S CABIN, ARK ROYAL - DUSK",doc_152_chunk_0,He turns his face towards the coast of England.,Inside the cabin
"153、EXT. ADMIRAL'S CABIN, ARK ROYAL - DUSK",doc_152_chunk_0,"He speaks as if to her, a quiet heart-felt prayer.",Inside the cabin
141、EXT THE TYGER - DUSK,doc_140_chunk_0,Raleigh at the helm of the Tyger gazing intently ahead.,"On the ship Tyger, facing the Spanish Armada."
117、INT. TOWER OF LONDON - DAY,doc_116_chunk_0,Raleigh lies awake and fully dressed on the bed in his prison room.,Prison room
117、INT. TOWER OF LONDON - DAY,doc_116_chunk_0,Raleigh sits up.,"Prison room, servant brings food"
"105、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_104_chunk_4,"Raleigh gazes at her, deeply moved.","Hallway, Bess summoned by the Queen's ladies"
"105、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_104_chunk_4,Raleigh walks slowly after them down the hall.,"Hallway, Bess summoned by the Queen's ladies"
"105、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_104_chunk_4,On his face a new look forms.,"Hallway, Bess summoned by the Queen's ladies"
"105、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_104_chunk_4,He knows now what he's going to do.,"Hallway, Bess summoned by the Queen's ladies"
