doc_title,chunk_id,description,scene_context
12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER,doc_11_chunk_1,Paul makes steady eye contact.,"Introduction of Paul Barnell and Ted Watters, following Ted's entrance with a file."
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_4,"Paul, almost crazed with grief, cradles his wife's body.",
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_4,Paul gently turns her over.,
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_0,Paul walks in with two glasses.,"Inside a room, Raymond sitting on sofa"
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_0,He hands Raymond the larger.,"Inside a room, Raymond sitting on sofa"
15、EXT. STRIP MALL,doc_14_chunk_0,"Paul, still on the phone, carries the papers to the dumpster.",
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_1,Paul's world ends.,
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_1,"Ears RINGING, he rushes toward his wife.",
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_0,"Paul's eyes shut tight, expecting the worst.",Raymond points gun at Paul's head
132、EXT. PARKING AREA / BY PAUL'S CAR,doc_131_chunk_0,Paul opens his eyes.,Raymond points gun at Paul's head
130、EXT. PARKING AREA / BY PAUL'S CAR,doc_129_chunk_4,"Paul looks over his shoulder at Margaret, who's having some trouble making it up a snow covered hill.",snow covered hill
139、EXT. STREET / LIBERTY CAPITAL TOWERS - DAY,doc_138_chunk_3,Paul looks up to see Margaret.,"Living room, Margaret standing"
130、EXT. PARKING AREA / BY PAUL'S CAR,doc_129_chunk_1,Paul sees what Jimbo and Gary are watching.,
130、EXT. PARKING AREA / BY PAUL'S CAR,doc_129_chunk_1,"Paul seems frozen, but just for a moment.",
130、EXT. PARKING AREA / BY PAUL'S CAR,doc_129_chunk_1,Paul discretely takes off his red parka and drapes it over Margaret's shoulders.,
12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER,doc_11_chunk_0,Paul takes in the display.,"Room with walls lined with souvenirs, Paul and Frank seated across from each other."
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_1,(raises his mug),
104、INT. BARNELL MOBILE HOME / LIVING ROOM - MOMENTS LATER,doc_103_chunk_1,(uncomfortably),
