id,scene,question,answer,evidence,qa_type
1,7、祥太子寝宫 夜 内,"在[7、祥太子寝宫 夜 内]中, 韩元祥的身份是什么？",大王子，也是太子,这是大王子，也是太子，大约二十八岁，名叫韩元祥,character states
2,14、走廊 夜 内,王后停下后，她的脸色和嘴唇有何变化？,脸色变得很苍白，嘴唇开始颤抖。,王后停了，她的脸色又变得很苍白，嘴唇开始颤抖。,detailed description
3,32、御药坊 夜 内,蒋太医警告小婵什么？,跟任何人透出半个字，你我都没命了,"蒋太医压低声音，警告地：""跟任何人透出半个字，你我都没命了。""",dialogue/beliefs
4,48、大王寝宫 夜 内,"在[48、大王寝宫 夜 内]中, 蒋氏在大王面前表现出什么情绪？",慌乱，随后镇静,蒋氏神色有点慌乱。蒋氏反倒镇静下来,character states
5,43、御药坊 日 内,王后对药的态度如何？,一看见这些药就想吐。,王后垂下眼睛，忍不住厌恶的神情：“臣妾一看见这些药就想吐。”,dialogue/beliefs
6,42、走廊 日 内,"在[42、走廊 日 内]中, 王后在廊柱旁的身体状态是怎样的？",浑身发抖，几近虚脱,浑身发抖，几近虚脱,character states
7,41、祥太子寝宫 日 内,"在[41、祥太子寝宫 日 内]中, 小婵在王后出现后的状态如何？",张皇失措，浑身颤抖。,小婵张皇失措，不知如何是好。小婵吓得浑身发抖，瘫倒地上，说不出话来。,character states
8,37、大王寝宫 侧房 日 内,"在[37、大王寝宫 侧房 日 内]中, 祥太子在对话中的情绪状态如何？",惶恐且恭谨,祥太子惶恐地站着，不敢抬头。恭谨地：儿臣不才...,character states
9,49、宴会厅 日 内,"在[49、宴会厅 日 内]中, 小婵听旨时的情绪如何？",惊喜，但不明白发生了什么,小婵惊喜，不明白发生了什么,character states
10,36、菊花台上 晨 外,"在[36、菊花台上 晨 外]中, 小婵此时的状态如何？",小婵紧张地低着头。,小婵站在药工队列里，紧张地低着头。,character states
11,57、大王寝宫 侧房 黄昏 内,王后为何在今天来侧房？,因为今天是太子生母的忌日。,王后起身，不紧不慢地：「臣妾来给太子生母上柱香……今天是她的忌日。」,temporal references
12,54、菊花台某角落 黄昏 外,祥太子目送队列出宫时的表情如何？,满脸惆怅,满脸惆怅,detailed description
13,49、宴会厅 日 内,"在[49、宴会厅 日 内]中, 蒋亦儒被擢升为何职？",肃州刺史，加轻车都尉,御药坊太医蒋亦儒，多年随侍本王，职操高洁，忠义正直，特擢升蒋亦儒为肃州刺史，加轻车都尉,character states
14,36、菊花台上 晨 外,"在[36、菊花台上 晨 外]中, 王后此时的情绪状态如何？",王后铁青着脸，沉默不语。,王后铁青着脸，沉默不语。,character states
15,42、走廊 日 内,"在[42、走廊 日 内]中, 王后此时的情绪状态如何？",悲伤而痛苦,神情悲伤而痛苦,character states
16,30、走廊 夜 内,"在[30、走廊 夜 内]中, 祥太子的情绪状态如何？",心事重重,祥太子皱着眉，心事重重。,character states
17,38、走廊 日 内,"在[38、走廊 日 内]中, 祥太子此时的情绪状态如何？",心事重重,祥太子心事重重地走着。,character states
18,31、王后寝宫 夜 内,王后如何回应祥太子久留？,嘲讽地问「怎么又不怕了」,王后头也不抬，嘲讽地：「在母后宫里久留，太子殿下怎么又不怕了？」,dialogue/beliefs
19,37、大王寝宫 侧房 日 内,"在[37、大王寝宫 侧房 日 内]中, 大王的当前身体状态是怎样的？",卧病在塌，锦被裹身,大王歪靠在塌上，锦被裹身。,character states
20,43、御药坊 日 内,大王如何解释王后的症状？,脾胃虚寒，阴阳失调，脾气烦躁。,大王：“良药苦口……你脾胃虚寒，阴阳失调，脾气烦躁，遇事毫无兴致，整天冷言冷语……这就是虚寒症。”,dialogue/beliefs
21,26、大王寝宫 夜 内,蒋太医提到草乌头的处理方式是什么？,由小女蒋婵亲手入药，除了我们父女，没人知道。,照大王的新方子，草乌头都是由小女蒋婵亲手入药，除了我们父女，没人知道。,dialogue/beliefs
22,55、菊花台另一个角落 黄昏 外,王后如何目送马队出宫？,王后目送出宫的马队，若有所思。,王后目送出宫的马队，若有所思。,detailed description
23,47、走廊 夜 内,"在[47、走廊 夜 内]中, 蒙面人面对祥太子时的情绪如何？",呼吸急促，内心激动,蒙面人呼吸急促，难掩内心的激动,character states
24,41、祥太子寝宫 日 内,"在[41、祥太子寝宫 日 内]中, 祥太子当时的情绪状态如何？",状态慵懒，有点心不在焉。,祥太子状态慵懒，有点心不在焉，他的手不经意地在小婵脸上抚摸着。,character states
25,51、大王寝宫 侧房 黄昏 内,"在[51、大王寝宫 侧房 黄昏 内]中, 大王此时的情绪状态如何？",伤感且沉默,大王的口气有些伤感,character states
26,25、王后寝宫 夜 内 | 27、王后寝宫 夜 内,在杰王子归来后，王后看到他时表现出怎样的情绪状态？,王后表现出激动和深情的情绪状态，她凝望杰王子，轻唤其名字，并伸手抚摸他的脸，指尖微微颤抖。,王后凝望着杰王子，轻唤‘元杰’，伸手抚他的脸，指尖颤抖，两人对视无言。,character states
27,40、走廊 日 内 | 14、走廊 夜 内 | 27、王后寝宫 夜 内,在王后突然停下脚步、脸色苍白之后，杰王子是如何帮助她的？,杰王子轻轻扶起王后，将她从地上搀扶回椅子上坐好，并守在一旁直到她的气息趋于安定。,杰王子扶着王后从地上起身，小心将她搀回椅子上坐好，并守在一旁直到她呼吸平稳。,character states
28,39、祥太子寝宫 日 内 | 41、祥太子寝宫 日 内,在王后离开太子宫后，小婵和祥太子各自表现出怎样的情绪状态？,小婵瘫坐在地、浑身颤抖，无法起身，表现出极度恐惧；祥太子则目光呆滞、一动不动地站着，显得惊魂未定。,小婵瘫坐在地、浑身颤抖，无法起身；祥太子站在原地，目光呆滞地望着王后离去的方向，一动不动。,character states
29,45、御药坊 夜 内 | 47、走廊 夜 内,蒙面人在被蓝衣太监围捕时为何没有立即反击，而是持续关注祥太子？,因为蒙面人跟踪祥太子的目的是观察他，而非与他或太监发生正面冲突，所以在被围捕时仍持续关注祥太子的一举一动。,蒙面人跟踪祥太子时始终没有还手，即便被攻击和围捕，目光仍不断停留在祥太子身上。,character states
30,24、大王寝宫 夜 内 | 36、菊花台上 晨 外,大王在药熏过程中身体状态如何变化，这一变化的原因是什么？,大王的身体从步履蹒跚、身形佝偻逐渐变得放松，这一变化是由于他坐上熏椅并接受热药气熏蒸所致。,大王起初步履蹒跚、身形佝偻，在坐上熏椅并被热气包裹后，身体渐渐放松。,character states
31,29、祥太子寝宫 夜 内 | 31、王后寝宫 夜 内 | 41、祥太子寝宫 日 内 | 15、祥太子寝宫 夜 内,在王后逼问屏风后的女子时，祥太子的反应表现出他怎样的心理状态？,祥太子表现出极度的惊恐和慌乱，他浑身一震，支吾着无法回应，显示出他内心有隐藏的秘密并感到被揭穿的恐惧。,王后命令祥太子叫屏风后的女子出来时，祥太子浑身一震，支吾着不知如何回应。,character states
32,34、王后寝宫 晨 内 | 36、菊花台上 晨 外 | 22、天福官驿房间 夜 内,王后在被迫服药后表现出怎样的情绪状态？,王后在被迫服药后表现出痛苦和压抑的愤怒，她眼中泛起泪水，漱口擦嘴后神情冷峻，并冷冷回视大王，一言不发。,王后服药后眼中泛起泪水，漱口擦嘴，神情冷峻，并冷冷回视大王，没有说话。,character states
33,40、走廊 日 内 | 43、御药坊 日 内 | 34、王后寝宫 晨 内,王后在服药后表现出怎样的情绪状态？,王后在服药后表现出平静且从容的情绪状态。,王后服药后漱口擦嘴时神情平静，动作从容。,character states
34,23、杰王子寝宫 夜 内 | 25、王后寝宫 夜 内 | 27、王后寝宫 夜 内 | 36、菊花台上 晨 外,杰王子看到王后脸色苍白、神情虚弱时，他对王后表现出怎样的心理状态？,杰王子对王后表现出关切和担忧的心理状态。,杰王子见王后脸色苍白，神情虚弱，关切地问她是否已服药。,character states
35,27、王后寝宫 夜 内 | 36、菊花台上 晨 外 | 37、大王寝宫 侧房 日 内,在大王下令众人长跪不起后，王后服药时的神情和动作表现出怎样的心理状态？,王后在服药时表现出压抑的屈辱与愤怒，她一饮而尽后甩开药碗、眼中含泪、神情冷峻，显示出她在被迫服从下的强烈情绪抵抗。,王后在众人注视下将药一饮而尽，随后甩开药碗，眼中泛起泪水，漱口擦嘴时神情冷峻。,character states
36,35、菊花台台阶 晨 外 | 27、王后寝宫 夜 内,在王后突发急症并恢复意识后，杰王子采取了什么具体行动来帮助她？,杰王子轻轻扶起王后，助她从地上起身，并小心翼翼地将她搀扶回椅子上坐好，之后守在一旁直到她气息安定。,王后恢复意识后，杰王子扶她起身并搀扶回椅子上，守在一旁直到她呼吸平稳。,character states
37,31、王后寝宫 夜 内 | 36、菊花台上 晨 外 | 37、大王寝宫 侧房 日 内,祥太子在大王说出‘我知道……你不想伤害我’时表现出怎样的心理状态？,祥太子感到恐惧和紧张，内心受到强烈冲击。,祥太子听大王说话时脊背发凉，不敢抬头，手指微微颤动。,character states
38,23、杰王子寝宫 夜 内 | 25、王后寝宫 夜 内 | 27、王后寝宫 夜 内,在王后突发急症抽搐后，杰王子表现出怎样的心理状态？,杰王子表现出紧张和关切的心理状态，他立即采取行动抱住王后并呼救，在紧急施救过程中守在一旁，直到她呼吸平稳。,杰王子立刻上前抱住王后并大声呼救，施救后默默注视她直到气息安定。,character states
39,43、御药坊 日 内 | 34、王后寝宫 晨 内,王后在服药后表现出怎样的情绪状态？,王后在服药后表现出平静而从容的情绪状态。,王后喝完药后漱口、擦嘴，动作从容，神情平静。,character states
40,34、王后寝宫 晨 内 | 36、菊花台上 晨 外 | 37、大王寝宫 侧房 日 内,在王后服药的过程中，祥太子表现出怎样的心理状态？,祥太子在王后服药时表现出隐忍和压抑的心理状态，他在大王施压下主动接过药碗劝王后喝药，之后又在大王叹息点破时脊背发凉、手指微颤，显示出内心的紧张与克制。,祥太子察觉大王眼神后跪地接过托盘劝王后喝药，大王叹息说他知道祥太子不想伤害他，祥太子听后脊背发凉、手指微颤。,character states
