doc_title,chunk_id,fact,scene_context
159、INT. UNDER GROUND PARKING LOT -- EVENING,doc_158_chunk_3,Marcel is in the back seat of the car.,Garage escape
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_0,Marcel took the autographed baseball from Zammito.,Walking across the bridge
13、INT. BATHROOM -- CONTINUOUS -- DAY,doc_12_chunk_2,Marcel instructs Sami to be at a specific address at nine o'clock tomorrow morning.,
110、INT. HOLIDAY HOTEL SUITE -- DAY,doc_109_chunk_0,Marcel bought a tape deck.,"Sami recording on tape deck Marcel bought, then seeing Marcel on balcony and calling Agent Hadley."
159、INT. UNDER GROUND PARKING LOT -- EVENING,doc_158_chunk_1,Marcel's gun is empty after firing continuously.,"The shootout with the Wiseguys, following Zero's gun running empty."
53、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_52_chunk_1,Marcel is assigned the role of Elvis by Sami.,Group alias discussion in the room.
12、INT. CAFE -- LATIN QUARTER -- DAY,doc_11_chunk_0,Marcel has a subordinate present at the bar.,bar
148、INT. HOLIDAY HOTEL -- HALLWAY -- EVENING,doc_147_chunk_0,Marcel is part of a group that has guns pointed at Hadley.,"After Hadley opens the door, he sees Marcel and others with guns pointed at him."
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_3,Marcel holds the inside liner of the bag.,"Bridge, during a tug-of-war over a bag"
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_1,Marcel receives an instruction from Bastaldi to take what he has and get out of there.,
55、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_54_chunk_4,The seriousness of the situation dawns on Marcel.,"In a house, after realizing they are in the wrong house."
55、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_54_chunk_0,Marcel is surprised by the absence of jewels.,"Inside a safe, Julien discovers the absence of jewels."
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_5,Marcel agrees to the condition that all must agree.,Group meeting: Daniel states that all must agree.
28、INT. SOPHIE'S WAREHOUSE -- MOMENTS LATER -- AFTERNOON,doc_27_chunk_0,Marcel leaves the room.,the room
159、INT. UNDER GROUND PARKING LOT -- EVENING,doc_158_chunk_2,Marcel is knocked down by the thrown gun.,during the shootout at the Impala
