doc_title,chunk_id,text,scene_context
49、INT. ROBERTA'S APARTMENT - LIVING ROOM - NIGHT,doc_48_chunk_3,I'm back.,
54、INT. ROBERTA'S APARTMENT - LIVING ROOM - NIGHT,doc_53_chunk_2,I'm sorry. I'm being an asshole. (sweetly teasing)You can say you love me if you want.,
55、INT. BROWNSTONE - DAY,doc_54_chunk_1,When? Fifty years ago?,
55、INT. BROWNSTONE - DAY,doc_54_chunk_1,What the hell is this?,
55、INT. BROWNSTONE - DAY,doc_54_chunk_0,You're crazy. Why did you hire him?,"Scene: Inside a building, Brian speaks to Roberta about hiring Ernie, expressing disapproval."
49、INT. ROBERTA'S APARTMENT - LIVING ROOM - NIGHT,doc_48_chunk_2,Santa Claus.,"Scene: At a door, Brian responds to Roberta's question about who is there; he is speaking from outside the door before entering."
63、INT. BROWNSTONE - DAY,doc_62_chunk_2,That's more like it.,Scene with brick workers and painters; Brian speaks to Roberta after she fires workers.
51、EXT. BROWNSTONE - EAST HARLEM - THE SAME DAY,doc_50_chunk_1,You trying to kill me?,"Scene: Outside a house, Brian speaks with Roberta after playing football; topic is her telling him to get back to work."
18、INT. BRIAN'S APARTMENT - OFFICE - CONTINUOUS,doc_17_chunk_2,Thank you.,"Scene: In a room, Brian is at his desk flipping through his Vietnam book; Roberta comments on his book, and he responds before approaching her."
63、INT. BROWNSTONE - DAY,doc_62_chunk_3,Roberta --,"Scene: In a room, Brian is speaking to Roberta during a serious conversation about commitment."
51、EXT. BROWNSTONE - EAST HARLEM - THE SAME DAY,doc_50_chunk_3,"Hey, your daughter does what she wants -- or haven't you noticed?","Scene: On Lawrence's front steps, Brian speaks with Assunta about her daughter buying a house."
141、INT. CARNEGIE HALL - BACK STAGE - NIGHT,doc_140_chunk_2,Congratulations.,
141、INT. CARNEGIE HALL - BACK STAGE - NIGHT,doc_140_chunk_2,I knew you'd get here sooner or later. I'm glad I'm here to see it.,
"8、INT. COFFEE SHOP - ROME, N.Y. - DAY",doc_7_chunk_1,Your husband ran off with your best friend.,
