doc_title,chunk_id,fact,scene_context
153、INT. ENTERPRISE BRIDGE,doc_152_chunk_0,Spock detects an unknown energy pattern on the Reliant.,
106、INT. CORRIDOR ENTERPRISE,doc_105_chunk_0,Spock informs others that the turbo lifts are inoperative below C-deck.,
178、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_177_chunk_4,Spock dies.,Bridge during a battle sequence with power failures and system damage.
2、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,doc_1_chunk_4,Spock dies.,Bridge during a battle sequence with power failures and system damage.
219、INT. SPOCK'S QUARTERS,doc_218_chunk_1,Spock assumes command of the Starship when transitioning from a training mission to actual duty.,
282、INT. CORRIDOR ENTERPRISE,doc_281_chunk_0,Spock determines that the turbo lifts are inoperative below C-deck.,
243、INT. ENTERPRISE BRIDGE,doc_242_chunk_2,Spock executes the transmission of the prefix code to disable the enemy ship's shields.,"Bridge of the Enterprise, during confrontation with Khan."
43、INT. SPOCK'S QUARTERS,doc_42_chunk_1,Spock assumes command of the Starship when transitioning from a training mission to actual duty.,
329、INT. ENTERPRISE BRIDGE,doc_328_chunk_0,Spock detects an unknown energy pattern on the Reliant.,Scene involving communication with Reliant and detection of energy source.
234、INT. ENTERPRISE BRIDGE,doc_233_chunk_0,Spock determines that the ship cannot escape on auxiliary power.,
234、INT. ENTERPRISE BRIDGE,doc_233_chunk_0,Spock observes that the attacker targeted a specific vulnerable area of the ship.,
169、INT. ENTERPRISE ENGINE ROOM,doc_168_chunk_3,Spock completes the Kobayashi Maru test for the first time.,
169、INT. ENTERPRISE ENGINE ROOM,doc_168_chunk_3,Spock explicitly identifies himself as Kirk's friend.,
169、INT. ENTERPRISE ENGINE ROOM,doc_168_chunk_3,Spock dies.,
156、INT. ENTERPRISE ENGINE ROOM,doc_155_chunk_0,Spock applies the Vulcan nerve pinch to Bones.,Spock incapacitates Bones to prevent interference before entering the radiation room.
156、INT. ENTERPRISE ENGINE ROOM,doc_155_chunk_0,Spock enters the ReactorRoom despite the presence of lethal radiation.,Spock accesses the radiation-contaminated ReactorRoom behind radiation-proof barriers.
199、INT. ENTERPRISE BRIDGE,doc_198_chunk_0,Spock occupies the Captain's chair on the Enterprise bridge.,Scene: On the Enterprise bridge during departure preparations.
199、INT. ENTERPRISE BRIDGE,doc_198_chunk_0,Spock gives an order to Saavik to clear all moorings.,Scene: On the Enterprise bridge during departure preparations.
75、INT. SICK BAY,doc_74_chunk_1,Spock reports to Admiral Kirk that auxiliary power has been restored according to engine room confirmation.,
219、INT. SPOCK'S QUARTERS,doc_218_chunk_4,Spock acknowledges Kirk as his superior officer.,
219、INT. SPOCK'S QUARTERS,doc_218_chunk_4,Spock declares his enduring loyalty to Kirk.,
219、INT. SPOCK'S QUARTERS,doc_218_chunk_4,Spock decides to speak with Mr. Scott before accompanying Kirk to the bridge.,
67、INT. ENTERPRISE BRIDGE,doc_66_chunk_2,Spock executes the prefix code transmission under Kirk's instruction.,"Bridge of the Enterprise, during confrontation with Khan."
23、INT. ENTERPRISE BRIDGE,doc_22_chunk_0,Spock occupies the Captain's chair on the Enterprise bridge.,"Scene depicting the bridge with crew at stations, prior to departure."
