doc_title,chunk_id,fact,scene_context
11、INT. SENATE CHAMBER - NIGHT,doc_10_chunk_3,Shinzon decides to respond with benevolence.,"In a room with a star chart, following Donatra's request for evidence of sincerity."
158、INT. SENATE CHAMBER - NIGHT,doc_157_chunk_6,Shinzon is addressed as Praetor by the Viceroy.,"After the Commanders and Senator Tal'Aura leave, Shinzon speaks with his Viceroy."
158、INT. SENATE CHAMBER - NIGHT,doc_157_chunk_3,Shinzon decides to respond with benevolence.,"Command room, Shinzon and Donatra discuss fleet strategy."
177、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_176_chunk_1,"Shinzon's ship, the SCIMITAR, decloaks directly before the Enterprise.","Enterprise bridge, during diplomatic approach to Romulus."
126、EXT. THE RIFT - SPACE,doc_125_chunk_0,The forward part of the Enterprise's saucer is enmeshed in Shinzon's ship.,Space: Ships locked together
121、INT. ENTERPRISE - BRIDGE - FOLLOWING,doc_120_chunk_0,Shinzon is hailing the Enterprise.,"Enterprise bridge, Shinzon hailing"
180、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT,doc_179_chunk_13,Shinzon's face is nearly identical to Picard's face at that age.,"Shinzon confronts Picard, revealing their physical resemblance."
11、INT. SENATE CHAMBER - NIGHT,doc_10_chunk_1,The Reman Warriors in the chamber are Shinzon's.,the chamber
107、INT. SCIMITAR - BRIDGE - FOLLOWING,doc_106_chunk_0,Shinzon orders the Viceroy to focus on her job.,"Viceroy concentrating to block thoughts, Shinzon interrupts with command"
124、EXT. THE RIFT - SPACE,doc_123_chunk_0,Shinzon's ship reels after the collision with the Enterprise.,Space battle
180、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT,doc_179_chunk_1,Shinzon is human.,"Dimly lit room, Shinzon's human identity is revealed to the crew."
185、INT. ROMULAN SENATE CHAMBER - DAY,doc_184_chunk_1,Shinzon regains his composure after snapping at Suran.,"Tense exchange with Suran, following a snapped command."
