doc_title,chunk_id,fact,scene_context
67 炮连驻地  日,doc_80_chunk_0,赵二斗是连长。,农村场院，士兵操练
106外景  烈士陵园大门/墓道  日,doc_119_chunk_0,赵二斗与军阶较低的军官进行了敬礼寒暄。,门楼前
106外景  烈士陵园大门/墓道  日,doc_119_chunk_0,赵二斗在谷子地的纠正下感到尴尬。,门楼前
107外景  碑林  日,doc_120_chunk_4,谷子地无法挣脱赵二斗的手臂,墓地
126外景  烈士陵园  日,doc_139_chunk_2,步枪卡壳了,墓地
68 仓房  日,doc_81_chunk_1,赵二斗朝天开了一枪。,窗前
71内景  废墟  夜  小雨,doc_84_chunk_0,赵二斗是连长。,屋内，曹排长向赵二斗汇报连队病倒情况
120外景  同上  日  雨,doc_133_chunk_0,赵二斗的行动无效,矿区雨中，煤堆附近
120外景  同上  日  雨,doc_133_chunk_0,赵二斗在争吵中占了上风,工具棚内争吵中
71内景  废墟  夜  小雨,doc_84_chunk_1,赵二斗对空鸣枪后，回声迅速归于寂静。,菜地附近，雨夜
81内景  坑道  日,doc_94_chunk_0,赵二斗的表停了。,堑壕中部，潜伏行动中
75外景  后勤工事  日,doc_88_chunk_5,赵二斗命令警卫排去接应,通讯员报告潜伏组误入雷区后
79内景/外景  坑道/潜伏区  日,doc_92_chunk_0,赵二斗通过观测镜确认了雷区上方山腰的可疑情况。,雷区上方山腰部位，赵二斗使用观测镜观察
100内景  卫生队走廊/病房  晨,doc_113_chunk_6,赵二斗被告知病人已醒来。,病房外走廊
