doc_title,chunk_id,description,scene_context
134. 车内 白天,doc_125_chunk_0,杨自道开着车。,
50. 路上 白天,doc_46_chunk_0,杨自道全身被血浇透了，他踉跄着脚步，捂着胸口往家走,公寓外 白天
18. 出租车内 晚上,doc_17_chunk_0,杨自道打着电话,
45. 闹市 白天,doc_41_chunk_0,杨自道开车追逐摩的劫匪。,
45. 闹市 白天,doc_41_chunk_0,杨自道不服气，追得更狠了，开始拼命。,
25. 公寓一楼 晚上,doc_24_chunk_0,杨自道坐在沙发上泡脚。,
36. 闹市 白天,doc_35_chunk_0,他从车上下来，闹市走去,
2. 案发荒郊 白天,doc_1_chunk_0,杨自道仓皇奔跑,
16. 废车场 晚上,doc_15_chunk_0,杨自道的车藏在里面。,
48. 高铁桥下 白天,doc_44_chunk_0,杨自道爬起来，用衣服掩盖了自己受伤的腹部。,
48. 高铁桥下 白天,doc_44_chunk_0,杨自道不愿久留，上车赶紧离开。,
56. 公寓一楼 白天,doc_51_chunk_0,杨自道缓了缓，用打火机给针消毒，穿上线，开始忍痛自己缝合伤口，每一针都疼彻心扉，他脸色苍白地导着气。,
4. 案发荒郊 白天,doc_3_chunk_0,张望，无心营救，继续逃,
71. 公寓 凌晨,doc_66_chunk_0,杨自道走上来，拿起新买的衣服想要撕掉标签。,
135. 天台/车内 白天,doc_126_chunk_0,杨自道愣了愣，但情绪没太变化。,
135. 天台/车内 白天,doc_126_chunk_0,杨自道加速开车。,
54. 公寓一楼 白天,doc_49_chunk_0,倒完一整瓶白酒,
54. 公寓一楼 白天,doc_49_chunk_0,伤口刺激得他几乎晕厥过去,
11. 出租车 白天,doc_10_chunk_0,杨自道发现车上有人拉了手机和文件。,车上
11. 出租车 白天,doc_10_chunk_0,他拿出一个小桶，里面放着乱七八糟乘客拉下的东西，把东西放进去。,车上
11. 出租车 白天,doc_10_chunk_0,杨自道在本上记录着捡到的东西。,车上
79. 医院外 白天,doc_70_chunk_0,杨自道给伊谷夏开后门,
79. 医院外 白天,doc_70_chunk_0,杨自道关车门去开后备箱，把东西放进去，趁机打出一个电话。,
9. 街道 白天,doc_8_chunk_0,杨自道背老奶奶爬山城台阶。,
9. 街道 白天,doc_8_chunk_0,杨自道放下老奶奶，转身下山，开出租离开。,
83. 出租车内 白天,doc_74_chunk_0,杨自道笑着搪塞,车后座
72. 山路 凌晨,doc_67_chunk_0,拿着行李端着鱼缸,
72. 山路 凌晨,doc_67_chunk_0,把东西放到出租车上,
72. 山路 凌晨,doc_67_chunk_0,冲上来,
52. 公寓一楼 白天,doc_47_chunk_0,杨自道关门进来,
52. 公寓一楼 白天,doc_47_chunk_0,他强忍着疼痛,
52. 公寓一楼 白天,doc_47_chunk_0,拿出针线和白酒,
52. 公寓一楼 白天,doc_47_chunk_0,用白酒给伤口消毒,
52. 公寓一楼 白天,doc_47_chunk_0,疼得他就算咬着毛巾也渗人,
43. 闹市 白天,doc_39_chunk_0,杨自道买烟。,
