doc_title,chunk_id,fact,scene_context
104、INT. CASINO - NIGHT,doc_103_chunk_1,Carter knocks the opponent out by kicking her in the head.,
118、INT. RAVEN CLUB - CONTINUOUS,doc_117_chunk_3,Carter takes possession of Lee's badge and gun.,
110、INT. LAS VEGAS AIRPORT - NIGHT,doc_109_chunk_1,Carter receives Lee's father's badge.,Final scene: Lee gives Carter his father's badge as a parting gift.
142、INT. TAXI - EVENING,doc_141_chunk_0,Carter provides a wad of cash to the cab driver.,
135、INT. LEE'S OFFICE - CONTINUOUS,doc_134_chunk_0,Carter takes a wad of cash from Lee's desk drawer.,
105、INT. PENTHOUSE SUITE - CONTINUOUS,doc_104_chunk_5,Carter participates in physically confronting Tan alongside Lee.,
105、INT. PENTHOUSE SUITE - CONTINUOUS,doc_104_chunk_5,Carter is present during the incident that results in Tan falling 20 stories to the street below.,
141、EXT. HEAVEN ON EARTH MASSAGE PARLOR - AFTERNOON,doc_140_chunk_0,The target character decides to solve the case independently.,"Scene at the massage parlor: After observing Ricky Tan leave, Carter declares his intent to solve the case himself."
129、INT. QUIET ROOM MASSAGE PARLOR - DAY,doc_128_chunk_4,Carter physically destroys Ricky's laptop by throwing it against the wall.,
129、INT. QUIET ROOM MASSAGE PARLOR - DAY,doc_128_chunk_4,Carter issues a direct command for Ricky to stand up.,
126、EXT. MONASTERY SCHOOL - CONTINUOUS,doc_125_chunk_0,Carter is physically subduing six students using a combination of choke holds and body restraints.,
126、EXT. MONASTERY SCHOOL - CONTINUOUS,doc_125_chunk_0,Carter demonstrates the LAPD choke hold technique to a group of students.,
160、INT. CHEAP HOTEL ROOM - DOWNTOWN LA - NIGHT,doc_159_chunk_9,Carter is a police officer who has taken an oath to perform his duties.,
160、INT. CHEAP HOTEL ROOM - DOWNTOWN LA - NIGHT,doc_159_chunk_7,The target character receives the binoculars from Lee after threatening to shoot him.,
101、INT. CASINO - CONTINUOUS,doc_100_chunk_5,Carter learns from Lee that Ricky Tan is alive.,"After the smoke clears in the casino, Carter and Lee are behind slot machines."
101、INT. CASINO - CONTINUOUS,doc_100_chunk_5,Carter decides to follow Lee toward the elevators after being alerted about Ricky Tan.,"After the smoke clears in the casino, Carter and Lee are behind slot machines."
174、INT. KITCHEN - CONTINUOUS,doc_173_chunk_0,Carter decides to close down the place.,
110、INT. LAS VEGAS AIRPORT - NIGHT,doc_109_chunk_2,Carter possesses a large amount of cash won at gambling tables.,
110、INT. LAS VEGAS AIRPORT - NIGHT,doc_109_chunk_2,Carter gives Lee a wad of cash amounting to about fifty thousand dollars.,
110、INT. LAS VEGAS AIRPORT - NIGHT,doc_109_chunk_2,Carter has additional cash beyond the fifty thousand dollars he gives to Lee.,
153、INT. SHIP'S HALLWAY - CONTINUOUS,doc_152_chunk_0,Carter trips Hu Li during an encounter in a hallway.,
153、INT. SHIP'S HALLWAY - CONTINUOUS,doc_152_chunk_0,Carter demands Hu Li surrender by ordering her to put her hands up.,
101、INT. CASINO - CONTINUOUS,doc_100_chunk_6,Carter decides to confront Hu Li instead of continuing with Lee.,"Scene: Halfway up the carpet, after the blast, when Carter stops and tells Lee to go after Ricky."
101、INT. CASINO - CONTINUOUS,doc_100_chunk_6,Carter takes responsibility for dealing with Hu Li.,"Scene: Halfway up the carpet, after the blast, when Carter says, 'I got this.'"
174、INT. KITCHEN - CONTINUOUS,doc_173_chunk_6,Carter examines a $100 bill provided by Kenny.,
167、EXT. REIGN TOWERS HOTEL - ROOF - NIGHT,doc_166_chunk_0,Carter hands the bomb to Lee after being instructed to get rid of it.,Roof scene: Carter initially holds the bomb but transfers it to Lee upon Lee's instruction.
104、INT. CASINO - NIGHT,doc_103_chunk_0,Carter is injured in the chest by Hu Li's sword.,Scene involving a confrontation with Hu Li in a casino-like setting with roulette wheel and Terra Cotta soldiers.
185、INT. 18-WHEELER - TRUCK BED - CONTINUOUS,doc_184_chunk_1,Carter takes possession of two stacks of superbills from the crate.,
174、INT. KITCHEN - CONTINUOUS,doc_173_chunk_7,Carter confirms Kenny is no longer under suspicion.,"Scene where Carter uses a lighter to reveal a burned bill, leading to Kenny being cleared."
133、INT. LEE'S OFFICE - DAY,doc_132_chunk_0,Carter successfully retrieves and wears a black Chinese style suit from Lee's closet.,
133、INT. LEE'S OFFICE - DAY,doc_132_chunk_0,Carter states his intention to return to Heaven on Earth to retrieve his passport.,
133、INT. LEE'S OFFICE - DAY,doc_132_chunk_0,Carter provides backup during an operation involving Ricky Tan and bodyguards.,
104、INT. CASINO - NIGHT,doc_103_chunk_2,Carter survives a chest injury that initially appears severe.,
104、INT. CASINO - NIGHT,doc_103_chunk_2,Carter possesses a thick wad of cash retrieved from inside his jacket after being injured.,
104、INT. CASINO - NIGHT,doc_103_chunk_2,Carter expresses gratitude toward Benjamin for an action that resulted in his survival or protection.,
104、INT. CASINO - NIGHT,doc_103_chunk_2,Carter flees the scene by running toward an elevator.,
167、EXT. REIGN TOWERS HOTEL - ROOF - NIGHT,doc_166_chunk_2,Carter demands to see Isabella's badge after she claims to be an undercover agent for the United States Secret Service.,
167、EXT. REIGN TOWERS HOTEL - ROOF - NIGHT,doc_166_chunk_2,Carter questions the truth of Isabella's claim to be a Secret Service agent.,
198、INT. CASINO - CONTINUOUS,doc_197_chunk_0,Carter provides a hundred thousand dollars to buy into a gambling game.,
19、INT. QUIET ROOM MASSAGE PARLOR - DAY,doc_18_chunk_6,Carter is promoted to Chief Inspector.,"Scene where Ricky Tan congratulates Carter and Lee, and Carter corrects Tan's address."
160、INT. CHEAP HOTEL ROOM - DOWNTOWN LA - NIGHT,doc_159_chunk_13,Carter identifies Hu Li as the person who delivered the package to Lee's office.,"Inside the hotel room, during the binoculars point-of-view scene."
160、INT. CHEAP HOTEL ROOM - DOWNTOWN LA - NIGHT,doc_159_chunk_13,Carter warns Lee that the package delivered by Hu Li is a bomb.,"Inside the hotel room, during the binoculars point-of-view scene."
214、INT. CASINO - NIGHT,doc_213_chunk_1,Carter knocks the opponent out by kicking her in the head.,
