doc_title,chunk_id,fact,scene_context
117、EXT. THE OCEAN - DAY,doc_116_chunk_2,Scottie receives the box and scooper from Alex.,
117、EXT. THE OCEAN - DAY,doc_116_chunk_2,Scottie says goodbye to his mother.,
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_4,Scottie learns that her mother is going to die very soon.,Scene where Dr. Herman informs Scottie about her mother's condition.
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_4,Scottie is explicitly told by her father that the news about her mother's impending death is true.,Scene where Dr. Herman informs Scottie about her mother's condition.
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_5,Scottie receives confirmation from Dr. Johnston that her mother is in an irreversible coma.,
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_5,Scottie acknowledges the meaning of an irreversible coma in the context of her mother's condition.,
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_5,Scottie learns that her mother's care is being carried out according to her mother's prior wishes.,
117、EXT. THE OCEAN - DAY,doc_116_chunk_1,Scottie is in possession of the urn containing ashes at the beginning of the ceremony.,Scene set near Waikiki; the group is gathered for a memorial ceremony.
117、EXT. THE OCEAN - DAY,doc_116_chunk_1,Scottie hands the urn to Alexandra upon Matt's instruction.,Scene set near Waikiki; Matt directs Scottie to pass the urn to Alexandra for the ash-scattering ceremony.
117、EXT. THE OCEAN - DAY,doc_116_chunk_1,Scottie observes the ashes in the urn without reacting visibly.,Scene set near Waikiki; Scottie looks at the ashes as Alexandra prepares to scatter them.
