doc_title,chunk_id,text,scene_context
47、INT. O'ROURKE'S - NIGHT,doc_46_chunk_2,Huh.,
33、INT. O'ROURKE'S - NIGHT (LATER),doc_32_chunk_1,And are they going to get it?,
47、INT. O'ROURKE'S - NIGHT,doc_46_chunk_1,The Big Boy did...?,
77、INT. GALVIN'S OFFICE BUILDING CORRIDOR - NIGHT,doc_76_chunk_2,I have to talk to you.,
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_0,Isn't there something you...,Hotel room: Laura speaks to Galvin about a potential fault in their situation.
33、INT. O'ROURKE'S - NIGHT (LATER),doc_32_chunk_0,I think I will.,Scene in a booth at a bar; Laura is speaking to Galvin during a conversation after dinner and drinks.
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_2,Yes.,"Scene: In a bedroom, Laura responds to Galvin's question about staying. The topic is her decision to remain."
47、INT. O'ROURKE'S - NIGHT,doc_46_chunk_3,"Me, too.","Scene: Laura speaks to Jimmy, responding to a prior statement, though the exact topic is not specified in the text."
34、INT. GALVIN'S APARTMENT - NIGHT,doc_33_chunk_0,That's all right.,"Bedroom scene: Laura speaks to Galvin as he hesitates to turn down a picture of his wife while they prepare for bed, both appearing unsteady."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_6,You're pressuring yourself...,
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_6,Yes. (beat) We've all got to let go.,
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_3,What if it wasn't you that I came back to see?,"Scene: At a bar or similar setting, Laura is speaking with Galvin after returning to see him; the conversation revolves around her reasons for coming back."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_2,You told me so. Maybe you'd get some sympathy. You came to the wrong place.,
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_2,Maybe I'll tell you later.,
33、INT. O'ROURKE'S - NIGHT (LATER),doc_32_chunk_2,Maybe what?,
33、INT. O'ROURKE'S - NIGHT (LATER),doc_32_chunk_2,And is that what you're going to do?,
33、INT. O'ROURKE'S - NIGHT (LATER),doc_32_chunk_2,Is that what you're going to do...?,
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_4,What is your wife's picture doing by the side of your...,
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_4,"What would you like it to be to me...? I, I, I can't invest in failure.",
70、EXT. COURTHOUSE - STREET - DUSK,doc_69_chunk_0,Is it over?,"Scene: Walking with Galvin, Laura asks about the situation."
70、EXT. COURTHOUSE - STREET - DUSK,doc_69_chunk_0,What are you going to do?,"Scene: Walking with Galvin, Laura inquires about his next steps."
85、INT. GALVIN'S OFFICE - DAY,doc_84_chunk_3,At around four...?,
85、INT. GALVIN'S OFFICE - DAY,doc_84_chunk_3,"I feel the same way, Joe... I'll see you this afternoon?",
47、INT. O'ROURKE'S - NIGHT,doc_46_chunk_0,Should I?,Scene at a bar: Laura is speaking with Mickey about a law firm and a mutual acquaintance.
47、INT. O'ROURKE'S - NIGHT,doc_46_chunk_0,Yes.,Scene at a bar: Laura responds to Mickey's story about a mutual acquaintance working at a law firm.
97、INT. FINAL COURTHOUSE BACK CORRIDOR - DAY,doc_96_chunk_1,Thank you,"Scene: At the end of a corridor, Laura is holding a sheet of paper; she speaks after reading a note from Joe, in the presence of Galvin and Mickey."
85、INT. GALVIN'S OFFICE - DAY,doc_84_chunk_1,"Can we meet there, Joe?",
85、INT. GALVIN'S OFFICE - DAY,doc_84_chunk_1,At the Beacon. On Fifty-third Street... we can spend the night.,
89、INT. NEW YORK HOTEL RESTAURANT - DAY,doc_88_chunk_1,It's all right... it's all right... it's all right... it's all right...,Scene: Laura is knocked to the floor by Galvin; she speaks in shock as a large man restrains Galvin.
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_5,Joe...,"Scene: In a bathroom, Laura speaks to Joe Galvin through the door, calling his name twice with a pause between."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_5,Joe...,"Scene: In a bathroom, Laura speaks to Joe Galvin through the door, calling his name twice with a pause between."
41、INT. O'ROURKE'S PUB - NIGHT,doc_40_chunk_0,How'm I doing so far?,"At a bar, Laura speaks with Mickey who has just introduced himself and explained that Franky can't make it."
41、INT. O'ROURKE'S PUB - NIGHT,doc_40_chunk_0,What are you drinking?,"At the bar, Laura speaks to Mickey while opening her purse to hand him a cigarette and calling the bartender."
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_2,My ex-husband was a lawyer.,"Scene: Conversation with Galvin, discussing her past marriage."
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_2,"Yes. It was, actually.","Scene: Conversation with Galvin, discussing her past marriage."
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_2,Who says I'm the one that called it off?,"Scene: Conversation with Galvin, discussing the reason for her divorce."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_3,Not if you don't grow up...,
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_3,"You're like a kid, you're coming in here like it's Saturday night, you want me to say that you've got a fever -- you don't have to go to school...",
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_3,"Oh, yes, I do, Joe. Believe me. You say you're going to lose. Is it my fault? Listen! The damned case doesn't start until tomorrow and already it's over for you!",
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_0,Would you like me to leave...?,"Scene: In Galvin's sitting room, Laura speaks to Galvin who appears distraught; topic involves whether her presence is inconvenient."
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_0,Is this a bad time -- ?,"Scene: In Galvin's sitting room, Laura speaks to Galvin who appears distraught; topic involves whether her presence is inconvenient."
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_0,Is this a bad time.,"Scene: In Galvin's sitting room, Laura speaks to Galvin who appears distraught; topic involves whether her presence is inconvenient."
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_1,Still looking.,"Scene: At a bar or social setting, Laura speaks with Galvin about her apartment search."
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_1,I changed my room at the Hotel.,"Scene: At a bar or social setting, Laura tells Galvin about changing her room."
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_1,The TV didn't work.,"Scene: Continuing the conversation with Galvin, Laura explains why she changed rooms."
32、INT. O'ROURKE'S PUB - NIGHT,doc_31_chunk_1,And what are you? A cop?,"Scene: Laura responds to Galvin's questioning, challenging his line of inquiry."
85、INT. GALVIN'S OFFICE - DAY,doc_84_chunk_0,Hello? Mr. Gal... where are you...?,Scene: Laura answers a ringing phone while groggy from sleep; she is speaking to Mr. Gal.
85、INT. GALVIN'S OFFICE - DAY,doc_84_chunk_0,You're going to New York? I... you're kidding... Because I'm going to New York. (beat) I just got a call. I have to go sign papers. About my divorce. I... good. Frank. We'll meet there. All right?,"Scene: Laura continues her phone conversation with Mr. Gal, discussing their coinciding trips to New York; topic includes her divorce papers and arranging to meet."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_1,You're talking like a drunk.,"Scene: Inside a room, Laura speaks to Galvin during a tense conversation about a lost case."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_1,And it's over...?,"Scene: Inside a room, Laura speaks to Galvin, seeking confirmation that their situation is truly finished."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_1,"Well, then what are you doing here?","Scene: Inside a room, Laura questions Galvin's presence after he confirms everything is over."
61、INT. LAURA'S HOTEL ROOM - NIGHT,doc_60_chunk_1,You do what you want. You want to leave... You want to go kill yourself?,"Scene: Inside a room, Laura speaks bitterly to Galvin, challenging his intentions after the end of the case."
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_1,What happened...?,Scene context not specified: Laura speaks to Galvin after he mentions his witness was compromised.
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_1,...and is that serious?,Scene context not specified: Laura continues speaking to Galvin about the seriousness of the situation.
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_1,Do you want me to go...?,Scene context not specified: Laura asks Galvin if she should leave while he prepares to work.
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_1,Why don't you get some rest?,Scene context not specified: Laura suggests Galvin rest when he seems overwhelmed.
52、INT. GALVIN'S APARTMENT - NIGHT,doc_51_chunk_1,You can't work if you can't think. You get in bed. It's all right. I'll stay here with you. It's all right. Come on...,Scene context not specified: Laura comforts and urges Galvin to rest while offering to stay with him.
