doc_title,chunk_id,fact,scene_context
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_0,Eve receives her purse from Chev.,"Bottom of the ladder, during the firefight with gunfire from above."
"108、INT DON KIM'S SHIRT FACTORY, 4TH FLOOR, SECONDS LATER",doc_107_chunk_3,Eve is calmed momentarily by CHEV.,"Workers forced back into chairs, CHEV calms Eve."
"107、INT DON KIM'S SHIRT FACTORY, 5TH FLOOR, MOMENTS LATER",doc_106_chunk_1,Eve's beaded purse is in Chev's possession.,"Front of freight elevator, Chev appears behind hoodlums and stands over Kaylo's body."
"107、INT DON KIM'S SHIRT FACTORY, 5TH FLOOR, MOMENTS LATER",doc_106_chunk_7,Eve is grabbed by CHEV and taken toward the elevator shaft.,Elevator interior
111、EXT. SIDEWALK - DAY,doc_110_chunk_1,Eve is across the street from a hardware store,Parked across the street from a hardware store
"109、EXT FIRE ESCAPE, SECONDS LATER",doc_108_chunk_2,Eve had the car keys during the purse search.,"In the car, during the purse search while fleeing gunfire."
120、EXT. CHOCOLATE'S APARTMENT - EARLIER,doc_119_chunk_0,Eve receives a promise from Chev.,Room with pale sunlight through half rolled blinds
"135、INT EVE'S APARTMENT, SAME TIME",doc_134_chunk_0,Eve has an answering machine.,Answering machine scene
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_10,Eve exits the house.,"At a house, after Chev's apology attempt."
110、INT. EVE'S CAR - DAY,doc_109_chunk_1,Eve displays a look of determination.,
"10、INT EVE'S APARTMENT, SIMULTANEOUS",doc_9_chunk_0,Eve has a tape-based answering machine at her residence.,"Eve's residence, answering machine message"
"66、EXT RESTAURANT, SAME TIME",doc_65_chunk_0,Eve is oblivious to Chev's warning about a psychopath heading to kill her,Chev warns Eve of a psychopath
"68、INT EVE'S APARTMENT, 4 MINUTES LATER",doc_67_chunk_5,Eve agrees to put on clothes and come with Chev.,
"75、EXT. REAR EXIT, EVE'S BUILDING - DAY",doc_74_chunk_2,The shot whizzes over Eve's head.,Car hood struggle
"75、EXT. REAR EXIT, EVE'S BUILDING - DAY",doc_74_chunk_0,Eve avoids being seen by the Hood.,"Parking area behind the building, as CHEV and EVE are leaving"
