doc_title,chunk_id,description,scene_context
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_24,giving him the finger,
18、INT. BAY,doc_17_chunk_3,Vriess comes abreast of the soldier.,After Elgyn enters from the antechamber and motions for the crew to follow.
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_22,Vriess is facing the back.,At the cooling tanks
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_22,He looks up.,At the cooling tanks
16、INT. CARGO BAY - CONTINUOUS,doc_15_chunk_1,"Lying on a gurneylike steel dolly, working under the machine, is VRIESS, chie mechanic. Late forties, in pretty good shape considering he's got no legs.","Docking area, cargo check"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_48,"Refusing to hear it, Vriess struggles to climb further.",
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,doc_19_chunk_0,"Vriess wheels slowly into the hall, concerned.","Hall, emergency lighting on"
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,doc_19_chunk_0,"He spins slowly, checking out his surroundings.","Hall, checking surroundings"
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,doc_19_chunk_0,"Vriess follows their lead, wheeling out.","Hall, following floor lights towards exit"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_19,Vriess is pulling a coil of cords from the chair.,"Moving down, losing the chair"
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_19,mock casual,
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,doc_19_chunk_7,"Vries enters, looking around.",INT. FALL - CONTINUOUS
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,doc_19_chunk_7,He is getting seriously wigged.,INT. FALL - CONTINUOUS
20、INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,doc_19_chunk_7,He obeys.,INT. FALL - CONTINUOUS
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_61,Vriess tries to touch Call's wound.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_21,"Vriess is strapped to his back facing the other way, also with a shotgun.","Flooded area, moving through dark water"
18、INT. BAY,doc_17_chunk_9,Vriess somewhat pines,Out by the Handle
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_43,He fires up at Wren,Vriess fires at Wren as Wren slips through a door
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_20,looking at Call,During the accusation that Call is a mole
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_20,Vriess looks hit harder by that information than anyone.,During the accusation that Call is a mole
18、INT. BAY,doc_17_chunk_1,he wheels down the platform,Platform introduction
16、INT. CARGO BAY - CONTINUOUS,doc_15_chunk_5,working intently,INT. CARGO BAY: Vriess working with thresher blades inches above his head
19、INT. A CHAMBER,doc_18_chunk_13,"rolling about the Aurigals engine room, looking it over.",Aurigals engine room
