scene,question,answer,evidence,qa_type
50、INT. TRIBAL VILLAGE HUT,Why is the video recorder present in the scene?,To record the tribal elders' activities.,"The hand-held camera is filming, and the video recorder is on the ledge.",causal/relational queries
52、INT. AMERICAN EMBASSY CIA SECTION - MAYA'S CUBICLE - DAY,What does Jessica claim about the Jords?,The Jords have a mole!,JESSICA The Jords have a mole!,dialogue/beliefs
46、INT. MARRIOTT HOTEL RESTAURANT - NIGHT,What does Maya believe about Faraj's decision to withhold information?,She believes it's a good thing as it reveals Faraj's priorities.,It's a good thing because the fact that Faraj withheld on Abu Ahmed is revealing.,dialogue/beliefs
11、INT. BLACK SITE - AFTERNOON,What action causes Maya to flinch when Daniel pulls down Ammar's pants?,Ammar's nakedness is revealed as Daniel pulls down his pants.,Daniel pulls down Ammar's pants. Maya flinches at the bare nakedness.,detailed description
22、INT. AMERICAN EMBASSY - KITCHEN,What does Jessica imply about greed and ideology?,Greed might override ideology in some members.,You're assuming that greed won't override ideology in some of the weaker members.,dialogue/beliefs
25、INT. FRIGATE - BLACK SITE - POLAND - DAY,"In [25、INT. FRIGATE - BLACK SITE - POLAND - DAY], What is Hakim's role according to the passage?",CIA's most important asset and former political prisoner,"This fatherly man is HAKIM, a former political prisoner in Afghanistan and one of the CIA's most important assets.",character states
20、INT. RESEARCH ROOM - LATER,"In [20、INT. RESEARCH ROOM - LATER], What is the Prisoner's behavioral response to the photograph?",Nods and repeats 'Abu Ahmed',PRISONER (NODS) ... Abu Ahmed. Abu Ahmed. Abu Ahmed.,character states
15、EXT. BLACK SITE - AFTERNOON,"In [15、EXT. BLACK SITE - AFTERNOON], What is Ammar's emotional state during the conversation?",Lost and conflicted,Ammar is lost. I wanted to kill Americans.,character states
43、EXT. BLACK SITE - PRE-DAWN,What does Maya say about Faraj's knowledge of Abu Ahmed?,Faraj is completely denying knowing Abu Ahmed.,"MAYA: Faraj is completely denying knowing Abu Ahmed, and that's using every measure we have.",dialogue/beliefs
6、INT. AMERICAN EMBASSY CIA SECTION - STAIRCASE - ISLAMABAD,What detail about Bradley's appearance is mentioned?,His fingernails still have blood not fully buffed out.,"Chief of Station, Pakistan, a smooth, vain, sophisticated former case officer who hasn't quite buffed all the blood out of his fingernails.",detailed description
17、INT. RESEARCH ROOM - MOMENTS LATER,"In [17、INT. RESEARCH ROOM - MOMENTS LATER], What is the prisoner's emotional state during the interrogation?",Distressed,The prisoner moans.,character states
35、EXT. GARDEN COMPLEX - DAY,"In [35、EXT. GARDEN COMPLEX - DAY], What do the black burkhans indicate?",Heavily armed Pakistani agents.,The black burkhans descend on Faraj. It turns out they are heavily armed Pakistani agents.,objects/props
54、INT. AMERICAN EMBASSY ISLAMABAD - BRIEFING ROOM - NIGHT,What does Jessica say about Balawi's travel plans?,He's not going to travel - security RISK,JESSICA: He's not going to travel - security RISK,dialogue/beliefs
11、INT. BLACK SITE - AFTERNOON,What does Daniel do with the dog collar when he re-enters the scene?,He snaps the collar and leash around Ammar's neck after unhooking him.,"Daniel unhooks Ammar, snaps the collar and leash around his neck, as Ammar cries out against the humiliation.",detailed description
53、INT. AMERICAN EMBASSY CIA SECTION - STATION CHIEF'S OFFICE -,What caused the person to be convinced to turn on Al Qaeda?,"The Jords' efforts of dinners, money, and persuasion.","The Jords worked him for a year. Dinners, money. They've convinced him that it's his patriotic duty to turn on Al Qaeda and get rich doing it.",causal/relational queries
58、INT. DINING AREA,What is the purpose of the $25 million according to Jessica?,To persuade him to give up bin Laden.,"And at that moment, with 25 mil on the table, I think he gives up the Big Man.",causal/relational queries
46、INT. MARRIOTT HOTEL RESTAURANT - NIGHT,What does Maya believe about Bradley's trust in her leadership?,She believes Bradley doesn't believe in her lead.,You sound just like Bradley. He doesn't believe in my lead either.,dialogue/beliefs
32、INT. PAKISTANI DETENTION AREA - CONTINUOUS,"In [32、INT. PAKISTANI DETENTION AREA - CONTINUOUS], What did Abu Ahmed bring to Ghul?",Messages from the Sheikh,He brought me many messages from the Sheikh.,objects/props
31、EXT. ISLAMABAD TRAFFIC - YEARS LATER,What does Maya say about her relationship with the person she addresses?,She says she knows them and has been following and studying them.,I want you to understand that I know you. I have been following you and studying you for a long time.,dialogue/beliefs
22、INT. AMERICAN EMBASSY - KITCHEN,What does Maya believe about Al Qaeda members' motivations?,"They are radicals, not motivated by financial rewards.",You're assuming that Al Qaeda members are motivated by financial rewards. They're radicals.,dialogue/beliefs
29、INT. AMERICAN EMBASSY CIA SECTION - STATION CHIEF'S OFFICE -,"In [29、INT. AMERICAN EMBASSY CIA SECTION - STATION CHIEF'S OFFICE -], What is playing on the television in the background?",A news report showing disaster footage of people bloodied and screaming,"On the television in the background, the news report continues, showing disaster footage of PEOPLE bloodied, screaming.",objects/props
58、INT. DINING AREA,Why does Jessica believe the guy could be called to treat bin Laden?,Because Al Qaeda needs doctors and he's rising in their ranks.,Al Qaeda needs doctors and they are short staffed and that could explain his rise.,causal/relational queries
61、EXT. CAMP CHAPMAN - GUARD POST,"In [61、EXT. CAMP CHAPMAN - GUARD POST], Where does the car navigate through while kicking up dust?",the maze of HESCO barriers,"We follow the car as it navigates the maze of HESCO barriers, kicking up a cloud of dust.",scene localization
3、INT. INTERROGATION ROOM - LATER,"In [3、INT. INTERROGATION ROOM - LATER], Where is the interrogation taking place?",CIA black site,SUPERIMPOSE: CIA BLACK SITE - UNDISCLOSED LOCATION,scene localization
28、INT./EXT. DOUBLE DECKER BUS,"In [28、INT./EXT. DOUBLE DECKER BUS], What is displayed on the TV screen after the explosion?",File footage of the aftermath,File footage of the aftermath: REPORTER (O.S.) This is what remains of the #10 bus,objects/props
