doc_title,chunk_id,text,scene_context
102、INT. BPRD CONTROL ROOM - NIGHT,doc_101_chunk_0,,
118、EXT. HILLS - DAY,doc_117_chunk_0,,
115、EXT. INLET - DAY,doc_114_chunk_3,,
120、INT. CAVERN,doc_119_chunk_2,Whoops.,
120、INT. CAVERN,doc_119_chunk_0,"Hey, amigo. You got some gum?",
120、INT. CAVERN,doc_119_chunk_7,Abe -,
124、EXT. COASTLINE - DAY,doc_123_chunk_1,Milk? Yech.,
113、EXT. GREEN FIELD - DAY,doc_112_chunk_1,"Before you do anything... remember what we're in for. A world unlike anything we've ever known. Dangerous, deceptive...",
15、INT. SALES ROOM - SAME,doc_14_chunk_0,What are they???,
120、INT. CAVERN,doc_119_chunk_16,A challenge must be answered! Raise your sword!,"Scene: In a hall, Hellboy issues a challenge to the Prince, asserting his right to fight."
118、EXT. HILLS - DAY,doc_117_chunk_3,"Don't say a word, Blue- Let's move on-","UNDERWATER: Hellboy speaks to Abe, cutting him off and urging to move forward."
120、INT. CAVERN,doc_119_chunk_19,I- have- won-,"Fight scene: Hellboy confronts the Prince after disarming him, asserting victory as he points his sword at the Prince's chest."
119、INT. CAVE ENTRANCE - SAME,doc_118_chunk_2,"Says who? I'm fine, I tell ya.","STAIRS - LATER: Hellboy speaks to Liz and Johann while climbing stairs, downplaying his injury as he pushes forward."
111、EXT. BPRD PLANE - DAY,doc_110_chunk_0,"Where are we, Liz..?","TNT. BPRD PLANE COCKPIT - DAY: Hellboy speaks to Liz as they arrive near an Irish island, asking about their location."
120、INT. CAVERN,doc_119_chunk_15,Prince Nuada: I challenge your right to command this army!,Scene: Hellboy stands and challenges Prince Nuada's authority in front of the clockwork troops; Abe tries to stop him.
105、INT. HB'S ROOM - LATER,doc_104_chunk_0,"Don't worry, Sparky- It's all going to be ALRIGHT-","Hellboy's room; Hellboy speaks to Liz as Abe stands nearby, reassuring her during a moment of emotional distress."
123、EXT. RENVYLE - DAY,doc_122_chunk_2,"Looks that way, doesn't it?",
123、EXT. RENVYLE - DAY,doc_122_chunk_2,I think I'll keep this.,
120、INT. CAVERN,doc_119_chunk_4,Yeah. Now it's your turn.,"Scene: Hellboy is in a confrontation with the Prince, wiping at a chest wound; the Prince comments on his bleeding before Hellboy responds."
120、INT. CAVERN,doc_119_chunk_24,You - and your kind! Leave here. And stay in the shadows - where you belong.,Hellboy confronts the Prince's troll guards after destroying the last segment of the crown; he is speaking to the trolls.
34、INT. TUNNEL 1 - DAY,doc_33_chunk_0,,
17、INT. INTERCUT - SALES ROOM/CORRIDOR - SAME,doc_16_chunk_1,"Aw, crap-",
17、INT. INTERCUT - SALES ROOM/CORRIDOR - SAME,doc_16_chunk_1,"Spit it out, brother blue. What are they?",
16、EXT. EAST SIDE AUCTION HOUSE - NIGHT,doc_15_chunk_1,What are they-? Abe?,Corridor at night; Hellboy is speaking to Abe after blowing open a hole in the wall and seeing small bodies burrowing away.
12、INT. GARBAGE TRUCK - NIGHT,doc_11_chunk_1,Piece of cake. In and out... no one will see me. You have my word-,
12、INT. GARBAGE TRUCK - NIGHT,doc_11_chunk_1,I can be discreet if I want to be-,
117、EXT. HUT - DAY,doc_116_chunk_2,"And call you in the morning, right?? Like Hell I will. I'm keeping an eye on you, GLASSHOLE-","Scene: Johann informs Liz and Hellboy about finding the entrance to the Golden Army's resting place; Johann suggests Hellboy rest, prompting this response."
38、INT. HELLBOY'S ROOM - DAY,doc_37_chunk_2,Against?,
22、INT. SALES ROOM - CONTINUOUS,doc_21_chunk_0,LIZ!!,
22、INT. SALES ROOM - CONTINUOUS,doc_21_chunk_0,Liz!! Where are you - ?!,
12、INT. GARBAGE TRUCK - NIGHT,doc_11_chunk_4,"(WHISPERS)
What? You want to get rid of the cats?
You can't mean that-",
12、INT. GARBAGE TRUCK - NIGHT,doc_11_chunk_4,"(WHISPERS)
Then, what--?",
120、INT. CAVERN,doc_119_chunk_1,Wow. You hear that? Listen -,"In a dark cavern, Hellboy interacts with a mechanical soldier and speaks to others present."
120、INT. CAVERN,doc_119_chunk_1,Uh oh.,"In a dark cavern, Hellboy reacts to the mechanical soldier rocking backwards after he thumps it."
118、EXT. HILLS - DAY,doc_117_chunk_2,See?? It hurts!!! It hurts!!!,
118、EXT. HILLS - DAY,doc_117_chunk_2,Ouch- ouch- ouch-,
118、EXT. HILLS - DAY,doc_117_chunk_2,We better go swimming before any more ugly fellas show up-,
17、INT. INTERCUT - SALES ROOM/CORRIDOR - SAME,doc_16_chunk_0,"Uh- thick rug, deep pile, light brown-","Scene where Abe discovers a human femur and points out the floor; Hellboy is speaking to Abe, commenting on what he thought was a rug but is actually a layer of excrement."
14、INT. CORRIDOR - SAME,doc_13_chunk_0,There's more than one-?,
14、INT. CORRIDOR - SAME,doc_13_chunk_0,How many- ten-?,
14、INT. CORRIDOR - SAME,doc_13_chunk_0,MPPF-,
25、EXT. SIDEWALK - NIGHT,doc_24_chunk_1,"Gee whiz, Manning-(SHRUGS)I guess we're out now.","Scene: Hellboy speaks to Manning amidst camera flashes, likely after being exposed to the public."
124、EXT. COASTLINE - DAY,doc_123_chunk_2,Grow? who gonna grow- ?,"Scene in a yard; Hellboy is speaking to Liz about growing, before she reveals she is pregnant."
124、EXT. COASTLINE - DAY,doc_123_chunk_2,Our b-?,"Scene in a yard; Hellboy is speaking to Liz, reacting to her announcement about their baby."
117、EXT. HUT - DAY,doc_116_chunk_0,I thought you were mad at me.,"Outside Angel of Death's hut, Hellboy speaks to Liz after recovering, discussing their relationship and recent conflicts."
117、EXT. HUT - DAY,doc_116_chunk_0,"I'm sorry for all the attention, I thought it would be good for us.","Outside Angel of Death's hut, Hellboy speaks to Liz after recovering, discussing their relationship and recent conflicts."
120、INT. CAVERN,doc_119_chunk_9,"Abe old buddy. If we survive this, we need to talk.",The four friends are retreating and pressed against a wall as the Army marches toward them; Hellboy speaks to Abe.
120、INT. CAVERN,doc_119_chunk_9,"Not now, Abe, okay?",The four friends are under pressure from the advancing Army; Hellboy speaks to Abe.
39、INT. SECURITY POUND BPRD - SAME,doc_38_chunk_3,That's an open face for you...,Scene: Hellboy whispers to Manning while observing Johann Kraus; the topic involves Johann's appearance.
40、INT. CONTAINMENT AREA - DAY,doc_39_chunk_1,What are you doing?,
40、INT. CONTAINMENT AREA - DAY,doc_39_chunk_1,INHABIT-,
45、EXT. BROOKLYN BRIDGE - DOCKS - NIGHT,doc_44_chunk_1,"It's ""Hellboy"" not ""Demon-man""-",
48、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_47_chunk_1,"Hey- Sparky, I think we got one.",
40、INT. CONTAINMENT AREA - DAY,doc_39_chunk_6,If you're really German- how come you don't have a funny accent?,"Scene: During a planning discussion, Hellboy interrupts Johann to question his German accent."
40、INT. CONTAINMENT AREA - DAY,doc_39_chunk_4,Jeez- your buddy there doesn't look too good.,
40、INT. CONTAINMENT AREA - DAY,doc_39_chunk_4,Wow- You have that effect on me too.,
38、INT. HELLBOY'S ROOM - DAY,doc_37_chunk_0,Yes- yes- I'd say I am that strong- I've fought many creatures over the years but none as strong as me-,"Scene featuring TV footage: Hellboy appears on multiple news channels discussing his strength and past battles, winking at the camera while being watched by Liz in his room."
