doc_title,chunk_id,text,scene_context
17、INT. LAX - TERMINAL - DAY,doc_16_chunk_1,Who the hell was your father?,
"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",doc_26_chunk_4,"I really love your peaches, wanna shake your tree.",
56、INT. GREEN ROOM - DAY,doc_55_chunk_1,"Oh wow, look...they've even got baby gherkins!",
"29、INT. TED'S BEDROOM - ""HEAVEN"" MANSION - NIGHT",doc_28_chunk_2,Check this out. Hurry!,"Scene: Charlie enters a room with binoculars, speaking to others present, urging them to see something."
13、INT. NELSON LIVING ROOM - NIGHT,doc_12_chunk_3,"Charlie, at a will reading? What did I do to deserve this?","Scene where Ted speaks at a will reading, reacting to the situation with Charlie."
21、EXT. LIMO - DAY,doc_20_chunk_0,"Something tells me we're not in Xenia anymore, Toto.","Scene or location not specified; Charlie speaks to Ted, commenting on their current situation compared to Xenia."
19、EXT. LIMO - DAY - MOVING,doc_18_chunk_0,"This is how the other half lives, bro. Enjoy it while you can.","Sunset Boulevard: Charlie is in a limo with Ted, speaking to him about their luxurious experience."
17、INT. LAX - TERMINAL - DAY,doc_16_chunk_0,What are the odds of there being ANOTHER Ted Nelson on our flight?,"Scene: In an airport terminal, Charlie speaks to Ted as they notice a chauffeur holding a sign for 'TED NELSON'."
"25、INT. ""HEAVEN"" MANSION - GAME ROOM - DAY",doc_24_chunk_0,"Naked girls, wild sex, video games. No wonder it's called ""Heaven.""","Scene: In an arcade referred to as 'Heaven,' Charlie expresses amazement while speaking to Uncle Billy and Ted."
"39、INT. MASTER BEDROOM CLOSET - ""HEAVEN"" MANSION - NIGHT",doc_38_chunk_5,"Ain't life amazing? A week ago, you couldn't get to second base! Now you OWN second base!","DANCE FLOOR - Later: Charlie speaks to Ted while dancing, commenting on Ted's sudden romantic success."
56、INT. GREEN ROOM - DAY,doc_55_chunk_0,Sharp as a mashed potato sandwich.,"Scene: Backstage at 'The Tonight Show,' Charlie comments on Ted's appearance while Ginger, Julie, Uncle Billy, and Helen are present."
"23、INT. ""HEAVEN"" MANSION - CONFERENCE ROOM - DAY",doc_22_chunk_2,"Everything? The publishing division, the real estate holdings, the retail outlets, the theme parks?","Scene: In a conference room, Charlie reacts with shock and asks for confirmation about the extent of assets owned, following Zukerman's announcement to Ted."
"55、INT. THE ""HEAVEN"" JET - DAY",doc_54_chunk_0,"Call me Charlie. I'm a photographer for ""Heaven"" magazine. And a very cunning linguist.",On a first-class flight; Charlie speaks to a flight attendant during a flirtatious encounter.
"32、INT. ""HEAVEN"" MANSION - MASTER BEDROOM - NIGHT",doc_31_chunk_1,"A couple of boys fighting over a
pair of red silk panties is nothing
compared to what he's seen.",Scene: Inside a house after the butler interrupts Ted and Charlie; Charlie speaks to Ted about the butler's reaction to their behavior.
"38、INT. ""HEAVEN"" HEADQUARTERS - DAY",doc_37_chunk_1,Let me get this straight...,
"38、INT. ""HEAVEN"" HEADQUARTERS - DAY",doc_37_chunk_1,"These are real, live women?",
"38、INT. ""HEAVEN"" HEADQUARTERS - DAY",doc_37_chunk_1,"God, I love being dead.",
"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",doc_26_chunk_1,"This is like my every wet dream
come true. I don't even care that
you're here, too, bro.Be cool. Fake it if you have to.","Scene with Uncle Billy and Ted present; Charlie speaks to Ted about his attraction to the women, expressing excitement and giving advice to act composed."
"22、EXT. ""HEAVEN"" MANSION - DAY",doc_21_chunk_1,"He never spits, ma'am. Ever. He can't even get a good hocker going. I've tried to teach him. It comes from the diaphragm.","Scene: Outside a mansion, Charlie speaks to Helen McDole after she comments on Ted resembling someone; the topic involves spitting and physical traits."
69、INT. SCHOOL GYMNASIUM - NIGHT,doc_68_chunk_8,"I hear you, bro. We're Angus men in a ground round town.",
65、INT. TED'S OFFICE - DAY,doc_64_chunk_0,With a refrigerated cargo bed full of sirloin tip.,Scene where Ted and Charlie react to Christy's arrival; Charlie speaks to Ted about the shock of the situation.
"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",doc_26_chunk_3,"I wonder how many of them will be
at the orgy tonight?","Scene: In a room with Ted, Charlie questions the possibility of an orgy."
"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",doc_26_chunk_3,Oh. Well. Maybe not yet.,"Scene: In a room with Ted, Charlie responds to Ted's dismissal of an orgy."
"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",doc_26_chunk_5,"Oh baby, yes, yes, yes. Fuck me like you mean it.",
"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",doc_26_chunk_5,"I'd kiss your mother with this mouth. I mean, if she wasn't, you know...",
"27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",doc_26_chunk_5,"Yeah, whatever.",
7、INT. BASKETBALL COURT - TECUMSEH HIGH SCHOOL - DAY,doc_6_chunk_4,That's crazy talk.,
"30、INT. TED'S BEDROOM - ""HEAVEN"" MANSION - NIGHT",doc_29_chunk_1,Dead?,"Scene: At a pool area, Charlie speaks with Ted after Ted claims they are in heaven following a plane crash."
"30、INT. TED'S BEDROOM - ""HEAVEN"" MANSION - NIGHT",doc_29_chunk_1,"Then there must be a whole room, made completely of chocolate.","Scene: At a pool area, Charlie speaks with Ted after Ted claims they are in heaven following a plane crash."
62、INT. CITY BUILDING CORRIDOR - SAME TIME,doc_61_chunk_0,"You're like a centerfold waiting to happen. And let me assure you, I have some serious pull with the publisher.","Scene: Holding a stack of flyers, Charlie speaks to Judy, Merkin's college-aged daughter, before her father interrupts."
50、EXT. TECUMSEH HIGH SCHOOL - MORNING,doc_49_chunk_2,We reinvented ourselves.,"School yard, after Ted and Charlie enter with a chopper; Charlie speaks to Julie when she questions him."
50、EXT. TECUMSEH HIGH SCHOOL - MORNING,doc_49_chunk_2,You've obviously never had your,"School yard, Charlie responds to Julie's comment about new Hushpuppies not making a new man."
50、EXT. TECUMSEH HIGH SCHOOL - MORNING,doc_49_chunk_3,Jealousy is so unattractive.,Scene: In a room with Julie and Ted present; Charlie comments on jealousy during a tense exchange.
50、EXT. TECUMSEH HIGH SCHOOL - MORNING,doc_49_chunk_3,Wanna see my hickey from Miss December?,Scene: In a room with Julie and Ted present; Charlie attempts to shock or impress Julie with a personal revelation.
"22、EXT. ""HEAVEN"" MANSION - DAY",doc_21_chunk_0,"I'm Charles. The handsome, devoted best friend. We're so close, we feel each other's pain.","Scene: Approaching the mansion, Charlie introduces himself to a voluptuous beauty while following Ted."
"22、EXT. ""HEAVEN"" MANSION - DAY",doc_21_chunk_0,"See what you do to me, baby.","Scene: Approaching the mansion, Charlie speaks to the voluptuous beauty after she notices his soaked crotch."
16、INT. LAX - DAY,doc_15_chunk_0,I wonder if this is what it feels like to be born?,"Scene: Exiting the plane through the sleeve towards the entry gate, Charlie speaks to Ted."
16、INT. LAX - DAY,doc_15_chunk_0,"Think about it...Long tunnel, bright lights, it's full of vaginal symbolism.","Scene: Exiting the plane through the sleeve towards the entry gate, Charlie speaks to Ted about the birth symbolism of the tunnel."
"24、INT. ""HEAVEN"" MANSION - LIVING ROOM - DAY",doc_23_chunk_0,"You said parties but you meant ORGIES, right?","Scene: In a cavernous room with semi-clad oil paintings; Charlie speaks to Ted and Uncle Billy, questioning the nature of the parties held there."
"24、INT. ""HEAVEN"" MANSION - LIVING ROOM - DAY",doc_23_chunk_0,Stick with me. I know their codes.,"Scene: In a cavernous room; Charlie speaks quietly to Ted, offering guidance about understanding the social environment."
"31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT",doc_30_chunk_0,Don't be such a pansy. All of this is YOURS.,Scene or location not specified: Charlie speaks to Ted about ownership or inheritance.
"31、INT. ""HEAVEN"" MANSION - UPSTAIRS CORRIDOR - NIGHT",doc_30_chunk_0,"I'd feel like staying up all night! Forever! Or at least till I got the LAY of the land, SO TO SPEAK.","Scene or location not specified: Charlie responds to Ted, expressing excitement or determination."
87、INT. SCHOOL CORRIDOR - DAY,doc_86_chunk_0,"Holy stinkers, what were you thinking?",
95、EXT. JULIE'S HOUSE - DAY,doc_94_chunk_1,He kicked major ass and you know it.,
87、INT. SCHOOL CORRIDOR - DAY,doc_86_chunk_1,"Next time, make sure you put a barf bag in the centerfold.",
64、INT. BUILDING CORRIDOR - DAY,doc_63_chunk_0,"You're late, bro!","Scene: Office location, Charlie speaks to Ted upon his arrival, expressing frustration about his tardiness."
64、INT. BUILDING CORRIDOR - DAY,doc_63_chunk_0,You'll never believe who's in there.,"Scene: Office location, Charlie speaks to Ted, hinting at someone unexpected being inside the room."
7、INT. BASKETBALL COURT - TECUMSEH HIGH SCHOOL - DAY,doc_6_chunk_1,"That vibe is from your wrist, pal. You've been over-tenderizing your meat, again.","Corridor scene: Charlie speaks to Ted about his perceived romantic 'vibe,' referencing Ted's masturbation habits."
95、EXT. JULIE'S HOUSE - DAY,doc_94_chunk_0,Page three.,Scene at Julie's front door; Charlie speaks to Julie as he hands her a magazine.
69、INT. SCHOOL GYMNASIUM - NIGHT,doc_68_chunk_5,"Here's the deal, Merk. Forget the ""rules and regulations"" malarkey and we'll give you seven minutes in heaven with the Taylor Triplets.","Scene: In a school setting, Charlie speaks to Principal Merkin, offering a deal involving the Taylor Triplets."
"30、INT. TED'S BEDROOM - ""HEAVEN"" MANSION - NIGHT",doc_29_chunk_0,Hurry.,"Scene: Charlie turns off the light and whispers to Ted, urging him to hurry."
"30、INT. TED'S BEDROOM - ""HEAVEN"" MANSION - NIGHT",doc_29_chunk_0,Check it out!,Scene: Charlie hands binoculars to Ted and directs him to look out the window.
"30、INT. TED'S BEDROOM - ""HEAVEN"" MANSION - NIGHT",doc_29_chunk_0,Beauty? No. We're talking GODDESS.,"Scene: Charlie corrects Ted's assumption about what he's seeing through the binoculars, referring to a woman by the pool."
7、INT. BASKETBALL COURT - TECUMSEH HIGH SCHOOL - DAY,doc_6_chunk_5,"I'm warning you. This is an
official warning. Danger, Will
Robinson, danger.","Scene: In a corridor, Charlie speaks to Ted as Ted walks away, warning him about the danger of reinventing himself."
