doc_title,chunk_id,text,scene_context
【闪回】 122.马冬梅家|内|夜,doc_121_chunk_0,祝咱俩新婚快乐！你放心！等我火了那天，你想要的 浪漫我都给你补上！,新婚庆祝，吃羊蝎子，与马冬梅对话
【闪回】 122.马冬梅家|内|夜,doc_121_chunk_0,向日葵？哦我明白了！寓意好！永远朝着光明的方向！,新婚庆祝，吃羊蝎子，与马冬梅对话
120.夏洛工作室|内|日,doc_119_chunk_3,张扬，借个火。,活动现场，夏洛向张扬借火。
120.夏洛工作室|内|日,doc_119_chunk_3,各位，我宣布！退出歌坛！,舞台上，夏洛宣布退出歌坛。
119.酒店总统套房|内|晨,doc_118_chunk_0,唉呀~Sorry！,房间内，夏洛踩到洋妞后道歉。
119.酒店总统套房|内|晨,doc_118_chunk_0,Morning!,房间内，夏洛与黑妞打招呼。
105.录制现场|内|日,doc_104_chunk_0,停！你刚才说什么？,节目现场，选手提及小屋后夏洛询问内容。
105.录制现场|内|日,doc_104_chunk_0,小屋？,节目现场，夏洛对选手提到的小屋一词表示疑问。
12.豪华酒店|内|日,doc_11_chunk_1,我一直在筹备我的演唱会，实在是太忙了。,同学会：张扬质问夏洛不参加同学会，夏洛解释筹备演唱会。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_5,还是你自己留着戴吧！,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_5,那你就更应该好好对冬梅了。我还有事，我先走了。,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_5,对了大春，我不是让你买房子吗？你买了吗？,
107.马冬梅家里|内|日-黄昏,doc_106_chunk_5,以后家里的亲戚就别联系了，能躲就躲，我走了。,
130.特护病房|内|日,doc_129_chunk_1,陈凯？,医院病房：夏洛与陈凯初次见面。
【闪回】 134.教室里|内|日,doc_133_chunk_0,我会在 你身边你左右……,座位上，给邱雅唱歌
118.豪华会所包房|内|夜,doc_117_chunk_0,我不怕旅途孤单寂寞,《人在旅途》尾声：夏洛在舞台上唱歌。
118.豪华会所包房|内|夜,doc_117_chunk_0,你也不会想念我,《人在旅途》尾声：夏洛在舞台上唱歌。
13.教室里|内|日,doc_12_chunk_0,离开真的残酷吗？或者….离开真的残酷吗？ 或者…离开真的残酷吗？,冬天元旦晚会：元旦联欢会舞台，夏洛演唱《伤心太平洋》
115.录音棚|内|日,doc_114_chunk_0,我不怕旅途孤单寂寞，只要你也想念我,夏洛录歌时
108.豪华会所包房|内|夜,doc_107_chunk_0,向着那梦中的地方去，错了我也不悔过….,包房内，夏洛与小姐们合唱《人在旅途》。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,冬梅，我曾经做过一个梦，梦见我俩结婚了，但日子 过的并不幸福，我整天喝大酒惹你生气。,在吃面场景中，夏洛与马冬梅讨论梦见结婚的梦
130.特护病房|内|日,doc_129_chunk_0,有没有粉丝来看我啊？,医院病房，与护士对话，主题为粉丝和换病房需求。
130.特护病房|内|日,doc_129_chunk_0,你撒谎，楼下那么多人排队等着见我。,医院病房，与护士对话，主题为粉丝和换病房需求。
130.特护病房|内|日,doc_129_chunk_0,我要换病房！给我找个有人气的病房。,医院病房，与护士对话，主题为换病房需求。
130.特护病房|内|日,doc_129_chunk_0,换！！！,医院病房，与护士对话，主题为换病房需求。
130.特护病房|内|日,doc_129_chunk_0,那你就去给我安排个病友进来！不管什么样的，我需要有个人陪陪！,医院病房，与护士对话，主题为需要病友。
106.筒子楼的户外走廊|外|日,doc_105_chunk_0,对不起，我找错门了。,筒子楼走廊，夏洛对开门男人说找错门
106.筒子楼的户外走廊|外|日,doc_105_chunk_0,钱没了可以挣，人没了就什么都没了。,筒子楼走廊，夏洛转身离开时说
130.特护病房|内|日,doc_129_chunk_3,邱雅，你就不能婉转一点吗？,邱雅提及死后财产，夏洛要求婉转
107.马冬梅家里|内|日-黄昏,doc_106_chunk_3,我们就挤在这四十平米的小屋里，每周二晚上停水， 一用微波炉就跳闸，每次上完厕所都要掀开马桶盖手动上水……,在小屋里，与马冬梅讨论生活问题
