doc_title,chunk_id,description,scene_context
外景，废屋阳台，日,doc_42_chunk_0,车夫的姐姐进了自己的房间。,
外景，街边，夜,doc_86_chunk_0,姐姐挤在人群中看着母子俩。,
内景，废屋，日,doc_45_chunk_0,对面楼里姐姐拿着诗人的一件衬衣从房间里走出来，站在阳台四处张望，寻找着诗人。,
外景，街边，夜,doc_84_chunk_0,姐姐也听到了刹车，张望着疾步向出事地点走去。,
外景，飞机酒吧，夜,doc_55_chunk_0,车夫的姐姐依偎在诗人的肩上，面露幸福。,露天酒吧，夜晚，人们在听歌。
内景，车夫家，晨,doc_23_chunk_0,姐姐从阁楼下上来推醒弟弟。,
内景，车夫家，晨,doc_23_chunk_0,姐姐在做饭。,
外景，街边，夜,doc_80_chunk_0,姐姐正往这边走来。,街边饭馆旁，节日气氛浓厚，孩子们在玩耍。
内景，车夫家，夜,doc_15_chunk_1,姐姐把菜倒进锅里,
内景，车夫家，夜,doc_15_chunk_1,姐姐边做饭边在注意听他们的谈话,
外景，街边，夜,doc_81_chunk_0,姐姐突然听见鸣笛声，转身一看，两辆救火车正飞快地鸣着笛从马路上开过。,
内景，诗人住处，夜,doc_89_chunk_0,姐姐坐在已被烧得一塌糊涂的诗人房间里，手中拿着诗人那张相片儿，泪流满面。身边是刚买的花。,
外景，废屋外阳台，日,doc_41_chunk_0,车夫的姐姐穿着一身红裙子，手里拿着个小皮挎包，她没把包挎在肩上，而是用手拎着抱带，一脸兴奋地直奔诗人住的那幢楼。,
外景，寺庙，深夜,doc_90_chunk_0,姐姐哭着挤在一个大香炉前，边烧香边流泪，悲痛欲绝。,寺庙外，临近子时，众人烧香祈福。
内景，诗人住处，日,doc_57_chunk_0,姐姐和两个妓女在兴奋地玩闹。她们每人手里都拿着塑料水枪相互射击，或者干脆拿舀水的用具往对方身上泼，大声尖叫着。每个人身上都湿淋淋的。,
内景，诗人住处内外，日,doc_30_chunk_5,姐姐呆了一会儿，开始脱掉裙子，然后再脱掉内裤，正要蹲下。,
内景，诗人住处内外，日,doc_30_chunk_5,姐姐在脸盆上叉开双腿，开始小便。,
外景，原野，日,doc_68_chunk_0,姐姐穿了件红色连衣裙，头上扎着头巾，从后面抱着诗人的腰，头巾在风中飘动。,乡间的公路上，诗人骑摩托车载着姐姐奔驰在乡间原野。
外景，花市，夜,doc_76_chunk_0,车夫的姐姐在花摊前转悠着，她已经买了一大堆花。,年三十夜晚热闹的花市。
外景，花市，夜,doc_76_chunk_0,姐姐脸上的伤已经全好了，她看上去很高兴。,年三十夜晚热闹的花市。
外景，垃圾堆旁，日,doc_34_chunk_0,车夫的姐姐坐在一大片垃圾堆边的一个凳子上，神色忧郁。,
外景，垃圾堆旁，日,doc_34_chunk_0,姐姐把头靠在诗人的肩上。,
外景，垃圾堆旁，日,doc_34_chunk_0,车夫的姐姐闭眼坐在那儿。,
内景，诗人住处，拂晓,doc_51_chunk_0,车夫的姐姐在房间里来回走着，她穿着一件蓝色连衣裙。,
内景，诗人住处，拂晓,doc_51_chunk_0,姐姐走到床边一张椅子上坐下来。,
内景，诗人住处，拂晓,doc_51_chunk_0,姐姐走到他身边，蹲下，拿起诗人受伤的手吻着。,
外景，街道，日,doc_24_chunk_0,车夫的姐姐穿着一身白色的越南传统服装，坐在车夫的三轮车上，怀中抱着一个黑色大书包，青春而亮丽。,早晨热闹的街道。
外景，街道，日,doc_24_chunk_0,姐姐冲她们招招手，车夫把车靠在路边，姐姐下了车，和她的同学向学校走去。,早晨热闹的街道，路边。
外景，公园小河边，日,doc_91_chunk_0,车夫的姐姐坐在公园小河边的一张椅子上，凝望着河水，一脸悲伤的沉思。,公园小河边，白天，有家庭在野餐。
外景，公园小河边，日,doc_91_chunk_0,姐姐被小孩牵着，但目光却一直追随着那个牵着孩子漫步的少妇背影。,公园小河边，小孩邀请姐姐一起吃饭。
外景，街边，夜,doc_8_chunk_0,车夫的姐姐担着一挑水走过来。,热闹的街边夜市，人们在一个个小商摊前流连往返。
外景，街边，夜,doc_8_chunk_0,她把水在一个摊位前放下，拎起水桶把水倒进摊位前的一个水缸里。,热闹的街边夜市，人们在一个个小商摊前流连往返。
内景，诗人父母家，日,doc_35_chunk_0,姐姐半含羞怯地听着，神色像个刚谈恋爱的少女。,诗人父母家中，母亲与姐姐交谈时。
内景，诗人父母家，日,doc_35_chunk_0,姐姐看着诗人的母亲离去，然后很温柔地看着诗人。,诗人父母家中，母亲离开去拿相片时。
内景，诗人父母家，日,doc_35_chunk_0,姐姐伸手抚摸了一下他的肩膀。,诗人父母家中，母亲离开后，诗人忧郁地坐着时。
内景，诗人父母家，日,doc_35_chunk_1,车夫的姐姐抓着他的衣袖。,
内景，诗人父母家，日,doc_35_chunk_1,车夫的姐姐像什么事都没发生一样，微笑着看着诗人的母亲。,
内景，诗人父母家，日,doc_35_chunk_1,姐姐接过相片儿，相片儿上是诗人五岁时穿着一套有小花的白色服装站在公园里照的相。,
内景，诗人父母家，日,doc_35_chunk_1,姐姐也在流泪。,
外景，街边，夜,doc_18_chunk_0,车夫的姐姐在灶前烧火煎东西。,街边的一个简易饭馆内，几个男女在厨灶前忙碌。
外景，街边，夜,doc_18_chunk_0,姐姐在炸着东西，炉火映照的脸全是汗。,街边的一个简易饭馆内，两个残疾男青年在饭馆中央唱歌。
外景，街边，夜,doc_18_chunk_0,姐姐掀起衣角擦擦脸上的汗。,街边的一个简易饭馆内，两个残疾男青年在饭馆中央唱歌。
外景，乡村旅馆前，黄昏,doc_69_chunk_0,姐姐仰躺在椅子上，诗人用瓢慢慢往姐姐头发上倒水。,旅馆前，夕阳下，诗人给姐姐洗头。
外景，乡村旅馆前，黄昏,doc_69_chunk_0,姐姐洗好了，坐起来，抹着头上的水。,旅馆前，洗头结束后。
外景，乡村旅馆前，黄昏,doc_69_chunk_0,姐姐看见了诗人要伸手去摘花。,诗人走向树准备摘花时。
外景，乡村旅馆前，黄昏,doc_69_chunk_0,姐姐气得把舀水的瓢扔过去。,诗人摘下花后，姐姐的反应。
内景，诗人住处内外，日,doc_30_chunk_2,车夫的姐姐迎面走过来，她看了看走过去的姑娘，然后看看阳台上的诗人，低下头向楼梯走来，走到楼下，她站住了，抬头望着诗人。,
内景，诗人住处内外，日,doc_30_chunk_2,姐姐侧身站在门外，一脸伤感。,
内景，诗人住处内外，日,doc_30_chunk_2,姐姐慢慢走进门，绕着屋慢慢走，走到厨房的水池边，站住了。,
内景，诗人住处内外，日,doc_30_chunk_2,姐姐突然回过头看着诗人。,
内景，诗人住处内外，日,doc_30_chunk_2,姐姐的眼泪下来了。,
内景，夜总会，夜,doc_70_chunk_0,姐姐穿着件低胸的黑色晚礼服在昏暗的舞池里随着慢节奏的音乐轻摇着身子，姐姐的节奏感很好，不时微笑着向诗人坐的地方看去。,舞池内，慢节奏音乐中。
内景，夜总会，夜,doc_70_chunk_0,姐姐随着音乐摇摆着，美丽而性感。,舞池内，持续跳舞。
内景，夜总会，夜,doc_70_chunk_0,姐姐沉浸在音乐里，仿佛那边的交易与自己无关。,舞池内，诗人与老板进行交易时。
内景，夜总会，夜,doc_70_chunk_0,姐姐看了一眼那边的老板。,诗人低声对她说话后。
内景，诗人住处，日,doc_40_chunk_0,车夫的姐姐正在脱身上穿着的红色裙子。,
内景，诗人住处，日,doc_40_chunk_0,姐姐已经没有了上一次那种惊恐，她安静地做着一切。,
