doc_title,chunk_id,fact,scene_context
十一 缘了,doc_11_chunk_9,依云化为灰烬,
十 故梦,doc_10_chunk_3,依云当场摔死。,山谷
九 封印,doc_9_chunk_6,依云几乎站不住脚。,飘岩斋门前，乐娘作法后。
十 故梦,doc_10_chunk_2,依云成为经略的爱姬。,府中
九 封印,doc_9_chunk_4,依云与何云青一起从房间飞出。,房间内
八 恨晚,doc_8_chunk_4,依云离开了馆中,馆中
十一 缘了,doc_11_chunk_5,另一个与依云一模一样的角色进入场景。,门外，依云欲喂何云青时。
十 故梦,doc_10_chunk_7,依云与何云青分离,斗法后，喇嘛命令依云躲开
十 故梦,doc_10_chunk_1,依云的箫曲演奏完毕,韩经略府中屋内
八 恨晚,doc_8_chunk_10,依云跌入何云青的怀抱。,山丘上，夜深时
八 恨晚,doc_8_chunk_10,依云确认四周无人。,山丘上，夜深时
八 恨晚,doc_8_chunk_10,依云与何云青紧紧拥抱。,山丘上，夜深时
九 封印,doc_9_chunk_0,依云逐渐苏醒了,
八 恨晚,doc_8_chunk_9,依云在山丘上摘取醒酒草。,山丘旁
八 恨晚,doc_8_chunk_6,依云与何云青在后山山路上行走。,后山山路
十一 缘了,doc_11_chunk_6,依云被老张捏住正在挣扎。,
十一 缘了,doc_11_chunk_7,两个依云纠斗在一起,
