doc_title,chunk_id,text,scene_context
17、洞子火锅店，夜，内,doc_16_chunk_0,还要放上瓷砖，那就行了。,桌子旁，许东与眼镜讨论锅的修补。
60、洞子火锅店，日，内,doc_59_chunk_2,刘波，我想起来了，我的口袋里，有一把小刀。,火锅店：被绑的四人中，许东对刘波提及口袋里有小刀。
32、某露天餐馆，日，外,doc_31_chunk_0,于小慧以前喜欢你我们知道，但什么时候给过你一封信？,在餐厅吃饭时，许东、刘波和眼镜讨论于小慧的信。
32、某露天餐馆，日，外,doc_31_chunk_0,不可能，我抢他的信干什么？,在餐厅吃饭时，许东与眼镜对话。
32、某露天餐馆，日，外,doc_31_chunk_0,怎么可能会在我那儿？又不是写给我的信。你赶紧回去找一下吧！,在餐厅吃饭时，许东与刘波和眼镜对话。
43、洞子火锅店，夜,doc_42_chunk_1,他真的没钱。,与七哥对话，主题：刘波没钱
43、洞子火锅店，夜,doc_42_chunk_1,七哥，是不是个误会啊？,与七哥对话，主题：误会
43、洞子火锅店，夜,doc_42_chunk_2,怎么回事还用问吗？,火锅店门口，许东与眼镜对话，主题为事件原因。
14、火锅店宿舍，夜,doc_13_chunk_2,我们自己搞扩建，这是非法的。这是最后的办法啦，没有钱啊！,与刘波讨论扩建和资金问题
14、火锅店宿舍，夜,doc_13_chunk_2,那个车是我老婆送给我的，亏你想的出来。,与刘波讨论车的来源
14、火锅店宿舍，夜,doc_13_chunk_2,外公，你不要听他的，我还是个处男。,对外公解释处男状态
14、火锅店宿舍，夜,doc_13_chunk_2,乱说，早就不是了。,与刘波反驳处男说法
24、洞子火锅店，夜，内,doc_23_chunk_1,你喝多了？,酒桌聚会，许东与眼镜对话
24、洞子火锅店，夜，内,doc_23_chunk_1,刘波，你跟于小慧喝一个吗。,酒桌聚会，许东与刘波对话
24、洞子火锅店，夜，内,doc_23_chunk_1,你不要再喝了。,酒桌聚会，许东阻止眼镜继续喝酒
16、银行金库，夜，内,doc_15_chunk_0,眼镜，上面是什么？,银行金库，与眼镜对话，讨论金库入口情况
16、银行金库，夜，内,doc_15_chunk_0,眼镜，拉我一把。,银行金库，与眼镜对话，请求帮助爬出洞
16、银行金库，夜，内,doc_15_chunk_0,哎呀，你踩到我了。,银行金库，与眼镜对话，被踩到时的抱怨
16、银行金库，夜，内,doc_15_chunk_0,怎么了？,银行金库，与眼镜对话，询问钞票情况
16、银行金库，夜，内,doc_15_chunk_0,管你妈是谁的钱。,银行金库，与眼镜对话，对钞票来源的回应
19、街道，夜，外,doc_18_chunk_0,刚才三土给我打了个电话，我们有个同学在那个地方上班。,街道：与刘波和眼镜讨论同学上班事宜。
19、街道，夜，外,doc_18_chunk_0,女同学。说普通话的。,街道：与刘波和眼镜确认同学是女同学。
24、洞子火锅店，夜，内,doc_23_chunk_2,去搞装修。,饭桌：许东离开饭桌时提及装修
24、洞子火锅店，夜，内,doc_23_chunk_2,本来就是副业，无所谓。想做就做，不想做就关了。,饭桌：许东对於小慧解释生意为副业
43、洞子火锅店，夜,doc_42_chunk_4,不要打了。,街头，许东对人群喊不要打。
43、洞子火锅店，夜,doc_42_chunk_4,七哥，给我点面子嘛，我许东在这儿一片也是有点面子的。,街头，许东对七哥要求面子。
67、医院天台上，日，外,doc_66_chunk_0,那个，以前我们的店不是封了吗？我们想再开一个，反正老子也离婚了，以后的全部精力只能放在事业上了。眼镜也不去北京了。,在天台上，许东与刘波、眼镜讨论开火锅店计划。
67、医院天台上，日，外,doc_66_chunk_0,那见义勇为的奖金不是要发了吗？我们都拿出来应该够了。,在天台上，许东回应刘波关于资金的询问。
67、医院天台上，日，外,doc_66_chunk_0,什么乱整吗？上个店赔钱又不是我造成的。眼镜，你说是不是。,在天台上，许东反驳刘波的指责。
57、洞子火锅店，日，内,doc_56_chunk_0,刘波？眼镜？,场景：火锅店内，许东呼唤刘波和眼镜。
57、洞子火锅店，日，内,doc_56_chunk_0,你们再不下来我就吃了啊！,场景：火锅店内，许东等待刘波和眼镜。
57、洞子火锅店，日，内,doc_56_chunk_0,你们是谁？干什么？,场景：火锅店内，劫匪出现后，许东质问。
57、洞子火锅店，日，内,doc_56_chunk_0,这个火锅店还没开业是吧！好，我改天再来吃。,场景：火锅店内，劫匪出现后，许东假装火锅店未开业。
57、洞子火锅店，日，内,doc_56_chunk_0,我真的是来吃火锅的。,场景：火锅店内，被劫匪拖走时，许东澄清。
24、洞子火锅店，夜，内,doc_23_chunk_3,我们没有演戏，那是眼镜喝多了。,酒局中，许东对刘波说话，主题为演戏误会和送于小慧离开。
24、洞子火锅店，夜，内,doc_23_chunk_3,刘波，你先送于小慧走，啊，走！,酒局中，许东对刘波说话，主题为演戏误会和送于小慧离开。
