doc_title,chunk_id,text,scene_context
26、INT. E BLOCK - DAY,doc_25_chunk_11,What? Whad'ja say?,Percy asks Brutal to repeat his statement.
34、INT. COFFEY'S CELL - DAY,doc_33_chunk_7,"Well, well. Looks like you found yourself a new friend, Eddie.",Speaking to Eddie about a new friend
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,doc_32_chunk_0,"Adios, Chief. Drop us a card from hell, let us know if it's hot enough.","Morgue, Percy says goodbye to Bitterbuck."
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_9,Dead man walking! Dead man--,"Corridor, Percy leading Coffey and shouting 'Dead man walking!'"
30、INT. E BLOCK - DAY,doc_29_chunk_10,What's with the sponge?,"Behind the partition, Percy speaks with VAN HAY about the sponge"
59、INT. EXECUTION CHAMBER - DAY,doc_58_chunk_0,Roll on two.,"Steel cap being lowered, Percy speaking to Van Hay"
26、INT. E BLOCK - DAY,doc_25_chunk_13,I know what I was doing. Trying to get the mouse. You blind?,"Prison, speaking to Paul about trying to get a mouse."
26、INT. E BLOCK - DAY,doc_25_chunk_13,"So what? They aren't in cradle-school, case you didn't notice...","Prison, speaking to Paul about the inmates not being in cradle-school."
60、INT. E BLOCK - DAY,doc_59_chunk_2,"Del! Hey, you numb wit, I didn't mean nothin' by it! You all ri--",The Mile: Percy apologizes to Del after Brutal's outburst.
26、INT. E BLOCK - DAY,doc_25_chunk_15,I think of it as a bucket of piss to drown rats in. That's all. (scans their faces) Anybody doesn't like it can kiss my ass. How's that sit?,"On a city block, Percy speaks to a group (Brutal, Paul) with a harsh statement."
26、INT. E BLOCK - DAY,doc_25_chunk_15,Try it. You'll be on the bread lines before the week is out.,"On a city block, Percy challenges Brutal after he steps forward."
26、INT. E BLOCK - DAY,doc_25_chunk_15,Big talk. You done?,"On a city block, Percy responds to Paul's threat."
26、INT. E BLOCK - DAY,doc_25_chunk_6,Yaaaahhh!,"Percy's war cry and baton throw scare a mouse, causing it to flee to the restraint room."
60、INT. E BLOCK - DAY,doc_59_chunk_1,"Well, that's just aces. Pop back in your cell, old-timer.",Cell block: Percy speaks to Del about the audience's reaction to Mr. Jingles.
61、INT. DEL'S CELL - DAY,doc_60_chunk_12,Don't start in on me. It was just a mouse. Never belonged here in the first place.,EXECUTION CHAMBER: Percy is polishing Old Sparky and speaks to Paul about a mouse
34、INT. COFFEY'S CELL - DAY,doc_33_chunk_9,"I think it'll shit up his nose some night and run away, but I guess that's Del's lookout. (beat) We oughtta find a cigar box. Get some cotton batting from he dispensary to line it with. That should do real nice.",In a conversation about Del's idea of keeping a mouse as a pet
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_8,Dead man walking!,"Inside the cellblock, Percy yells about a dead man walking."
34、INT. COFFEY'S CELL - DAY,doc_33_chunk_8,That the one I chased?,Percy and Paul discuss the person Percy chased.
34、INT. COFFEY'S CELL - DAY,doc_33_chunk_8,Is that so?,Percy and Paul discuss the name Mr. Jingles.
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,doc_32_chunk_1,What's up his ass?,Percy and Paul in an unspecified location; discussing the new boy and a potential job at Briar Ridge.
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,doc_32_chunk_1,You gotta hate the new boy? That the way it is around here?,Percy and Paul in an unspecified location; discussing the new boy and a potential job at Briar Ridge.
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,doc_32_chunk_1,"I might take it, too. Soon as you put me out front.",Percy and Paul in an unspecified location; discussing the new boy and a potential job at Briar Ridge.
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,doc_32_chunk_2,You heard me. I want Brutal's spot for the next execution.,Percy and Paul discuss Brutal's spot for the next execution.
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,doc_32_chunk_2,"I wanna be out front, is all. Just one time. Then you'll be rid of me.",Percy and Paul discuss Brutal's spot for the next execution.
33、INT. E BLOCK ACCESS TUNNEL - NIGHT,doc_32_chunk_2,"I might just stick around for good, make me a career of this.",Percy and Paul discuss Brutal's spot for the next execution.
61、INT. DEL'S CELL - DAY,doc_60_chunk_6,"Know I'd get him sooner or later. Just a matter of time, really.",Percy speaks to Brutal and Paul after killing Mr. Jingles.
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_12,"Wiped that grin off your shitpoke face, didn't I","At Del's bars, Percy speaks to Del after smashing his fingers."
40、INT. BRIAR RIDGE MENTAL HOSPITAL - MORNING,doc_39_chunk_2,"Hellraiser, huh? Looks more like a limp noodle to me. Hey! Hey, you!","Speaking to Billy about being declared competent and the electric chair, then helping Billy into pants."
40、INT. BRIAR RIDGE MENTAL HOSPITAL - MORNING,doc_39_chunk_2,"You been declared competent! Know what that means? Mean's you're gonna ride the lightning, son!","Speaking to Billy about being declared competent and the electric chair, then helping Billy into pants."
40、INT. BRIAR RIDGE MENTAL HOSPITAL - MORNING,doc_39_chunk_2,Bzzzzzzzzt-zap! Just like that! How's it feel to know you're gonna die with your knees bent?,"Speaking to Billy about being declared competent and the electric chair, then helping Billy into pants."
61、INT. DEL'S CELL - DAY,doc_60_chunk_14,"You're playing with me, the both of you! Just who the hell do you think you are--",Electric chair: Percy confronted by Brutal and Paul over switching.
