doc_title,chunk_id,text,scene_context
14、INT. CAFE -- MORNING,doc_13_chunk_2,"Hi. I'm one and this is two, three, four and five.","After Daniel introduces Zero, Sami jokes about counting people."
116、EXT. GRANT PARK -- DAY,doc_115_chunk_0,"You set me up, you piece of shit!","Near statue, Sami confronts Hadley about being set up."
116、EXT. GRANT PARK -- DAY,doc_115_chunk_0,What are you doing?,"Hadley frisks Sami against statue, Sami asks what he's doing."
116、EXT. GRANT PARK -- DAY,doc_115_chunk_0,Wired? I ain't wired.,"Hadley questions if Sami is wired, Sami denies."
20、EXT. WAREHOUSE -- MORNING,doc_19_chunk_0,Ouh La La.,"At a door, Sami speaks to Sophie upon her appearance."
165、INT. COTTAGE -- MORNING,doc_164_chunk_0,I'm more of a whiskey drinker myself.,"Room with Zero passed out, others up all night; Raymond and Sami at table discussing drinks to distract from recent events."
165、INT. COTTAGE -- MORNING,doc_164_chunk_0,Glenmorangie.,"Room with Zero passed out, others up all night; Raymond and Sami at table discussing drinks to distract from recent events."
171、EXT. COZY COURTS -- MORNING,doc_170_chunk_0,Same place. One hour.,"On street, Sami arranges meeting at same place in one hour."
209、EXT. ACROSS THE RIVER -- AFTERNOON,doc_208_chunk_0,Did you have to use that much explosive?,"Wreckage site, Sami questions Daniel about explosive amount."
34、INT. SOPHIE'S WAREHOUSE -- LATER -- AFTERNOON,doc_33_chunk_0,"No, I like the bag. It would be good for the job tonight.",Room: Sami and Sophie discuss the bag's use for the job tonight.
12、INT. CAFE -- LATIN QUARTER -- DAY,doc_11_chunk_0,"Oh, Marcel! I thought you were somebody else. If I knew it was you I would have never run.","Bar, Sami speaking to Marcel after running from the back."
12、INT. CAFE -- LATIN QUARTER -- DAY,doc_11_chunk_0,You're probably here for the money I owe you.,"Bar, Sami speaking to Marcel after running from the back."
12、INT. CAFE -- LATIN QUARTER -- DAY,doc_11_chunk_0,I don't have it.,"Bar, Sami speaking to Marcel after running from the back."
19、EXT. STREET -- MORNING,doc_18_chunk_6,You put a loaded gun in your bag and brought it through customs? How stupid is that?,"After others leave, Sami confronts Zero about the gun."
173、EXT. GRANT PARK -- MORNING,doc_172_chunk_0,What the fuck was all that about at the hotel last night? I thought we had a deal?,"At the statue, Sami confronts Hadley about the hotel incident and a broken deal."
173、EXT. GRANT PARK -- MORNING,doc_172_chunk_0,The lamp?,"At the statue, Sami asks about the lamp after Hadley opens the box."
163、INT. COTTAGE -- EVENING,doc_162_chunk_1,What's he joking around for? He's been shot.,"Counter: Sami reacts to Zero's wink and comment about his long one, noting Zero has been shot."
19、EXT. STREET -- MORNING,doc_18_chunk_2,Let me handle this.,Sami speaks to Lamar after Lamar steps forward.
19、EXT. STREET -- MORNING,doc_18_chunk_2,"Hey, brother. What's happening, man?",Sami greets Lamar with a hand raise.
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_2,No.,Marcel claims the ball is his and demands it; Sami refuses.
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_2,No!,Marcel directly demands the ball from Sami; Sami refuses again.
174、EXT. STREET CORNER -- MORNING,doc_173_chunk_0,"See, I told you that you could trust me.","After Daniel arrives, Sami speaks to Lamar about trust."
138、INT. HOLIDAY HOTEL SUITE-- LATER -- DUSK,doc_137_chunk_1,He's right. The tapes give us leverage with Bastaldi.,Sami agrees with Zero that the tapes provide leverage with Bastaldi.
118、EXT. GRANT PARK -- DAY,doc_117_chunk_0,You want the tapes for yourself. You're going to sell them.,Confrontation with Agent Hadley; Sami accuses him of wanting to sell the tapes
26、INT. SOPHIE'S WAREHOUSE -- AFTERNOON,doc_25_chunk_0,I can't even hear myself think.,"Apartment living room, group discussing loud music from neighbors."
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_3,Perfect.,"On a bridge, Sami speaks with Marcel after the baseball falls into the river."
24、INT. COFFEE SHOP -- LATER -- AFTERNOON,doc_23_chunk_0,After the outside alarm is off we go in through the bedroom window.,"At a table, discussing the alarm system and entry method with Sophie, Julien, and Daniel."
116、EXT. GRANT PARK -- DAY,doc_115_chunk_1,You killed her!,"In a room, Sami and Agent Hadley discuss a murder after Sami shows his bare chest and drops his pants."
116、EXT. GRANT PARK -- DAY,doc_115_chunk_1,Bullshit! She was alive when we left her with you.,"In a room, Sami and Agent Hadley discuss a murder after Sami shows his bare chest and drops his pants."
116、EXT. GRANT PARK -- DAY,doc_115_chunk_1,"Look, I just want out of this nightmare. I don't know these guys. A few days ago I'm in Paris picking pockets and now I'm America's most wanted.","In a room, Sami and Agent Hadley discuss a murder after Sami shows his bare chest and drops his pants."
