doc_title,chunk_id,fact,scene_context
大话西游(9),doc_8_chunk_3,紫霞感动得泪流满面。,
大话西游(12),doc_11_chunk_5,紫霞被牛魔王抓了。,
大话西游(12),doc_11_chunk_0,至尊宝在昏迷中梦见了紫霞。,盘丝洞中，至尊宝昏迷期间
大话西游(7),doc_6_chunk_5,紫霞离开了现场。,郊外
大话西游(12),doc_11_chunk_8,紫霞的金铃挂在树枝上。,至尊宝醒来时
大话西游(13),doc_12_chunk_5,紫霞被牛魔王抓住。,高台，牛魔王打败四人后
大话西游(13),doc_12_chunk_7,紫霞成为牛家的人。,婚礼仪式
大话西游(12),doc_11_chunk_7,紫霞已释然并充满对明天的憧憬与希望。,
大话西游(14),doc_13_chunk_6,紫霞确认了金铃是她的,金铃掉落场景
大话西游(14),doc_13_chunk_6,紫霞被钢叉刺中,牛魔王攻击场景
大话西游(10),doc_9_chunk_6,紫霞昏倒在地。,
大话西游(10),doc_9_chunk_5,紫霞被调换,逃走途中，香香使用移形换影大法调换紫霞与猪八戒
大话西游(13),doc_12_chunk_4,紫霞斩断了青霞的绳索。,拜堂仪式
大话西游(11),doc_10_chunk_0,紫霞体内有另一个声音。,沙僧与香香身体调换后，紫霞体内发出两个声音。
大话西游(11),doc_10_chunk_0,紫霞与至尊宝在场景中相见。,青霞抱着至尊宝时，紫霞与至尊宝相见。
大话西游(7),doc_6_chunk_4,紫霞处于至尊宝体内。,至尊宝体内
大话西游(14),doc_13_chunk_5,紫霞被芭蕉扇吹飞,
