doc_title,chunk_id,fact,scene_context
119、INT. NARROW PASSAGEWAY - UNDER THE PALACE,doc_118_chunk_0,"Flash crashes into four soldiers, causing them to be sent flying.",
121、INT. DUNGEON,doc_120_chunk_0,"Flash unlocks the door to free Zarkov, Barin, and Tiger Man.",
118、INT. UNDER THE PALACE,doc_117_chunk_0,Flash successfully causes two soldiers to faint by projecting a fearsome shadow and declaring himself the ghost of murdered good men.,
41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK,doc_40_chunk_0,Flash follows Aura after she takes his hand.,
12、INT. COCKPIT - CONTINUOUS,doc_11_chunk_0,Flash takes control of the aircraft's flight controls during a dive.,
12、INT. COCKPIT - CONTINUOUS,doc_11_chunk_0,"Flash has received at least some flight training, as he has had a couple of lessons.",
33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,doc_32_chunk_11,Flash intervenes to prevent Zarkov from being taken by the armored men.,
33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,doc_32_chunk_11,Flash asserts that he and Zarkov will remain together.,
33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,doc_32_chunk_18,The target character initially fails to take action due to paralysis and indecision.,
33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,doc_32_chunk_18,The target character makes a decision to act and physically attacks the nearest pair of Amazons.,
44、INT. UPPER PALACE AREA - CORRIDOR,doc_43_chunk_0,"Flash is wearing a Mongo costume consisting of boots, cape, and headdress.",
44、INT. UPPER PALACE AREA - CORRIDOR,doc_43_chunk_0,Flash physically stops Aura by seizing her shoulders.,
141、INT. MING'S GREAT HALL,doc_140_chunk_5,The target character retrieves a sword from the crystal block.,Scene where Flash's voice reveals the sword's origin to Ming.
141、INT. MING'S GREAT HALL,doc_140_chunk_5,The sword retrieved by the target character is identical to Ming's sword and composed of fire.,Scene where Ming observes the sword appearing in the air.
106、EXT. CAPSULE,doc_105_chunk_1,Flash is totally invisible.,"Ext. Capsule: Barin observes that Flash casts a shadow despite being invisible, confirming his invisibility."
