doc_title,chunk_id,fact,scene_context
"120、INT. ""WINTER PALACE,"" RUSSIA - LATE NIGHT,",doc_119_chunk_6,"Benjamin Button is from New Orleans, Louisiana.",
"126、INT. DINING ROOM, ""WINTER PALACE,"" RUSSIA - NIGHT,",doc_125_chunk_2,Benjamin Button experiences his first kiss from a woman.,Benjamin sits in the empty dining room after a woman kisses him and leaves.
"153、EXT. A LIBERTY SHIP, THE NORTH ATLANTIC - DUSK,",doc_152_chunk_1,Benjamin Button is 26 years old in the spring of 1945.,"Narration during scene depicting Benjamin on a ship, standing at the railing."
"171、INT. WORK FLOOR, BUTTON FACTORY - NEW ORLEANS - NIGHT",doc_170_chunk_1,Thomas Button explicitly acknowledges Benjamin Button as his son.,
"141、INT. LOBBY, ""WINTER PALACE,"" RUSSIA - EARLY MORNING,",doc_140_chunk_0,Benjamin Button becomes a member of the United States Navy through the commissioning of the Chelsea.,Scene where Captain Mike announces the Chelsea's commissioning in the bar following Pearl Harbor.
"179、EXT. THE BUTTON SUMMER HOME, LAKE PONTCHARTRAIN - SUNRISE",doc_178_chunk_2,Benjamin Button buries his father in the Button family plot.,
"167、INT. BENJAMIN'S ROOM, NOLAN HOUSE - NIGHT,",doc_166_chunk_3,Benjamin recognizes Thomas Button when he sees him.,"Scene in which Thomas Button, now in his fifties and using crutches, appears at the doorway."
"181、INT. BUTTON FACTORY, NEW ORLEANS - DAY,",doc_180_chunk_2,Benjamin Button announces that the employees will receive a share in the ownership of the factory based on their length of employment.,
"179、EXT. THE BUTTON SUMMER HOME, LAKE PONTCHARTRAIN - SUNRISE",doc_178_chunk_0,Benjamin physically carries his father down a set of steep steps leading to the lake.,"At the old summer home, during the arrival sequence where the wheelchair cannot navigate the steps."
"181、INT. BUTTON FACTORY, NEW ORLEANS - DAY,",doc_180_chunk_0,Benjamin reveals his full name as Benjamin Button for the first time.,"Scene at the mezzanine of a factory, where Benjamin addresses workers below."
"196、EXT. THE NOLAN HOUSE - AN EARLY EVENING,",doc_195_chunk_0,Benjamin Button receives a telegram delivered by a Western Union messenger.,
"172、INT. THE BUTTON HOUSE, THE GARDEN DISTRICT - NIGHT,",doc_171_chunk_5,Benjamin decides to leave the meeting with Thomas Button without accepting his offer.,
"172、INT. THE BUTTON HOUSE, THE GARDEN DISTRICT - NIGHT,",doc_171_chunk_5,Benjamin identifies his destination as home when questioned by Thomas Button.,
"141、INT. LOBBY, ""WINTER PALACE,"" RUSSIA - EARLY MORNING,",doc_140_chunk_2,Benjamin volunteers to take the job of cooking on the ship.,Scene where the crew discusses responsibilities before going to war.
"141、INT. LOBBY, ""WINTER PALACE,"" RUSSIA - EARLY MORNING,",doc_140_chunk_2,Benjamin is accepted as an able-bodied man eligible to serve on the ship.,Scene where Captain Mike approves Benjamin's offer to cook and welcomes him aboard.
"154、EXT. THE NOLAN HOUSE, NEW ORLEANS - TWILIGHT,",doc_153_chunk_0,Benjamin returns to the old house after traveling the world.,Scene: Benjamin arrives at the old house with a suitcase.
"154、EXT. THE NOLAN HOUSE, NEW ORLEANS - TWILIGHT,",doc_153_chunk_0,Benjamin is perceived as a strikingly handsome man in his fifties upon his return.,Scene: Benjamin arrives at the old house with a suitcase.
"179、EXT. THE BUTTON SUMMER HOME, LAKE PONTCHARTRAIN - SUNRISE",doc_178_chunk_1,Benjamin carries his father on his back down the steps to the dock.,
"179、EXT. THE BUTTON SUMMER HOME, LAKE PONTCHARTRAIN - SUNRISE",doc_178_chunk_1,Benjamin helps his father sit in a wooden deck chair.,
"142、INT. BENJAMIN'S ROOM, ""WINTER PALACE"" LATER,",doc_141_chunk_0,Benjamin Button receives a note left under his door at a small Russian hotel.,"Benjamin's room at a small Russian hotel, after returning to find an envelope under the door."
"142、INT. BENJAMIN'S ROOM, ""WINTER PALACE"" LATER,",doc_141_chunk_0,Benjamin Button decides to go to war.,"Benjamin's room at a small Russian hotel, after reading the note."
"151、EXT. TUGBOAT, ATLANTIC OCEAN - NIGHT,",doc_150_chunk_0,Benjamin Button is injured by a bullet that cuts open his forehead.,The tugboat is strafed by a German submarine's machine gun fire.
