scene,question,answer,evidence,qa_type
14、INT. BARAGWANATH MORTUARY - DAY,How do the children's bodies appear?,"Some in torn, dirty clothes, others naked, some mutilated, others whole but with small holes and blood","They belong to children, some in torn, dirty clothes, others naked, some mutilated, others whole and seemingly unharmed, as if asleep, until the small, neat hole in temple or chest and the small crust of blood is brought to our attention",detailed description
28、EXT. DAN PIENAAR SCHOOL - PLAYING FIELDS - DAY,What does Gordon believe is necessary for him to have peace?,Knowing how his son died and where he was buried.,Gordon: 'How can I have peace? I must know how my son died...',dialogue/beliefs
28、EXT. DAN PIENAAR SCHOOL - PLAYING FIELDS - DAY,What does Gordon believe could have prevented Jonathan's death?,If someone had heard their concerns.,Gordon: 'If we had... if someone heard what we had to say this would not have happened.',dialogue/beliefs
12、INT. GORDON'S HOUSE - EVENING,What does Gordon ask the girl about?,Are you sure it was Jonathan they took away?,GORDON (to girl) Are you sure it was Jonathan they took away?,dialogue/beliefs
4、EXT. DUTCH REFORM CHURCH - DAY,"In [4、EXT. DUTCH REFORM CHURCH - DAY], What is Mrs. Coetzee's emotional state?",Drawn and worried,"Mrs. Coetzee (WOMAN) He won't come to church. He lies in bed all day, listening to his headphones.",character states
63、EXT. GARAGE - DAY,"In [63、EXT. GARAGE - DAY], What is Ben's emotional state during his conversation with Stanley?",Confused.,Ben is confused and Stanley is staring at him.,character states
16、INT. STANLEY'S TAXI - DAY,What group does 'Boers' denote in the context?,Descendants of Dutch settlers in South Africa.,STANLEY: Those Boers... the bastards'll kick him around till they lose him.,terminology/abbreviation/concept
6、INT. BEN'S KITCHEN - DAY,Why is Gordon concerned about a police record for his son?,Because it would make it difficult for Jonathan to get a job.,It will be there for the rest of his life and make it difficult for him to get a job in the future.,causal/relational queries
18、INT. BEN'S DEN - MORNING,"In [18、INT. BEN'S DEN - MORNING], What is Johan's behavioral state?",Engaged in an imaginary boxing match,having an imaginary boxing match,character states
67、INT. FUNERAL PARLOR - DAY,"In [67、INT. FUNERAL PARLOR - DAY], What is Ben's emotional state when he sees Gordon's body?",Horror and shock,looks at the wounds with horror and is ashen,character states
67、INT. FUNERAL PARLOR - DAY,"In [67、INT. FUNERAL PARLOR - DAY], What is Gordon's physical condition as described in the passage?",Battered with a distorted face and bruised chest,"bruised and battered chest, face... distorted, blackish purple, rough stitches",character states
36、INT. BEN'S STUDY - NIGHT,What does Ben mutter in response to Gordon's voice in his thoughts?,Jeezus -- Jeezus -- Jeezus Christ.,"BEN
Jeezus -- Jeezus -- Jeezus Christ.",dialogue/beliefs
11、INT. SOWETO TRAIN CARRIAGE - LATE AFTERNOON,What action does the man in blue overalls take?,He jumps on his seat and shouts for quiet.,Suddenly a MAN jumps on his seat... 'Quiet! Thulani! Thulani!',detailed description
41、INT. POLICE HEADQUARTERS (JOHN VORSTER SQUARE) - DAY,"In [41、INT. POLICE HEADQUARTERS (JOHN VORSTER SQUARE) - DAY], Where is Ben when he fills in the slip?",In a bulletproof glass cage,Under the gaze of a uniformed POLICEMAN in a bulletproof glass cage,scene localization
64、INT. STANLEY'S CAR - DAY,"In [64、INT. STANLEY'S CAR - DAY], What ethnic identity does Stanley claim?",He identifies as African.,I am an African. That's all!,character states
53、INT. DINING ROOM - NIGHT,"In [53、INT. DINING ROOM - NIGHT], What is Ben's behavioral state?",Ben jumps up and hurries to the door,"Ben jumps up, hurries to the door",character states
22、INT. LEWINSON'S OFFICE - DAY,What does Lewinson say about his state in the morning?,I'm a zombie.,"man, I'm a zombie",dialogue/beliefs
20、INT. BEN'S STUDY - MORNING,"In [20、INT. BEN'S STUDY - MORNING], What is the gardener's emotional state?",Worried,he's worried,character states
36、INT. BEN'S STUDY - NIGHT,What does Susan say about Ben's actions toward the family?,"I'm proud of you, Ben... what you've done for that family.","SUSAN
I'm proud of you, Ben... what you've done for that family.",dialogue/beliefs
11、INT. SOWETO TRAIN CARRIAGE - LATE AFTERNOON,What does the large woman do in the crowded carriage?,She shouts at the man in front of her to be careful with his bag.,A LARGE middle-aged WOMAN is standing... She suddenly shouts: 'Careful with your bag...',detailed description
26、INT. LEWINSON'S OFFICE - DAY,When did the boy die according to Lewinson?,The boy died the day of the riots.,He died ... the day of the riots,dialogue/beliefs
15、EXT. MORTUARY - DAY,"In [15、EXT. MORTUARY - DAY], What is Stanley's role according to the passage?",Owner and driver of a pirate taxi,he is the owner and driver of a pirate taxi,character states
