doc_title,chunk_id,fact,scene_context
96内景  同上  夜,doc_109_chunk_0,谷子地不在车厢内。,车厢内，孙桂琴打瞌睡后惊醒发现谷子地不在。
98外景  林场小火车  日  小雨,doc_111_chunk_0,谷子地浑身湿透了。,车厢板上，雨中行进
103内景  餐厅  夜  雪,doc_116_chunk_0,谷子地处于醉酒状态。,干部餐厅，婚礼庆祝场景。
101外景  操场  晨,doc_114_chunk_0,谷子地听到了集结号的头几个音符。,操场，早操时间，雾气弥漫
104外景  瞭望台  日  秋天,doc_117_chunk_0,谷子地视力大不如前。,瞭望台攀爬过程
104外景  瞭望台  日  秋天,doc_117_chunk_0,谷子地被哨兵拽上瞭望台。,瞭望台攀爬过程
89外景/内景  武装部院落/接待室  日,doc_102_chunk_3,谷子地发现了女人离开接待室。,接待室
100内景  卫生队走廊/病房  晨,doc_113_chunk_4,谷子地知道赵二斗的剧烈反应掩饰了其真实心情。,长椅旁，赵二斗反应剧烈时
104外景  瞭望台  日  秋天,doc_117_chunk_1,谷子地确认了声音的方向。,平台
87外景  草坡  日  秋天  （ 字幕  1954年  华东战场故地 ）,doc_100_chunk_0,谷子地视力存在障碍。,坡顶
92外景  烈士陵园  日,doc_105_chunk_1,谷子地离开了水池,水池
94内景  火车硬座车厢  日,doc_107_chunk_0,谷子地坐定。,列车车厢，让座后
99外景  边防团驻地大门  黄昏  雨后,doc_112_chunk_0,谷子地的身份被赵二斗确认。,驻地大门外，赵二斗迎接谷子地
99外景  边防团驻地大门  黄昏  雨后,doc_112_chunk_0,谷子地被赵二斗丢在后边。,沿着坡道往上走，赵二斗向孙桂琴献殷勤
106外景  烈士陵园大门/墓道  日,doc_119_chunk_0,谷子地佩戴了他的全部奖章。,门楼台阶前，吉普车停下后
107外景  碑林  日,doc_120_chunk_4,谷子地恢复了理智。,墓碑前，小梁子道歉后
107外景  碑林  日,doc_120_chunk_4,谷子地无法挣脱赵二斗的手臂。,墓碑前，小梁子道歉后
107外景  碑林  日,doc_120_chunk_0,谷子地拒绝了他人帮忙。,墓碑前，祭奠仪式中
107外景  碑林  日,doc_120_chunk_8,谷子地完成了对刘泽水的最终告别。,墓地，刘泽水墓碑前
112内景  会议室  日,doc_125_chunk_0,谷子地明白了自己处境。,干部甲要求详细说明战斗细节时
107外景  碑林  日,doc_120_chunk_7,谷子地要求团长释放王金存。,祭奠现场
118外景  同上  黎明,doc_131_chunk_0,巨大的煤堆出现了一处明显的塌陷。,
119外景  同上  日,doc_132_chunk_1,谷子地挖出的大坑被煤堆新煤填平。,煤矿煤堆现场
119外景  同上  日,doc_132_chunk_0,谷子地睡着了。,工具棚角落，矿工露天用餐时
120外景  同上  日  雨,doc_133_chunk_0,谷子地对赵二斗的咆哮和孙桂琴的哀求无动于衷。,矿区煤堆上，大雨中
108外景  操场/车库  日,doc_121_chunk_0,谷子地比过去苍老。,
108外景  操场/车库  日,doc_121_chunk_0,谷子地说话的节奏比过去慢。,
108外景  操场/车库  日,doc_121_chunk_0,谷子地的口吻比过去温和。,
125外景  同上  日,doc_138_chunk_1,谷子地的追随者数量在减少。,辨认骨骸现场
125外景  同上  日,doc_138_chunk_1,谷子地有意躲避孙桂琴的目光。,辨认骨骸现场
114外景  操场/车库  日,doc_127_chunk_0,军用卡车停在离谷子地不到一尺的地方,走向鞋摊的路上
116外景  煤矿/煤堆  日,doc_129_chunk_1,谷子地举着铁锹追逐工长,煤矿煤堆旁
119外景  同上  日,doc_132_chunk_2,谷子地开始搏斗。,煤堆旁
