doc_title,chunk_id,fact,scene_context
27、INT. LONDON FOG - NIGHT,doc_26_chunk_1,Jim sings to Pam.,Concert stage
22、INT. RAY'S HOUSE - VENICE BEACH - DAY,doc_21_chunk_0,Pam is the number one fan.,Live concert of The Doors
19、EXT. VENICE BEACH - NIGHT,doc_18_chunk_0,Pam agrees to let Jim stay for the night with the condition that they only talk and no funny stuff.,"After racing down by the side and slowing to a walk, Jim asks to stay and Pam agrees with condition."
52、INT. HOTEL BEDROOM -- NEW YORK - NIGHT,doc_51_chunk_2,A fight has begun between Pam and Jim.,
79、INT. JIM AND PAM'S HOUSE - LAUREL CANYON - THAT DAY,doc_78_chunk_1,Jim gets Pam's attention.,"Room with commotion (Ray and Dorothy entering, Robbie and John causing commotion)"
78、EXT. JIM & PAM'S HOUSE - LAUREL CANYON - DAY,doc_77_chunk_3,Pam agrees to Jim's plan to trip and eat the feast.,"At their porch, after putting down the bags."
85、INT. JIM & PAM'S HOUSE - NIGHT,doc_84_chunk_2,Pam bursts out of the house.,Inside the burning house
86、EXT. JIM & PAM'S HOUSE - LAUREL CANYON - NIGHT,doc_85_chunk_0,Pam is in Laurel Canyon,Laurel Canyon
30、EXT. SUNSET STRIP -- THAT NIGHT,doc_29_chunk_0,Pam is present at the Whisky a Go Go.,"outside the Whisky a Go Go, waiting in line to enter the club"
76、EXT. PACIFIC PALISADES - SAME MORNING,doc_75_chunk_2,Pam is identified as Ray's lady.,Pam approaches Ray and is explicitly identified as his lady.
79、INT. JIM AND PAM'S HOUSE - LAUREL CANYON - THAT DAY,doc_78_chunk_13,Pam does not want the Count's solace.,"Count attempts to console Pam, she rejects his solace."
79、INT. JIM AND PAM'S HOUSE - LAUREL CANYON - THAT DAY,doc_78_chunk_17,Pam has the knife in her hand.,kitchen floor
85、INT. JIM & PAM'S HOUSE - NIGHT,doc_84_chunk_1,Pam is inside the closet.,"Inside a closet, Jim douses the door and floor with lighter fluid."
79、INT. JIM AND PAM'S HOUSE - LAUREL CANYON - THAT DAY,doc_78_chunk_15,Pam is no longer restrained by Dorothy.,Gathering during a birth scene
