doc_title,chunk_id,text,scene_context
44、INT. E BLOCK - DAY,doc_43_chunk_12,Closer.,Coffey's cell: Coffey tells Paul to come closer.
44、INT. E BLOCK - DAY,doc_43_chunk_1,Careful. Careful.,"Inside E Block, Coffey warns Billy to be careful"
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_18,"Couldn't help it, boss. I tried to take it back, but it was too late.",Cell: Coffey speaks to Paul about offering his hand.
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_17,Cor'der.,"Green Mile corridor, Paul explains the lights"
44、INT. E BLOCK - DAY,doc_43_chunk_18,I helped it. Didn't I help it?,Coffey and Paul discussing helping something.
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_15,"It weren't me making all the noise, boss.",Coffey denies making noise to Paul
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_15,"No, sir.",Coffey denies joking to Paul
34、INT. COFFEY'S CELL - DAY,doc_33_chunk_0,Del?,Cell: Coffey says 'Del?' after hearing giggling.
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_14,"Yes, sir, boss, like the drink,only not spelt the same.","Prison: Paul Edgecomb states Coffey's name, Coffey responds"
53、INT. E BLOCK - DAY,doc_52_chunk_1,I'm smelling me some cornbread.,"Coffey's cell, speaking with Paul about cornbread aroma"
53、INT. E BLOCK - DAY,doc_52_chunk_1,Thank me for what?,"Coffey's cell, speaking with Paul about the reason for thanks"
53、INT. E BLOCK - DAY,doc_52_chunk_1,Helping you with what?,"Coffey's cell, speaking with Paul about the nature of the help"
53、INT. E BLOCK - DAY,doc_52_chunk_1,Ohhh. (beat) Was your missus pleased?,"Coffey's cell, speaking with Paul about the outcome of the help"
22、EXT. FIELD - DAY (FLASHBACK),doc_21_chunk_4,"John Coffey. Like the drink, only
not spelt the same.",Interrogation room: McGee asks for Coffey's name.
22、EXT. FIELD - DAY (FLASHBACK),doc_21_chunk_4,"I couldn't help it. I tried to
take it back, but it was too late.",Interrogation room: McGee asks about the crime.
75、INT. E BLOCK - NIGHT,doc_74_chunk_5,Sure. I'd like to take a ride.,Prison cell block: Coffey agrees to take a ride after Paul's question.
62、INT. DEL'S CELL - NIGHT,doc_61_chunk_5,"You be still, Mr. Jingles. You be so quiet and so still.",ON THE MILE: Coffey whispers to Mr. Jingles to be quiet.
77、INT. E BLOCK - NIGHT,doc_76_chunk_2,We goan for the ride now?,Coffey's cell: speaking with Paul about the ride
44、INT. E BLOCK - DAY,doc_43_chunk_0,Careful.,"Inside E Block, Coffey at his bars, whispering as something bad is coming."
42、INT. E BLOCK - DAY,doc_41_chunk_0,"Boss Edgecomb? Needs ta see you down here, boss.","In the prison Mile, John Coffey (off-screen) calls Paul Edgecomb."
80、EXT. PRISON WALL - NIGHT,doc_79_chunk_0,"Look, boss! It's Cassie, the lady in the rocking chair!","Fenced enclosure at night, speaking to Paul and Brutal about Cassie in the stars."
80、EXT. PRISON WALL - NIGHT,doc_79_chunk_0,You see her? You see the lady?,"Fenced enclosure at night, speaking to Paul and Brutal about Cassie in the stars."
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_16,Do you leave a light on after bedtime?,Coffey asks Paul about leaving a light on at bedtime.
16、INT. E BLOCK (THE GREEN MILE) - DAY,doc_15_chunk_16,Because I get a little scared in,Coffey explains he gets scared.
78、INT. EXECUTION CHAMBER - NIGHT,doc_77_chunk_0,"They're still in there. Pieces of them, still in there. I hear them screaming.",Execution chamber: Coffey whispers about hearing screams from the electric chair.
53、INT. E BLOCK - DAY,doc_52_chunk_5,...wel'cm...,"Prison cell block: Del thanks Coffey, Coffey responds with 'welcome'"
81、EXT. WOODS - NIGHT,doc_80_chunk_2,"Hey there, little firefly. Where's Mrs. Firefly this evening?","Outdoors, addressing fireflies."
81、EXT. WOODS - NIGHT,doc_80_chunk_2,"Oh, there you is. You come out to play too?","Outdoors, addressing fireflies."
64、INT. E BLOCK - NIGHT,doc_63_chunk_1,Poor Del. Poor old Del.,"With Paul, discussing Del's death and Mr. Jingles."
64、INT. E BLOCK - NIGHT,doc_63_chunk_1,I could feel it from here.,"With Paul, discussing Del's death and Mr. Jingles."
