doc_title,chunk_id,description,scene_context
104、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_103_chunk_0,Rey and Finn hurriedly crawl through the space below decks.,"Below decks, hurried crawling"
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_8,"Rey looks at him, crushed.",
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_8,"With quiet resignation, Rey watches Finn return to the aliens...",
130、EXT. MAZ'S CASTLE - DAY,doc_129_chunk_1,Rey wants to say yes. But something stops her. A line she can't cross.,
130、EXT. MAZ'S CASTLE - DAY,doc_129_chunk_1,"Rey looks off, in thought.",
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_6,Rey gets up to follow.,"At a table with alien smugglers, during a conversation"
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_6,"Rey barges into the conversation, interrupting.","At a table with alien smugglers, during a conversation"
123、INT. FALCON COCKPIT:,doc_122_chunk_0,"Rey, satisfied, sits in the co-pilot seat.","Cockpit, after alarms stop"
113、INT. MILLENNIUM FALCON - COCKPIT - DAY,doc_112_chunk_0,"Rey reaches over, hits a switch, matter-of-factly.","Hangar, hyperdrive startup attempt"
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_7,Rey realizes it hasn't gone as planned.,"Down below, after lights come back on"
130、EXT. MAZ'S CASTLE - DAY,doc_129_chunk_2,HOLD on Rey.,
124、INT. MILLENNIUM FALCON - LOUNGE AREA - DAY,doc_123_chunk_5,Rey and Finn following,"on the ship, Han leaving for cockpit"
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_2,Finn and Rey react to the sounds of the new gang -- start CRAWLING BACK the other way to see them.,Han's standoff with Kanjiklub gang
132、INT. MAZ'S CASTLE - MAIN ROOM - DAY,doc_131_chunk_2,Finn and Rey are confused.,
126、INT. MILLENNIUM FALCON - COCKPIT - DAY,doc_125_chunk_0,"Rey looking out the windshield, almost in tears","Cockpit, Han piloting"
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_3,she LOOKS UP,
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_4,"She gets to her feet, frightened by what she sees.",Nighttime battlefield
105、INT. CARGO SHIP CORRIDOR A - DAY,doc_104_chunk_1,"Rey and Finn climb out, quickly.",Escaping through a floor hatch
105、INT. CARGO SHIP CORRIDOR A - DAY,doc_104_chunk_1,Rey COVERS HER MOUTH.,After turning a corner to see gang members battling a rathtar
128、EXT. LANDING PAD - NEAR MAZ'S CASTLE - DAY,doc_127_chunk_0,Rey steps off the Falcon,"At the castle location, overlooking forest and lake"
128、EXT. LANDING PAD - NEAR MAZ'S CASTLE - DAY,doc_127_chunk_0,"She takes in the towering stone CASTLE, FOREST to one side, LAKE to the other.","At the castle location, overlooking forest and lake"
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_6,"Rey begins RESETTING the FUSES, SPARKS shooting from them as they do.",
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_6,Rey and Finn FINISH resetting the fuses boxes.,
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_6,Rey smiles optimistically.,
111、INT. MILLENNIUM FALCON - COCKPIT - DAY,doc_110_chunk_0,SHOCKED,"Inside the hangar, during the escape attempt"
111、INT. MILLENNIUM FALCON - COCKPIT - DAY,doc_110_chunk_0,SCREAMS,"Inside the hangar, during the Rathtar attack"
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_0,"Rey moves into the dark, small, vaulted storage room.",Vaulted storage room
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_0,"She moves to it, unsure, afraid",Vaulted storage room
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_0,"Rey reaches out, very slowly, to touch the box.",Vaulted storage room
140、EXT. FOREST - DAY,doc_139_chunk_0,"Rey moves through the foliage, heart racing.",
138、INT. MAZ' CASTLE - BASEMENT CORRIDOR - DAY,doc_137_chunk_2,Rey suddenly stands.,
138、INT. MAZ' CASTLE - BASEMENT CORRIDOR - DAY,doc_137_chunk_2,"Rey runs off, passing Maz.",
138、INT. MAZ' CASTLE - BASEMENT CORRIDOR - DAY,doc_137_chunk_2,"Rey's mind is spinning -- she can't take it -- she turns and heads off, fast.",
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_7,"She moves through the woods, toward the sound.","Woods, following the sound of clashing lightsabers"
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_7,"Rey runs, heart pounding, when KYLO REN EMERGES FROM BEHIND A TREE! She stops, SCREAMS, FALLS BACK and LANDS IN:","Woods, Kylo Ren emerges from behind a tree"
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_2,She stands,"Corridor, after saying 'NO!'"
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_2,"looks around, confused by all she sees and hears","Corridor, after saying 'NO!'"
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_2,"Turns and sees, through a DOORWAY","Corridor, after saying 'NO!'"
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_2,she runs down the corridor,Corridor tilting into a field with a burning temple
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_2,she lands on the WALL -- which is now the GROUND -- dried GRASS,Corridor tilting into a field with a burning temple
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_2,She turns to look,Corridor tilting into a field with a burning temple
139、EXT. MAZ'S CASTLE - DAY,doc_138_chunk_0,Rey exits the castle,the castle
138、INT. MAZ' CASTLE - BASEMENT CORRIDOR - DAY,doc_137_chunk_0,"She falls back, out of the room, suddenly sitting in the hall, out of breath, alarmed and perplexed.","Hallway, after exiting a room"
138、INT. MAZ' CASTLE - BASEMENT CORRIDOR - DAY,doc_137_chunk_0,She HEARS something and turns to look.,"Hallway, after exiting a room"
