doc_title,chunk_id,fact,scene_context
129、INT. POLICE CORRIDOR - DAY,doc_128_chunk_0,Nadia appears in the corridor.,Corridor: After John stands against the wall.
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_0,Nadia agrees to stop the current activity.,"On the bed, during a conversation about stopping."
113、INT. BATHROOM - NIGHT,doc_112_chunk_0,"The Polaroid depicts Nadia, Alexei, and a man at a birthday party.","Bathroom, Yuri shows Polaroids to John"
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_1,Nadia has knitted a jumper.,Bedroom: Nadia produces a knitted jumper for Alexei.
113、INT. BATHROOM - NIGHT,doc_112_chunk_2,The ring on John's left hand is Nadia's.,
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_3,Nadia is left alone with Alexei on the bed.,"Yuri goes into the bathroom, leaving Nadia and Alexei alone on the bed."
133、INT. CAR - DAY,doc_132_chunk_0,Nadia pulls herself together after crying.,Car stopped on side of road
140、EXT. DIFFERENT FOREST - NIGHT,doc_139_chunk_0,Nadia lights the fire.,"clearing, building and lighting a fire"
138、INT. / EXT. CAR (MOVING) - DAY,doc_137_chunk_9,Nadia exits the car.,"Car scene: John orders Nadia to get out, and she complies by exiting the vehicle."
16、INT. JOHN'S HOUSE - DAY,doc_15_chunk_0,A banner reading 'Welcome Nadia' is present in John's hallway.,John's hallway
141、EXT. FOREST - NIGHT,doc_140_chunk_4,Nadia laughs for the first time in the film.,After John corrects his false statement that 'she' is dead.
141、EXT. FOREST - NIGHT,doc_140_chunk_7,Nadia offers John to come under the blanket.,Night by the fire
146、INT. / EXT. AIRPORT EXIT - NIGHT,doc_145_chunk_1,Nadia is sitting alone.,"Airport terminal, John observing Nadia through binoculars"
146、INT. / EXT. AIRPORT EXIT - NIGHT,doc_145_chunk_1,Nadia is waiting for her call.,"Airport terminal, John observing Nadia through binoculars"
154、EXT. / INT. THE VIEW THROUGH THE WINDOW,doc_153_chunk_0,Nadia accepts the kiss.,"Room: After Alexei appeals and Nadia resists, she accepts his kiss."
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,Nadia is holding a knife,"Fight between Alexei and John, Nadia holding knife"
110、INT. / EXT. MOVING ROVER - DAY,doc_109_chunk_1,Nadia has freed herself from restraint.,Back seat of a car
127、INT. POLICE STATION CORRIDOR - DAY,doc_126_chunk_0,Nadia is inside the Ladies restroom.,Ladies restroom
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_3,Nadia is forced to the ground.,In the confusion
173、INT. AIRPORT CAFE - NIGHT,doc_172_chunk_2,Nadia is positioned one behind the front of the queue.,"Airport gate, queue for airline services"
172、INT. TICKET SALES - NIGHT,doc_171_chunk_0,Nadia was with the guitar cases at the location where John left her.,"Aeroflot desk area, John returns to the spot where he left Nadia."
19、INT. SPARE BEDROOM - DAY,doc_18_chunk_0,Nadia stops unpacking.,"Bedroom, after John leaves"
141、EXT. FOREST - NIGHT,doc_140_chunk_11,Nadia is absent from the location.,"Early dawn, John wakes up next to a dead fire and discovers Nadia is gone."
24、INT. KITCHEN - DAY,doc_23_chunk_1,Nadia pushes the ring onto John's ring finger.,
156、INT. INSIDE ALEXEI'S SUITE - NIGHT,doc_155_chunk_0,Nadia is alone.,"Room, after Alexei leaves."
29、INT. BEDROOM - NIGHT,doc_28_chunk_1,Nadia walks out of the scene.,After John ejaculates
59、EXT. JOHN'S CLOSE - DAY,doc_58_chunk_0,Nadia gave John a ring.,Driveway: John arrives home and retrieves the ring.
169、INT. AIRPORT CHECKING IN DESK - NIGHT,doc_168_chunk_4,Nadia speaks in Russian.,"Airport, during conversation with John."
74、INT. JOHN'S LOUNGE - NIGHT,doc_73_chunk_3,Yuri speaks to Nadia in fast Russian.,"John questions Yuri's presence, and Yuri speaks to Nadia in fast Russian."
69、EXT. GARDEN - DAY,doc_68_chunk_1,Nadia's birthday is being celebrated.,Birthday greeting scene
41、INT. NADIA'S ROOM - DAY,doc_40_chunk_0,Nadia was a young girl in a meadow with binoculars around her neck.,"John's room, examining photographs"
77、EXT. JOHN'S GARDEN - NIGHT,doc_76_chunk_4,Nadia joins the singing.,"Candlelit scene, during a song."
89、INT. JOHN'S BEDROOM - DAY,doc_88_chunk_0,Nadia is already up and about.,"John's bedroom, John wakes up and finds Nadia not in bed."
87、INT. JOHN'S BEDROOM - NIGHT,doc_86_chunk_0,Nadia is asleep.,"Bedroom: John returns to bed, Nadia asleep."
66、INT. ROOM IN THE BANK - DAY,doc_65_chunk_7,Nadia is no longer gagged.,
177、EXT. FIELD - DAY,doc_176_chunk_0,Nadia is the child of John and Sophia.,Picnic on the grass
93、INT. MULTI-STOREY CAR PARK - DAY,doc_92_chunk_0,Nadia is in shock.,"Car parks on top floor, John turns off engine, John looks at Nadia in rear view mirror."
74、INT. JOHN'S LOUNGE - NIGHT,doc_73_chunk_2,Nadia is introduced to the other man by the first man.,"Candlelit room, first man introduces Nadia to the other man."
92、INT. / EXT. JOHN'S CAR - DAY,doc_91_chunk_0,Nadia is bound and gagged.,Car ride in the morning rain
74、INT. JOHN'S LOUNGE - NIGHT,doc_73_chunk_10,Nadia has bold red marks on both wrists from ties.,"At the table during a meal, John notices Nadia's wrist marks."
74、INT. JOHN'S LOUNGE - NIGHT,doc_73_chunk_0,Nadia is having a birthday.,"Dining room, birthday celebration"
